min_cluster_size,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,status,note
50,84,0.5076888860646883,15979,100,53,ok,完成
75,53,0.5255131219419203,16540,100,85,ok,完成
100,2,0.02182754019190443,687,124,30663,ok,完成
125,28,0.5449895151553663,17153,214,146,ok,完成
150,16,0.4858931181292495,15293,219,4429,ok,完成
175,15,0.5107707949418567,16076,218,4454,ok,完成
200,14,0.5379996187329225,16933,205,4453,ok,完成
225,2,0.11701722056300438,3683,4743,23048,ok,完成
250,11,0.5518523225519476,17369,4178,738,ok,完成
275,2,0.13147359725487703,4138,4676,22660,ok,完成
300,2,0.13820931562559574,4350,4622,22502,ok,完成
325,2,0.14392832178941348,4530,4584,22360,ok,完成
350,2,0.1473914977441698,4639,4582,22253,ok,完成
375,2,0.15149011882823918,4768,4562,22144,ok,完成
400,2,0.15403189934549152,4848,4551,22075,ok,完成
500,2,0.17792463620766347,5600,4430,21444,ok,完成
600,2,0.22078541017983097,6949,4233,20292,ok,完成
700,2,0.22339073521001462,7031,4149,20294,ok,完成
800,2,0.22485225900743472,7077,4103,20294,ok,完成
900,2,0.24721992755925526,7781,3911,19782,ok,完成
1000,2,0.23308127343203913,7336,3684,20454,ok,完成
