title,document,topic
Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p 24fps H264 128kbit AAC),"Hey, I'm Bradley Hasenmaier, and I am thrilled to share a few highlights of the 2020 with incredible standard features and bold new styling. It'll help you stand out when you're ready to step up. Ready to see for yourself?",0
Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p 24fps H264 128kbit AAC),"Let's go. When you get to the, you really see some style with these sharp LED headlights and that bold pentagon grill. And it only gets better on the inside with paddle shifters and redesigned sports seats.",0
Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p 24fps H264 128kbit AAC),"And if you really want to up the ante, opt for the -inspired ultra-suede-trimmed sport seat on the A-Spec package, engineered with lateral grip to keep you firmly planted in your seat. And you can really tell that the car's been designed around the driver.",0
Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p 24fps H264 128kbit AAC),"You've got easy access buttons and knobs and an easy place to just plug your phone right in too so you can access the available Apple CarPlay and Android Auto integration, and it pulls up using these dual screen displays. Oh, this is great. Start ignition, standard active sound control, standard multi-view rear camera, standard.",0
Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p 24fps H264 128kbit AAC),"And as if all that wasn't enough, went ahead and made its AcuraWatch advanced safety and driver assistance technology package standard. Huh, standard. That has a nice ring to it, doesn't it?",0
Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p 24fps H264 128kbit AAC),"This package includes forward collision warning, collision mitigation braking, lane departure warning, lane keeping assist, road departure mitigation, and adaptive cruise control, standard across all trims. The has 201 horsepower, it's got an eight-speed dual clutch transmission and a 2.4 liter i-VTEC engine. The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),"Hey, I'm Bradley Hasenmaier, and I am thrilled to give you a quick look at the 2020 Sport Hybrid. With its refined styling, accelerated performance capabilities, and premium features, the Sport Hybrid delivers the perfect balance of sophistication and muscle. Ready to see for yourself?",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),"Let's go. I need my car to look great. I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, ""That's my car.""",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),"Bold, sophisticated styling. really found the balance there. You've got a sculpted hood, you've got a diamond pentagon grill, you've got the Jewel Eye LED lights, 19-inch wheels, and all of this greatness comes standard.",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),"And then when you go to the interior, it only gets better. You're greeted with this premium cabin and precision craftsmanship. I mean, take for instance the steering wheel.",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),"Beautifully stitched, beautiful leather. These seats, 12-way adjustable, heated and ventilated, soft Milano leather. Ooh, it's very comfy.",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),"I've got fantastic leg room up here and leg room in the back for my friends and my passengers. I mean, it's like we're all riding first class, baby. How about this for convenience?",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),"The dual-action armrest opens for the driver, opens for the passenger, one push button slides all the way back, revealing a place to plug in your phone. That's super smart for your super smart phone. Speaking of super smart, how about a GPS-linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures?",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),"What? Mind blown! And as if all that wasn't enough, went ahead and made its AcuraWatch advanced safety and driver assistance technology package standard.",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),"Huh, standard. That has a nice ring to it, doesn't it? This package includes forward collision warning, collision mitigation braking, lane departure warning, lane keeping assist, road departure mitigation, and adaptive cruise control, standard across all trims.",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),"And while you're checking out that list, let me highlight one of those for you: head-up display. Yes, this is super cool technology. You've got to pay a lot of money for this in other cars.",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),"It comes standard. Essentially, it projects information onto the windshield ahead of you, things like your speed or your turn-by-turn navigation. So it seems like one of the most compelling reasons to put the Sport Hybrid on your shopping list is the fact that it comes loaded with so many of these cool standard features.",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),"This isn't your basic boring hybrid. It utilizes the same kind of technology found in the. And this Sport Hybrid isn't just some cushy, sophisticated piece of machinery.",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),Now this thing is fun to drive. It has a whopping 377 total system horsepower.,0
