min_cluster_size,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,status,note
50,3,0.011238008222932847,123,71,67,ok,完成
75,2,0.07263590680676107,795,91,10059,ok,完成
100,10,0.43206943809958887,4729,225,337,ok,完成
125,7,0.41105527638190953,4499,163,333,ok,完成
150,6,0.3758793969849246,4114,520,334,ok,完成
175,5,0.3422567382366377,3746,1391,4451,ok,完成
200,5,0.35449977158519874,3880,1375,4360,ok,完成
225,5,0.3884878940155322,4252,1340,4172,ok,完成
250,4,0.37834627683873917,4141,1325,3988,ok,完成
275,3,0.38245774326176335,4186,1324,1499,ok,完成
300,3,0.40566468707172226,4440,1291,3821,ok,完成
325,3,0.4308816811329374,4716,1177,1303,ok,完成
350,3,0.46587482868889907,5099,1096,3666,ok,完成
375,3,0.46879853814527184,5131,1060,3675,ok,完成
400,3,0.45938784833257196,5028,1169,3675,ok,完成
500,2,0.4048423937871174,4431,1030,5484,ok,完成
600,2,0.4121516674280493,4511,885,5549,ok,完成
700,0,1.0,10945,0,0,ok,完成
800,0,1.0,10945,0,0,ok,完成
900,0,1.0,10945,0,0,ok,完成
1000,0,1.0,10945,0,0,ok,完成
