min_cluster_size,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,status,note
50,79,0.5164270069517188,16269,1493,848,ok,完成
75,47,0.48747738310637084,15357,1643,1637,ok,完成
100,4,0.006951718883915817,219,30934,136,ok,完成
125,2,0.014697012982890518,463,30904,136,ok,完成
150,20,0.4513220963082881,14218,3390,2969,ok,完成
175,14,0.44935402977494204,14156,4367,3007,ok,完成
200,13,0.4297051074500841,13537,4340,3265,ok,完成
225,11,0.4549407992889566,14332,4290,3330,ok,完成
250,10,0.47233596800304734,14880,4408,3079,ok,完成
275,10,0.48630289178808367,15320,4400,3064,ok,完成
300,9,0.45481382725454716,14328,4391,3033,ok,完成
325,2,0.1789988255086817,5639,21463,4401,ok,完成
350,2,0.18791861092594356,5920,21260,4323,ok,完成
375,2,0.2180109830809764,6868,20398,4237,ok,完成
400,2,0.22055042376916484,6948,20301,4254,ok,完成
500,2,0.22372472462940038,7048,20316,4139,ok,完成
600,3,0.2712440085071263,8545,19844,2333,ok,完成
700,2,0.23023204139288322,7253,20172,4078,ok,完成
800,2,0.2599434974446878,8189,19395,3919,ok,完成
900,2,0.3081928705202679,9709,18330,3464,ok,完成
1000,2,0.2874329428943275,9055,19211,3237,ok,完成
