min_cluster_size,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,status,note
50,77,0.49366726978383013,15552,111,51,ok,完成
75,47,0.488207472304225,15380,111,135,ok,完成
100,4,0.010475192838777259,330,111,135,ok,完成
125,2,0.013903437767831634,438,135,30930,ok,完成
150,22,0.5154747166936482,16239,201,789,ok,完成
175,21,0.5342030917690379,16829,190,773,ok,完成
200,17,0.5422023299368314,17081,754,363,ok,完成
225,2,0.188585214106593,5941,4340,21222,ok,完成
250,2,0.16519061676665714,5204,4399,21900,ok,完成
275,2,0.13735199822239152,4327,4472,22704,ok,完成
300,2,0.13985969590197758,4406,4471,22626,ok,完成
325,2,0.15344570358378568,4834,4433,22236,ok,完成
350,9,0.46144811605243946,14537,4418,1813,ok,完成
375,2,0.1557629432117576,4907,4377,22219,ok,完成
400,3,0.22807351680792307,7185,21235,777,ok,完成
500,3,0.24648446179728914,7765,20640,787,ok,完成
600,3,0.29876519696536835,9412,19020,771,ok,完成
700,5,0.5431546201949021,17111,2268,738,ok,完成
800,2,0.28838523315239817,9085,3655,18763,ok,完成
900,2,0.37079008348411263,11681,2888,16934,ok,完成
1000,2,0.44700504713836775,14082,2164,15257,ok,完成
