min_cluster_size,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,status,note
50,2,0.0007287301876480233,8,67,10903,ok,完成
75,14,0.38813991619602844,4261,75,477,ok,完成
100,8,0.36017489524503554,3954,2057,247,ok,完成
125,8,0.4008926944798688,4401,2031,211,ok,完成
150,5,0.3600838039715795,3953,2002,150,ok,完成
175,2,0.24130078338495173,2649,1955,6374,ok,完成
200,2,0.2689925305155766,2953,1921,6104,ok,完成
225,2,0.2919475314264893,3205,1849,5924,ok,完成
250,4,0.3891419202040445,4272,1793,3956,ok,完成
275,3,0.3721078520677719,4085,1726,1212,ok,完成
300,3,0.3905993805793405,4288,1683,1139,ok,完成
325,3,0.4101840043723811,4503,1605,1071,ok,完成
350,3,0.43550737839314996,4781,1526,986,ok,完成
375,3,0.4572781927491346,5020,1424,3637,ok,完成
400,3,0.48068865002732736,5277,1324,816,ok,完成
500,3,0.5007287301876481,5497,873,993,ok,完成
600,2,0.6342685370741483,6963,692,3323,ok,完成
700,0,1.0,10978,0,0,ok,完成
800,0,1.0,10978,0,0,ok,完成
900,0,1.0,10978,0,0,ok,完成
1000,0,1.0,10978,0,0,ok,完成
