min_cluster_size,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,status,note
50,2,0.0007287301876480233,8,67,10903,ok,完成
75,16,0.4005283293860448,4397,81,486,ok,完成
100,10,0.4094552741847331,4495,242,384,ok,完成
125,9,0.38932410275095647,4274,192,178,ok,完成
150,6,0.2993259245764256,3286,2009,153,ok,完成
175,5,0.4551830934596466,4997,1947,454,ok,完成
200,4,0.37675350701402804,4136,1939,3948,ok,完成
225,2,0.2719985425396247,2986,1927,6065,ok,完成
250,3,0.28347604299508106,3112,1423,1880,ok,完成
275,3,0.29777737292767353,3269,1402,1830,ok,完成
300,4,0.4157405720531973,4564,1387,1700,ok,完成
325,3,0.34769539078156314,3817,1351,4199,ok,完成
350,4,0.4598287484059027,5048,1599,1137,ok,完成
375,3,0.37720896338130805,4141,1493,4149,ok,完成
400,3,0.40590271451994897,4456,1160,4056,ok,完成
500,3,0.5120240480961924,5621,930,946,ok,完成
600,0,1.0,10978,0,0,ok,完成
700,0,1.0,10978,0,0,ok,完成
800,0,1.0,10978,0,0,ok,完成
900,0,1.0,10978,0,0,ok,完成
1000,0,1.0,10978,0,0,ok,完成
