min_cluster_size,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,status,note
50,96,0.46767870024778097,14911,111,51,ok,完成
75,63,0.47467302324122573,15134,111,113,ok,完成
100,48,0.45804974437788165,14604,111,374,ok,完成
125,39,0.49992158830724837,15939,374,144,ok,完成
150,26,0.4596807075871154,14656,374,156,ok,完成
175,2,0.014270928080795409,455,374,31054,ok,完成
200,2,0.01583916193582787,505,374,31004,ok,完成
225,2,0.016748737571746698,534,374,30975,ok,完成
250,2,0.016780102248847347,535,374,30974,ok,完成
275,2,0.016780102248847347,535,374,30974,ok,完成
300,2,0.017250572405357087,550,374,30959,ok,完成
325,2,0.017313301759558385,552,374,30957,ok,完成
350,2,0.018912900291691497,603,374,30906,ok,完成
375,3,0.14531254900730797,4633,389,634,ok,完成
400,3,0.1715020543863501,5468,631,546,ok,完成
500,2,0.19279867013769092,6147,611,25125,ok,完成
600,4,0.649468368723144,20707,2676,5309,ok,完成
700,4,0.6806134930840887,21700,2402,4951,ok,完成
800,3,0.6313082206818681,20128,1911,5765,ok,完成
900,3,0.6701063262553713,21365,5636,1029,ok,完成
1000,2,0.6948530564877835,22154,5159,4570,ok,完成
