min_cluster_size,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,status,note
50,41,0.4084051724137931,4548,254,204,ok,完成
75,27,0.42852011494252873,4772,254,204,ok,完成
100,18,0.39762931034482757,4428,254,204,ok,完成
125,14,0.4177442528735632,4652,254,204,ok,完成
150,3,0.056483477011494254,629,254,204,ok,完成
175,3,0.057830459770114945,644,254,204,ok,完成
200,2,0.051544540229885055,574,254,10308,ok,完成
225,2,0.0766882183908046,854,254,10028,ok,完成
250,2,0.10515445402298851,1171,254,9711,ok,完成
275,2,0.29229525862068967,3255,408,7473,ok,完成
300,2,0.30872844827586204,3438,393,7305,ok,完成
325,2,0.32839439655172414,3657,7107,372,ok,完成
350,2,0.3373742816091954,3757,393,6986,ok,完成
375,2,0.3380028735632184,3764,430,6942,ok,完成
400,2,0.3510237068965517,3909,406,6821,ok,完成
500,0,1.0,11136,0,0,ok,完成
600,0,1.0,11136,0,0,ok,完成
700,0,1.0,11136,0,0,ok,完成
800,0,1.0,11136,0,0,ok,完成
900,0,1.0,11136,0,0,ok,完成
1000,0,1.0,11136,0,0,ok,完成
