stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,stability_rank
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.1,euclidean,ok,完成,148,0.3416470737751795,10753,53,52,868,0.027578318612187836,0.06510135349812543,0.9485678059676909,0.8762121115841646,1
stage2,5,5,0.0,cosine,123,50,5.0,eom,0.1,euclidean,ok,完成,147,0.36700133443477156,11551,104,72,962,0.030564910719959332,0.08943890195081655,0.9302447822857792,0.8628423460634174,1
stage2,5,5,0.0,cosine,2026,50,5.0,eom,0.1,euclidean,ok,完成,162,0.36874880854038256,11606,56,50,853,0.027101734765203025,0.06265488975027006,0.953258167602195,0.8687138590582704,1
stage2,5,5,0.0,cosine,3407,50,5.0,eom,0.1,euclidean,ok,完成,158,0.34736607993899726,10933,100,53,1259,0.04000127089025863,0.06843744042701913,0.9468611253605371,0.8701023066658193,1
stage2,5,5,0.0,cosine,20240603,50,5.0,eom,0.1,euclidean,ok,完成,151,0.3320836245790176,10452,108,83,743,0.023606786553981064,0.06357628518777404,0.9491866727314281,0.8805776196225457,1
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.05,euclidean,ok,完成,148,0.3416470737751795,10753,53,52,868,0.027578318612187836,0.06510135349812543,0.9485678059676909,0.8762121115841646,2
stage2,5,5,0.0,cosine,123,50,5.0,eom,0.05,euclidean,ok,完成,147,0.36700133443477156,11551,104,72,962,0.030564910719959332,0.08943890195081655,0.9302447822857792,0.8628423460634174,2
stage2,5,5,0.0,cosine,2026,50,5.0,eom,0.05,euclidean,ok,完成,165,0.37748617906843746,11881,56,50,853,0.027101734765203025,0.05639575522653619,0.9579816094879435,0.8673444748046006,2
stage2,5,5,0.0,cosine,3407,50,5.0,eom,0.05,euclidean,ok,完成,158,0.34736607993899726,10933,100,53,1259,0.04000127089025863,0.06843744042701913,0.9468611253605371,0.8701023066658193,2
stage2,5,5,0.0,cosine,20240603,50,5.0,eom,0.05,euclidean,ok,完成,152,0.3351973057126517,10550,108,83,743,0.023606786553981064,0.06357628518777404,0.9494553295735835,0.8796435152824553,2
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.0,euclidean,ok,完成,148,0.3416470737751795,10753,53,52,868,0.027578318612187836,0.06510135349812543,0.9485678059676909,0.8762121115841646,3
stage2,5,5,0.0,cosine,123,50,5.0,eom,0.0,euclidean,ok,完成,147,0.36700133443477156,11551,104,72,962,0.030564910719959332,0.08943890195081655,0.9302447822857792,0.8628423460634174,3
stage2,5,5,0.0,cosine,2026,50,5.0,eom,0.0,euclidean,ok,完成,165,0.37748617906843746,11881,56,50,853,0.027101734765203025,0.05639575522653619,0.9579816094879435,0.8673444748046006,3
stage2,5,5,0.0,cosine,3407,50,5.0,eom,0.0,euclidean,ok,完成,158,0.34736607993899726,10933,100,53,1259,0.04000127089025863,0.06843744042701913,0.9468611253605371,0.8701023066658193,3
stage2,5,5,0.0,cosine,20240603,50,5.0,eom,0.0,euclidean,ok,完成,152,0.3351973057126517,10550,108,83,743,0.023606786553981064,0.06357628518777404,0.9494553295735835,0.8796435152824553,3
stage2,5,5,0.0,cosine,42,50,10.0,eom,0.2,euclidean,ok,完成,112,0.30428290017157017,9577,53,52,1379,0.04381394166613713,0.10262438838406304,0.9097031888065636,0.8750460697718752,4
stage2,5,5,0.0,cosine,123,50,10.0,eom,0.2,euclidean,ok,完成,110,0.29904047785473725,9412,146,78,1508,0.04791256275020652,0.11177479824617144,0.8918129165790321,0.8735591281692825,4
stage2,5,5,0.0,cosine,2026,50,10.0,eom,0.2,euclidean,ok,完成,117,0.30186820868018044,9501,50,51,1786,0.05674525004765838,0.134142466797992,0.8830275181845028,0.86558746902205,4
stage2,5,5,0.0,cosine,3407,50,10.0,eom,0.2,euclidean,ok,完成,121,0.31416407193238866,9888,100,53,1186,0.03768189616826587,0.09493550231937473,0.9032859629144482,0.8754591091059287,4
stage2,5,5,0.0,cosine,20240603,50,10.0,eom,0.2,euclidean,ok,完成,118,0.3073012645358073,9672,108,51,1377,0.04375039715320582,0.09944716273749761,0.9157059743712382,0.8747950689457964,4
stage2,5,5,0.0,cosine,42,50,10.0,leaf,0.2,euclidean,ok,完成,113,0.304759484018555,9592,53,52,1379,0.04381394166613713,0.10262438838406304,0.9088354768317874,0.8749030946177798,5
stage2,5,5,0.0,cosine,123,50,10.0,leaf,0.2,euclidean,ok,完成,113,0.305680879456059,9621,146,78,1508,0.04791256275020652,0.11177479824617144,0.8888731483427474,0.871567007688886,5
stage2,5,5,0.0,cosine,2026,50,10.0,leaf,0.2,euclidean,ok,完成,117,0.30186820868018044,9501,50,51,1786,0.05674525004765838,0.134142466797992,0.8830275181845028,0.86558746902205,5
stage2,5,5,0.0,cosine,3407,50,10.0,leaf,0.2,euclidean,ok,完成,121,0.31416407193238866,9888,100,53,1186,0.03768189616826587,0.09493550231937473,0.9032859629144482,0.8754591091059287,5
stage2,5,5,0.0,cosine,20240603,50,10.0,leaf,0.2,euclidean,ok,完成,120,0.32143991866302346,10117,108,51,1377,0.04375039715320582,0.09944716273749761,0.9162769749614571,0.8705534727076316,5
stage2,5,15,0.0,cosine,42,50,5.0,eom,0.0,euclidean,ok,完成,142,0.3442206265488975,10834,54,54,934,0.029675287538921014,0.07031200355849272,0.9483157441253819,0.873768825061956,6
stage2,5,15,0.0,cosine,123,50,5.0,eom,0.0,euclidean,ok,完成,137,0.35159179004892926,11066,64,108,936,0.029738832051852324,0.07838215670076888,0.9334961349609383,0.8699243820296116,6
stage2,5,15,0.0,cosine,2026,50,5.0,eom,0.0,euclidean,ok,完成,156,0.36105992247569424,11364,51,70,1180,0.037491262629471944,0.08445065768570884,0.9410722701721417,0.8635445129313084,6
stage2,5,15,0.0,cosine,3407,50,5.0,eom,0.0,euclidean,ok,完成,152,0.34266378598208047,10785,52,79,1060,0.03367859185359344,0.07631696003050137,0.943604613101156,0.8718338946431976,6
stage2,5,15,0.0,cosine,20240603,50,5.0,eom,0.0,euclidean,ok,完成,150,0.35874054775370146,11291,51,59,791,0.025131854864332465,0.06939060812098875,0.9488646986237981,0.870960157590392,6
stage2,5,15,0.0,cosine,42,50,5.0,eom,0.05,euclidean,ok,完成,142,0.3442206265488975,10834,54,54,934,0.029675287538921014,0.07031200355849272,0.9483157441253819,0.873768825061956,7
stage2,5,15,0.0,cosine,123,50,5.0,eom,0.05,euclidean,ok,完成,137,0.35159179004892926,11066,64,108,936,0.029738832051852324,0.07838215670076888,0.9334961349609383,0.8699243820296116,7
stage2,5,15,0.0,cosine,2026,50,5.0,eom,0.05,euclidean,ok,完成,156,0.36105992247569424,11364,51,70,1180,0.037491262629471944,0.08445065768570884,0.9410722701721417,0.8635445129313084,7
stage2,5,15,0.0,cosine,3407,50,5.0,eom,0.05,euclidean,ok,完成,152,0.34266378598208047,10785,52,79,1060,0.03367859185359344,0.07631696003050137,0.943604613101156,0.8718338946431976,7
stage2,5,15,0.0,cosine,20240603,50,5.0,eom,0.05,euclidean,ok,完成,150,0.35874054775370146,11291,51,59,791,0.025131854864332465,0.06939060812098875,0.9488646986237981,0.870960157590392,7
stage2,5,15,0.0,cosine,42,50,5.0,eom,0.1,euclidean,ok,完成,142,0.3442206265488975,10834,54,54,934,0.029675287538921014,0.07031200355849272,0.9483157441253819,0.873768825061956,8
stage2,5,15,0.0,cosine,123,50,5.0,eom,0.1,euclidean,ok,完成,137,0.35159179004892926,11066,64,108,936,0.029738832051852324,0.07838215670076888,0.9334961349609383,0.8699243820296116,8
