stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score
stage1,5,5,0.0,cosine,42,50,,eom,0.0,euclidean,ok,完成,92,0.4829700705344094,15201,53,52,822,0.026116794814767745,0.07564974264472263,0.9192439826324251,0.8321439918663025
stage1,5,5,0.0,cosine,42,50,10.0,eom,0.0,euclidean,ok,完成,145,0.3976933341805935,12517,53,52,779,0.024750587786744615,0.059922475694223806,0.9539349261007297,0.8612823282709539
stage1,5,5,0.0,cosine,42,50,30.0,eom,0.0,euclidean,ok,完成,109,0.4540890894071297,14292,53,52,855,0.027165279278134332,0.0735210014615238,0.9265387545528075,0.8409194891021161
stage1,5,5,0.0,cosine,42,75,,eom,0.0,euclidean,ok,完成,50,0.46600368558175004,14667,78,88,1820,0.057825506767490625,0.15393658257609455,0.8833894747637461,0.8120639257800089
stage1,5,5,0.0,cosine,42,75,10.0,eom,0.0,euclidean,ok,完成,88,0.38504797610726316,12119,77,97,952,0.03024718815530279,0.08422825189044926,0.9435255585781808,0.8585658003431405
stage1,5,5,0.0,cosine,42,75,30.0,eom,0.0,euclidean,ok,完成,68,0.4429370273876851,13941,78,88,1015,0.032248840312639006,0.0875961110758086,0.9303606321898902,0.839925017474741
stage1,5,5,0.0,cosine,42,100,,eom,0.0,euclidean,ok,完成,37,0.5447671093601067,17146,126,162,1719,0.054616508864459554,0.12451547308889878,0.9138121810837594,0.7952818199148504
stage1,5,5,0.0,cosine,42,100,10.0,eom,0.0,euclidean,ok,完成,69,0.4057952595793353,12772,161,162,990,0.03145453390099765,0.09026498061892356,0.9466254281712567,0.8507720658321154
stage1,5,5,0.0,cosine,42,100,30.0,eom,0.0,euclidean,ok,完成,3,0.05185232255194764,1632,126,162,29554,0.9389972675859439,0.9481476774480524,0.05552883930066825,0.3331155874690221
stage1,5,5,0.0,cosine,42,125,,eom,0.0,euclidean,ok,完成,2,0.059414119590773334,1870,126,29478,29478,0.9365825760945542,0.9405858804092266,0.03964992833678579,0.32641714854588966
stage1,5,5,0.0,cosine,42,125,10.0,eom,0.0,euclidean,ok,完成,55,0.4084323568659846,12855,161,162,1030,0.03272542415962382,0.09442714621592425,0.9446176597798649,0.8487672364491325
stage1,5,5,0.0,cosine,42,125,30.0,eom,0.0,euclidean,ok,完成,3,0.05185232255194764,1632,126,162,29554,0.9389972675859439,0.9481476774480524,0.05552883930066825,0.3331155874690221
stage1,5,5,0.0,cosine,42,150,,eom,0.0,euclidean,ok,完成,25,0.5530278960411769,17406,162,220,1555,0.04940585880409227,0.13751032598335133,0.9142438444407356,0.7584344750164158
stage1,5,5,0.0,cosine,42,150,10.0,eom,0.0,euclidean,ok,完成,40,0.3288110821630552,10349,161,162,5641,0.17922729872275528,0.24779182817563702,0.8469763419008662,0.7980301200991295
stage1,5,5,0.0,cosine,42,150,30.0,eom,0.0,euclidean,ok,完成,2,0.055855626866620066,1758,162,29554,29554,0.9389972675859439,0.94414437313338,0.04883473361001744,0.32604859037088807
stage1,5,5,0.0,cosine,42,175,,eom,0.0,euclidean,ok,完成,17,0.5643388193429497,17762,220,733,1516,0.04816674080193175,0.13655715828938172,0.9469419497189245,0.7022702336319926
stage1,5,5,0.0,cosine,42,175,10.0,eom,0.0,euclidean,ok,完成,27,0.2890957615809875,9099,246,205,5641,0.17922729872275528,0.3704645103895279,0.7999341263891849,0.7654101798309717
stage1,5,5,0.0,cosine,42,175,30.0,eom,0.0,euclidean,ok,完成,29,0.4515473088898774,14212,247,205,1723,0.05474359789032217,0.1446908559445892,0.9313678191857825,0.8125078901103557
stage1,5,5,0.0,cosine,42,200,,eom,0.0,euclidean,ok,完成,3,0.22815657367986275,7181,225,4535,19533,0.6206074855436233,0.7718434263201372,0.4842745805114056,0.4110020969689267
stage1,5,5,0.0,cosine,42,200,10.0,eom,0.0,euclidean,ok,完成,21,0.2497617080765076,7861,246,205,7768,0.24680688822520175,0.46314418249984113,0.7477041373348144,0.698400584609519
stage1,5,5,0.0,cosine,42,200,30.0,eom,0.0,euclidean,ok,完成,26,0.42670140433373577,13430,247,205,1723,0.05474359789032217,0.1446908559445892,0.9348273841542338,0.799961661477198
stage1,5,5,0.0,cosine,42,225,,eom,0.0,euclidean,ok,完成,10,0.541621655970007,17047,4464,725,4464,0.1418313528626803,0.2704454470356485,0.8897351520956258,0.6075416746097307
stage1,5,5,0.0,cosine,42,225,10.0,eom,0.0,euclidean,ok,完成,19,0.2544322297769588,8008,246,764,7768,0.24680688822520175,0.46314418249984113,0.7568700517021133,0.6836660947660503
stage1,5,5,0.0,cosine,42,225,30.0,eom,0.0,euclidean,ok,完成,24,0.4302916693143547,13543,247,289,1723,0.05474359789032217,0.1446908559445892,0.9412771858210495,0.7855512486496791
stage1,5,5,0.0,cosine,42,250,,eom,0.0,euclidean,ok,完成,10,0.5556967655842918,17490,4428,730,4428,0.14068755162991675,0.26984177416280103,0.8773619378826726,0.6037830166698439
stage1,5,5,0.0,cosine,42,250,10.0,eom,0.0,euclidean,ok,完成,16,0.24293067293639195,7646,764,1168,7768,0.24680688822520175,0.4892609773146089,0.7602504026717407,0.6618932028552669
stage1,5,5,0.0,cosine,42,250,30.0,eom,0.0,euclidean,ok,完成,23,0.4381394166613713,13790,289,1139,1723,0.05474359789032217,0.1446908559445892,0.9438679047029082,0.7765302577789075
stage1,5,5,0.0,cosine,42,300,,eom,0.0,euclidean,ok,完成,7,0.42469975217639955,13367,4219,776,7622,0.24216813878121624,0.466829764249857,0.8058920518636123,0.5532403465294105
stage1,5,5,0.0,cosine,42,300,10.0,eom,0.0,euclidean,ok,完成,15,0.25201753828556905,7932,764,1168,6463,0.20534409353752303,0.4373133379932643,0.8333883259427947,0.6753288428544195
stage1,5,5,0.0,cosine,42,300,30.0,eom,0.0,euclidean,ok,完成,20,0.4636525386032916,14593,1139,342,1723,0.05474359789032217,0.1446908559445892,0.9528675345603054,0.7488763211963314
