stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,status,note
stage1,5,5,0.0,cosine,42,50,,eom,0.0,euclidean,2,0.0069438099588853,76,75,10794,10794,0.986203746002741,0.9930561900411148,0.0594591422591939,0.3194444952032891,ok,完成
stage1,5,5,0.0,cosine,42,50,10.0,eom,0.0,euclidean,41,0.316674280493376,3466,50,75,709,0.0647784376427592,0.1661032434901781,0.9194180699377238,0.8523435358611238,ok,完成
stage1,5,5,0.0,cosine,42,50,30.0,eom,0.0,euclidean,3,0.0023755139333028,26,50,75,10794,0.986203746002741,0.9976244860666972,0.0639519507119691,0.3279013248058474,ok,完成
stage1,5,5,0.0,cosine,42,75,,eom,0.0,euclidean,16,0.3499314755596163,3830,90,91,1786,0.1631795340338054,0.3170397441754226,0.8615749582989277,0.710658748286889,ok,完成
stage1,5,5,0.0,cosine,42,75,10.0,eom,0.0,euclidean,30,0.3336683417085427,3652,75,76,831,0.0759250799451804,0.1965280950205573,0.9192774443335032,0.8378163544997717,ok,完成
stage1,5,5,0.0,cosine,42,75,30.0,eom,0.0,euclidean,2,0.0069438099588853,76,75,10794,10794,0.986203746002741,0.9930561900411148,0.0594591422591939,0.3194444952032891,ok,完成
stage1,5,5,0.0,cosine,42,100,,eom,0.0,euclidean,13,0.4207400639561444,4605,106,209,1772,0.1619004111466423,0.2914572864321608,0.8780462632907201,0.6709164001827318,ok,完成
stage1,5,5,0.0,cosine,42,100,10.0,eom,0.0,euclidean,22,0.3590680676107812,3930,113,128,831,0.0759250799451804,0.1965280950205573,0.9373042810093748,0.8061964367291,ok,完成
stage1,5,5,0.0,cosine,42,100,30.0,eom,0.0,euclidean,21,0.3884878940155322,4252,112,214,1536,0.1403380539058931,0.2471448149840109,0.8895372995795175,0.7599232526267703,ok,完成
stage1,5,5,0.0,cosine,42,125,,eom,0.0,euclidean,10,0.4657834627683874,5098,200,599,1639,0.1497487437185929,0.2775696665143901,0.917684512314034,0.639826404751028,ok,完成
stage1,5,5,0.0,cosine,42,125,10.0,eom,0.0,euclidean,20,0.3558702603928734,3895,128,201,831,0.0759250799451804,0.1982640475102786,0.9404739407889318,0.7908085883965281,ok,完成
stage1,5,5,0.0,cosine,42,125,30.0,eom,0.0,euclidean,15,0.3954317039744175,4328,214,134,1536,0.1403380539058931,0.2927364093193239,0.8849568463498819,0.700721790772042,ok,完成
stage1,5,5,0.0,cosine,42,150,,eom,0.0,euclidean,10,0.4415714938328003,4833,191,360,2060,0.1882137962539972,0.3068981269986295,0.8857951593938144,0.6296847875742348,ok,完成
stage1,5,5,0.0,cosine,42,150,10.0,eom,0.0,euclidean,16,0.3651895842850616,3997,201,169,831,0.0759250799451804,0.2062128825947921,0.9534649994771052,0.7544230242119689,ok,完成
stage1,5,5,0.0,cosine,42,150,30.0,eom,0.0,euclidean,12,0.3784376427592508,4142,214,1778,1778,0.1624486066697122,0.3467336683417085,0.8759865183001861,0.6643873915029693,ok,完成
stage1,5,5,0.0,cosine,42,175,,eom,0.0,euclidean,7,0.3439926907263591,3765,183,4454,4454,0.4069438099588853,0.5184102329830973,0.67872807813818,0.5270370031978072,ok,完成
stage1,5,5,0.0,cosine,42,175,10.0,eom,0.0,euclidean,14,0.3954317039744175,4328,201,438,831,0.0759250799451804,0.2062128825947921,0.962486618204508,0.7293503883051622,ok,完成
stage1,5,5,0.0,cosine,42,175,30.0,eom,0.0,euclidean,11,0.3938784833257195,4311,214,1778,1778,0.1624486066697122,0.3467336683417085,0.881150272347057,0.6517551393330288,ok,完成
stage1,5,5,0.0,cosine,42,200,,eom,0.0,euclidean,6,0.3990863407948835,4368,482,534,4081,0.3728643216080402,0.4824120603015075,0.7065966288098903,0.5199323892188213,ok,完成
stage1,5,5,0.0,cosine,42,200,10.0,eom,0.0,euclidean,13,0.4129739607126542,4520,201,438,831,0.0759250799451804,0.2062128825947921,0.9671665708405452,0.7160877112836912,ok,完成
stage1,5,5,0.0,cosine,42,200,30.0,eom,0.0,euclidean,9,0.3493832800365464,3824,214,1778,1953,0.1784376427592508,0.4068524440383737,0.8847531725634495,0.6322832343535861,ok,完成
stage1,5,5,0.0,cosine,42,225,,eom,0.0,euclidean,5,0.3933302878026496,4305,1348,3861,3861,0.3527638190954774,0.5325719506624029,0.7456884719502792,0.5096573777980813,ok,完成
stage1,5,5,0.0,cosine,42,225,10.0,eom,0.0,euclidean,11,0.4112380082229328,4501,438,1036,1036,0.0946550936500685,0.2360895386021014,0.9675115101654048,0.6890141617176793,ok,完成
stage1,5,5,0.0,cosine,42,225,30.0,eom,0.0,euclidean,8,0.3689355870260393,4038,1778,722,1953,0.1784376427592508,0.4068524440383737,0.8969376807665754,0.6184175422567382,ok,完成
stage1,5,5,0.0,cosine,42,250,,eom,0.0,euclidean,5,0.397898583828232,4355,1382,340,3794,0.3466423024211968,0.5280036546368204,0.7491948363028506,0.5110370031978072,ok,完成
stage1,5,5,0.0,cosine,42,250,10.0,eom,0.0,euclidean,10,0.433074463225217,4740,438,1036,1036,0.0946550936500685,0.2360895386021014,0.9748452002615576,0.674463225216994,ok,完成
stage1,5,5,0.0,cosine,42,250,30.0,eom,0.0,euclidean,7,0.3899497487437185,4268,1778,722,1953,0.1784376427592508,0.4068524440383737,0.9138734450204072,0.6041132937414344,ok,完成
stage1,5,5,0.0,cosine,42,300,,eom,0.0,euclidean,2,0.2909090909090909,3184,1415,6346,6346,0.5798081315669256,0.7090909090909091,0.6851301626598516,0.4129666514390132,ok,完成
stage1,5,5,0.0,cosine,42,300,10.0,eom,0.0,euclidean,8,0.3974417542256738,4350,438,1036,1993,0.1820922795797167,0.3526724531749657,0.9325671251851158,0.6196052992233896,ok,完成
stage1,5,5,0.0,cosine,42,300,30.0,eom,0.0,euclidean,7,0.3899497487437185,4268,1778,722,1953,0.1784376427592508,0.4068524440383737,0.9138734450204072,0.6041132937414344,ok,完成
stage1,5,5,0.05,cosine,42,50,,eom,0.0,euclidean,2,0.0069438099588853,76,74,10795,10795,0.9862951119232526,0.9930561900411148,0.0587986536117826,0.3194170854271357,ok,完成
stage1,5,5,0.05,cosine,42,50,10.0,eom,0.0,euclidean,38,0.338784833257195,3708,50,74,580,0.0529922338967565,0.146094106898127,0.9227991387557056,0.853248058474189,ok,完成
stage1,5,5,0.05,cosine,42,50,30.0,eom,0.0,euclidean,3,0.0023755139333028,26,50,74,10795,0.9862951119232526,0.9976244860666972,0.0635371370146575,0.3278739150296939,ok,完成
stage1,5,5,0.05,cosine,42,75,,eom,0.0,euclidean,12,0.3329374143444495,3644,120,85,3091,0.2824120603015075,0.4532663316582914,0.7483156813974071,0.6207418912745546,ok,完成
stage1,5,5,0.05,cosine,42,75,10.0,eom,0.0,euclidean,29,0.3722247601644586,4074,75,85,580,0.0529922338967565,0.146094106898127,0.9373849419953244,0.8432160804020099,ok,完成
stage1,5,5,0.05,cosine,42,75,30.0,eom,0.0,euclidean,23,0.4118775696665144,4508,75,85,1390,0.1269986295111923,0.2422110552763819,0.8768429891210449,0.7738949291914117,ok,完成
stage1,5,5,0.05,cosine,42,100,,eom,0.0,euclidean,9,0.4006395614435815,4385,495,184,2960,0.2704431247144815,0.3928734582000913,0.8079234300425041,0.5921005025125627,ok,完成
stage1,5,5,0.05,cosine,42,100,10.0,eom,0.0,euclidean,22,0.4252169940612151,4654,129,117,580,0.0529922338967565,0.146094106898127,0.9550540977753652,0.8033184102329831,ok,完成
stage1,5,5,0.05,cosine,42,100,30.0,eom,0.0,euclidean,13,0.3100045682960256,3393,134,132,2815,0.2571950662402923,0.4470534490634993,0.784369410410015,0.6444294198264047,ok,完成
stage1,5,5,0.05,cosine,42,125,,eom,0.0,euclidean,9,0.41717679305619,4566,172,492,2831,0.2586569209684787,0.3819095477386934,0.8097973224799797,0.5928679762448607,ok,完成
stage1,5,5,0.05,cosine,42,125,10.0,eom,0.0,euclidean,21,0.4359068067610781,4771,129,193,580,0.0529922338967565,0.146094106898127,0.957053758213572,0.7921114664230243,ok,完成
stage1,5,5,0.05,cosine,42,125,30.0,eom,0.0,euclidean,13,0.3731384193695751,4084,134,132,1477,0.1349474645957058,0.3328460484239379,0.8748859865423633,0.6850050251256281,ok,完成
stage1,5,5,0.05,cosine,42,150,,eom,0.0,euclidean,7,0.4030150753768844,4411,159,450,3998,0.3652809502055733,0.4701690269529465,0.6869842703512853,0.5314773869346734,ok,完成
stage1,5,5,0.05,cosine,42,150,10.0,eom,0.0,euclidean,15,0.4832343535861124,5289,193,580,653,0.0596619460941068,0.1608953860210141,0.9677590446314652,0.7249520328917314,ok,完成
stage1,5,5,0.05,cosine,42,150,30.0,eom,0.0,euclidean,10,0.3585198720877113,3924,1735,194,1735,0.1585198720877113,0.3848332571950662,0.879956585340696,0.64792142530836,ok,完成
stage1,5,5,0.05,cosine,42,175,,eom,0.0,euclidean,6,0.4423937871174052,4842,457,536,3813,0.3483782549109182,0.4456829602558246,0.7034245871381529,0.5216317953403381,ok,完成
stage1,5,5,0.05,cosine,42,175,10.0,eom,0.0,euclidean,12,0.384376427592508,4207,193,580,2175,0.1987208771128369,0.3163088168113294,0.8838359878463041,0.6578090452261306,ok,完成
stage1,5,5,0.05,cosine,42,175,30.0,eom,0.0,euclidean,9,0.3735038830516217,4088,1735,194,1735,0.1585198720877113,0.3848332571950662,0.892556815593704,0.6354262220191869,ok,完成
stage1,5,5,0.05,cosine,42,200,,eom,0.0,euclidean,6,0.4759250799451804,5209,466,537,3522,0.3217907720420283,0.4136135221562357,0.7158302355392145,0.5259625399725902,ok,完成
stage1,5,5,0.05,cosine,42,200,10.0,eom,0.0,euclidean,10,0.4195523069894929,4592,580,422,2175,0.1987208771128369,0.3163088168113294,0.8924953666049655,0.6312562814070353,ok,完成
stage1,5,5,0.05,cosine,42,200,30.0,eom,0.0,euclidean,8,0.3912288716308816,4282,1735,776,1735,0.1585198720877113,0.3848332571950662,0.9068516181211752,0.622108725445409,ok,完成
stage1,5,5,0.05,cosine,42,225,,eom,0.0,euclidean,5,0.4616719963453631,5053,1277,329,3400,0.3106441297396071,0.4690726359068067,0.7448868071906573,0.5144906349931475,ok,完成
stage1,5,5,0.05,cosine,42,225,10.0,eom,0.0,euclidean,10,0.4195523069894929,4592,580,422,2175,0.1987208771128369,0.3163088168113294,0.8924953666049655,0.6312562814070353,ok,完成
stage1,5,5,0.05,cosine,42,225,30.0,eom,0.0,euclidean,6,0.2926450433988122,3203,1735,776,3414,0.3119232526267702,0.5413430790315212,0.8504145308462884,0.5583608953860211,ok,完成
stage1,5,5,0.05,cosine,42,250,,eom,0.0,euclidean,5,0.4842393787117405,5300,1240,324,3190,0.2914572864321608,0.4465052535404294,0.7581797501239267,0.5179899497487437,ok,完成
stage1,5,5,0.05,cosine,42,250,10.0,eom,0.0,euclidean,3,0.2179077204202832,2385,1716,6264,6264,0.5723161260849703,0.7820922795797167,0.667279819875562,0.4305143901324806,ok,完成
stage1,5,5,0.05,cosine,42,250,30.0,eom,0.0,euclidean,6,0.2926450433988122,3203,1735,776,3414,0.3119232526267702,0.5413430790315212,0.8504145308462884,0.5583608953860211,ok,完成
stage1,5,5,0.05,cosine,42,300,,eom,0.0,euclidean,2,0.4031978072179077,4413,1116,5416,5416,0.4948378254910918,0.5968021927820922,0.6596482513602933,0.4272288716308816,ok,完成
stage1,5,5,0.05,cosine,42,300,10.0,eom,0.0,euclidean,4,0.2628597533120146,2877,6264,580,6264,0.5723161260849703,0.6985838282320694,0.5551280106022778,0.4417304705344906,ok,完成
stage1,5,5,0.05,cosine,42,300,30.0,eom,0.0,euclidean,6,0.2926450433988122,3203,1735,776,3414,0.3119232526267702,0.5413430790315212,0.8504145308462884,0.5583608953860211,ok,完成
stage1,5,5,0.1,cosine,42,50,,eom,0.0,euclidean,2,0.0078574691640018,86,75,10784,10784,0.9852900867976244,0.992142530835998,0.0595046942518325,0.3196272270443124,ok,完成
stage1,5,5,0.1,cosine,42,50,10.0,eom,0.0,euclidean,4,0.0052992233896756,58,75,50,10690,0.9767016902695296,0.990132480584742,0.0794464901753934,0.33937322978529,ok,完成
stage1,5,5,0.1,cosine,42,50,30.0,eom,0.0,euclidean,3,0.0031978072179077,35,75,50,10785,0.9853814527181362,0.9968021927820924,0.0639960574267543,0.3280657834627684,ok,完成
stage1,5,5,0.1,cosine,42,75,,eom,0.0,euclidean,13,0.525262677021471,5749,82,86,1358,0.1240749200548195,0.2281407035175879,0.8857452227998652,0.6635705801735953,ok,完成
stage1,5,5,0.1,cosine,42,75,10.0,eom,0.0,euclidean,2,0.0023755139333028,26,75,10844,10844,0.9907720420283236,0.9976244860666972,0.05923250745107,0.3185308359981726,ok,完成
stage1,5,5,0.1,cosine,42,75,30.0,eom,0.0,euclidean,2,0.0023755139333028,26,75,10844,10844,0.9907720420283236,0.9976244860666972,0.05923250745107,0.3185308359981726,ok,完成
stage1,5,5,0.1,cosine,42,100,,eom,0.0,euclidean,10,0.5156692553677479,5644,169,463,1697,0.1550479671082686,0.2629511192325263,0.8948177685766453,0.6261946094106898,ok,完成
stage1,5,5,0.1,cosine,42,100,10.0,eom,0.0,euclidean,18,0.3914116034719049,4284,128,1699,1699,0.1552306989492919,0.2638647784376428,0.8808312237915038,0.7272343535861123,ok,完成
stage1,5,5,0.1,cosine,42,100,30.0,eom,0.0,euclidean,13,0.4090452261306532,4477,119,185,1785,0.1630881681132937,0.3367747830059387,0.8507152079665388,0.6650050251256281,ok,完成
stage1,5,5,0.1,cosine,42,125,,eom,0.0,euclidean,7,0.4719049794426679,5165,154,468,3267,0.2984924623115578,0.4057560529922339,0.7346192673533325,0.5437295568752856,ok,完成
stage1,5,5,0.1,cosine,42,125,10.0,eom,0.0,euclidean,17,0.4016445865692097,4396,128,1699,1699,0.1552306989492919,0.2638647784376428,0.8833229939476815,0.7161644586569209,ok,完成
stage1,5,5,0.1,cosine,42,125,30.0,eom,0.0,euclidean,10,0.4,4378,1520,185,1785,0.1630881681132937,0.3645500228414801,0.8764737891108806,0.6381635449977159,ok,完成
stage1,5,5,0.1,cosine,42,150,,eom,0.0,euclidean,7,0.5091822750114208,5573,150,432,3028,0.2766560073092736,0.3719506624029237,0.7391004163127628,0.545858382823207,ok,完成
stage1,5,5,0.1,cosine,42,150,10.0,eom,0.0,euclidean,12,0.4262220191868433,4665,1699,618,1699,0.1552306989492919,0.2722704431247145,0.9050881583403192,0.6671100959342164,ok,完成
stage1,5,5,0.1,cosine,42,150,30.0,eom,0.0,euclidean,10,0.4,4378,1520,185,1785,0.1630881681132937,0.3645500228414801,0.8764737891108806,0.6381635449977159,ok,完成
stage1,5,5,0.1,cosine,42,175,,eom,0.0,euclidean,6,0.544814984010964,5963,435,494,2906,0.2655093650068524,0.3517587939698492,0.7501754615756412,0.5345509365006852,ok,完成
stage1,5,5,0.1,cosine,42,175,10.0,eom,0.0,euclidean,10,0.4292370945637277,4698,1699,618,1699,0.1552306989492919,0.2927364093193239,0.9207348354875337,0.6461123800822293,ok,完成
stage1,5,5,0.1,cosine,42,175,30.0,eom,0.0,euclidean,9,0.4146185472818638,4538,1520,185,1785,0.1630881681132937,0.3645500228414801,0.8879946988870141,0.6257779808131566,ok,完成
stage1,5,5,0.1,cosine,42,200,,eom,0.0,euclidean,6,0.5521242576518959,6043,427,486,2888,0.2638647784376428,0.3472818638647784,0.7438129792600702,0.5337469164001827,ok,完成
stage1,5,5,0.1,cosine,42,200,10.0,eom,0.0,euclidean,9,0.4182731841023298,4578,1699,618,1699,0.1552306989492919,0.2927364093193239,0.9427847295348868,0.6414015532206486,ok,完成
stage1,5,5,0.1,cosine,42,200,30.0,eom,0.0,euclidean,8,0.4097761534947464,4485,1758,559,1785,0.1630881681132937,0.3862951119232526,0.8921898873465115,0.6148816811329374,ok,完成
stage1,5,5,0.1,cosine,42,225,,eom,0.0,euclidean,7,0.6403837368661489,7009,283,409,1264,0.1154865235267245,0.2201005025125628,0.934238262599286,0.5852188213796254,ok,完成
stage1,5,5,0.1,cosine,42,225,10.0,eom,0.0,euclidean,4,0.2400182731841023,2627,1699,618,5159,0.471356783919598,0.7035175879396985,0.7543128195455006,0.4778839652809502,ok,完成
stage1,5,5,0.1,cosine,42,225,30.0,eom,0.0,euclidean,7,0.4285975331201462,4691,1758,559,1785,0.1630881681132937,0.3862951119232526,0.9098403050109484,0.6012352672453176,ok,完成
stage1,5,5,0.1,cosine,42,250,,eom,0.0,euclidean,6,0.5946094106898127,6508,280,386,2590,0.2366377341251713,0.3108268615806304,0.7509280211234877,0.5364604842393788,ok,完成
stage1,5,5,0.1,cosine,42,250,10.0,eom,0.0,euclidean,4,0.2400182731841023,2627,1699,618,5159,0.471356783919598,0.7035175879396985,0.7543128195455006,0.4778839652809502,ok,完成
stage1,5,5,0.1,cosine,42,250,30.0,eom,0.0,euclidean,7,0.4285975331201462,4691,1758,559,1785,0.1630881681132937,0.3862951119232526,0.9098403050109484,0.6012352672453176,ok,完成
stage1,5,5,0.1,cosine,42,300,,eom,0.0,euclidean,4,0.6427592507994518,7035,713,2447,2447,0.2235724074920055,0.3258108725445409,0.7593423344981934,0.5069383280036547,ok,完成
stage1,5,5,0.1,cosine,42,300,10.0,eom,0.0,euclidean,4,0.2400182731841023,2627,1699,618,5159,0.471356783919598,0.7035175879396985,0.7543128195455006,0.4778839652809502,ok,完成
stage1,5,5,0.1,cosine,42,300,30.0,eom,0.0,euclidean,7,0.4285975331201462,4691,1758,559,1785,0.1630881681132937,0.3862951119232526,0.9098403050109484,0.6012352672453176,ok,完成
stage1,5,5,0.25,cosine,42,50,,eom,0.0,euclidean,2,0.0128825947921425,141,75,10729,10729,0.9802649611694838,0.9871174052078576,0.0597565842110409,0.3206322521699405,ok,完成
stage1,5,5,0.25,cosine,42,50,10.0,eom,0.0,euclidean,2,0.0031978072179077,35,50,10860,10860,0.99223389675651,0.9968021927820924,0.0422039017865096,0.3180100502512563,ok,完成
stage1,5,5,0.25,cosine,42,50,30.0,eom,0.0,euclidean,3,0.0057560529922338,63,50,74,10758,0.9829145728643216,0.994243947007766,0.0637177618943848,0.3285500228414801,ok,完成
stage1,5,5,0.25,cosine,42,75,,eom,0.0,euclidean,2,0.2402010050251256,2629,8241,75,8241,0.7529465509365006,0.7597989949748744,0.0742155942231643,0.3660959342165372,ok,完成
stage1,5,5,0.25,cosine,42,75,10.0,eom,0.0,euclidean,2,0.0092279579716765,101,75,10769,10769,0.9839195979899498,0.9907720420283236,0.05957316378437,0.3199013248058474,ok,完成
stage1,5,5,0.25,cosine,42,75,30.0,eom,0.0,euclidean,2,0.1559616263133851,1707,80,9158,9158,0.8367291000456829,0.8440383736866149,0.0717719582682473,0.3493851073549566,ok,完成
stage1,5,5,0.25,cosine,42,100,,eom,0.0,euclidean,4,0.533851073549566,5843,142,4198,4198,0.3835541343079031,0.4531749657377798,0.4665943962502439,0.4661434444952033,ok,完成
