stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,status,note
stage2,5,5,0.05,cosine,42,50,,eom,0.0,euclidean,2,0.006943809958885336,76,74,10795,10795,0.9862951119232526,0.9930561900411147,0.058798653611782666,0.3194170854271357,ok,完成
stage2,5,5,0.05,cosine,42,50,,eom,0.05,euclidean,2,0.006943809958885336,76,74,10795,10795,0.9862951119232526,0.9930561900411147,0.058798653611782666,0.3194170854271357,ok,完成
stage2,5,5,0.05,cosine,42,50,,eom,0.1,euclidean,2,0.006943809958885336,76,74,10795,10795,0.9862951119232526,0.9930561900411147,0.058798653611782666,0.3194170854271357,ok,完成
stage2,5,5,0.05,cosine,42,50,,eom,0.2,euclidean,2,0.006943809958885336,76,74,10795,10795,0.9862951119232526,0.9930561900411147,0.058798653611782666,0.3194170854271357,ok,完成
stage2,5,5,0.05,cosine,42,50,,leaf,0.0,euclidean,32,0.540886249428963,5920,74,70,551,0.05034262220191869,0.1345820009136592,0.9165036598146855,0.7957149383280038,ok,完成
stage2,5,5,0.05,cosine,42,50,,leaf,0.05,euclidean,32,0.540886249428963,5920,74,70,551,0.05034262220191869,0.1345820009136592,0.9165036598146855,0.7957149383280038,ok,完成
stage2,5,5,0.05,cosine,42,50,,leaf,0.1,euclidean,32,0.540886249428963,5920,74,70,551,0.05034262220191869,0.1345820009136592,0.9165036598146855,0.7957149383280038,ok,完成
stage2,5,5,0.05,cosine,42,50,,leaf,0.2,euclidean,32,0.540886249428963,5920,74,70,551,0.05034262220191869,0.1345820009136592,0.9165036598146855,0.7957149383280038,ok,完成
stage2,5,5,0.05,cosine,42,50,5,eom,0.0,euclidean,42,0.2895386021014162,3169,50,74,871,0.07957971676564642,0.1972590223846505,0.8956077563586516,0.8498126998629512,ok,完成
stage2,5,5,0.05,cosine,42,50,5,eom,0.05,euclidean,42,0.2895386021014162,3169,50,74,871,0.07957971676564642,0.1972590223846505,0.8956077563586516,0.8498126998629512,ok,完成
stage2,5,5,0.05,cosine,42,50,5,eom,0.1,euclidean,42,0.2895386021014162,3169,50,74,871,0.07957971676564642,0.1972590223846505,0.8956077563586516,0.8498126998629512,ok,完成
stage2,5,5,0.05,cosine,42,50,5,eom,0.2,euclidean,40,0.2878940155322065,3151,50,74,871,0.07957971676564642,0.1972590223846505,0.8998652102198503,0.850306075833714,ok,完成
stage2,5,5,0.05,cosine,42,50,5,leaf,0.0,euclidean,59,0.42421196893558705,4643,50,74,441,0.04029237094563728,0.09008679762448607,0.958789698434936,0.8426313385107356,ok,完成
stage2,5,5,0.05,cosine,42,50,5,leaf,0.05,euclidean,59,0.42421196893558705,4643,50,74,441,0.04029237094563728,0.09008679762448607,0.958789698434936,0.8426313385107356,ok,完成
