stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,status,note
stability,5,5,0.0,cosine,42,50,5,eom,0.2,euclidean,36,0.26806761078117863,2934,50,75,730,0.06669712197350389,0.1847418912745546,0.9149687743045162,0.8626222019186842,ok,完成
stability,5,5,0.0,cosine,123,50,5,eom,0.2,euclidean,39,0.2867976244860667,3139,73,74,1740,0.15897670169026953,0.24933759707629055,0.8596384803420252,0.816400182731841,ok,完成
stability,5,5,0.0,cosine,2026,50,5,eom,0.2,euclidean,26,0.1784376427592508,1953,71,83,3022,0.27610781178620375,0.441662859753312,0.751644854102171,0.7753037916857013,ok,完成
stability,5,5,0.0,cosine,3407,50,5,eom,0.2,euclidean,34,0.2535404294198264,2775,122,78,1123,0.102603928734582,0.21754225673823663,0.8936209181771382,0.8496482412060302,ok,完成
stability,5,5,0.0,cosine,20240603,50,5,eom,0.2,euclidean,33,0.26861580630424853,2940,78,78,666,0.060849703060758334,0.17012334399269072,0.9114906411353327,0.8671356783919599,ok,完成
stability,5,5,0.0,cosine,42,50,5,leaf,0.2,euclidean,37,0.27674737322978527,3029,50,75,730,0.06669712197350389,0.17478300593878485,0.9176913249881509,0.8620100502512562,ok,完成
stability,5,5,0.0,cosine,123,50,5,leaf,0.2,euclidean,43,0.31128369118318866,3407,73,74,793,0.07245317496573778,0.16381909547738693,0.9093478795741519,0.8521151210598448,ok,完成
stability,5,5,0.0,cosine,2026,50,5,leaf,0.2,euclidean,37,0.299223389675651,3275,71,83,1054,0.0962996802192782,0.2143444495203289,0.8772976292719272,0.8384741891274554,ok,完成
stability,5,5,0.0,cosine,3407,50,5,leaf,0.2,euclidean,36,0.2793969849246231,3058,122,78,639,0.05838282320694381,0.17185929648241205,0.9113823685483085,0.8642941982640475,ok,完成
stability,5,5,0.0,cosine,20240603,50,5,leaf,0.2,euclidean,34,0.27647327546825035,3026,78,78,666,0.060849703060758334,0.17012334399269072,0.9077129530980482,0.8647784376427592,ok,完成
