umap_n_neighbors,umap_n_components,umap_min_dist,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,status,note,rank,random_state
5,5,0.0,50,5,eom,0.1,155,0.3430149509570517,10806,51,55,823,0.02612449607973844,0.06643811700472971,4.773856703916479,0.8759705424880171,ok,,1,42
5,5,0.0,50,5,eom,0.1,155,0.36961559216582546,11644,141,112,1011,0.03209218169698124,0.08237310732311208,4.744450159238653,0.8630130463765355,ok,,1,123
5,5,0.0,50,5,eom,0.1,144,0.33409516553978985,10525,51,57,1279,0.04059930800241247,0.09059454655112212,4.635956084034325,0.8694727486271148,ok,,1,2026
5,5,0.0,50,5,eom,0.1,147,0.32641335745801986,10283,52,81,979,0.03107640542170587,0.08818207789734311,4.681780390599495,0.8751166555566137,ok,,1,3407
5,5,0.0,50,5,eom,0.1,139,0.3205091578579818,10097,52,87,1558,0.049455607402469605,0.11116401612544836,4.530439827463106,0.8667777671967749,ok,,1,20240603
5,5,0.0,50,5,eom,0.0,156,0.34406247024092945,10839,51,55,823,0.02612449607973844,0.06643811700472971,4.779526234777938,0.8756562867028537,ok,,2,42
5,5,0.0,50,5,eom,0.0,156,0.37247246294003744,11734,141,112,1011,0.03209218169698124,0.08237310732311208,4.756929721150135,0.8621559851442719,ok,,2,123
5,5,0.0,50,5,eom,0.0,146,0.3405072532774656,10727,51,57,1279,0.04059930800241247,0.09059454655112212,4.6555749737569485,0.867549122305812,ok,,2,2026
5,5,0.0,50,5,eom,0.0,147,0.32641335745801986,10283,52,81,979,0.03107640542170587,0.08818207789734311,4.681780390599495,0.8751166555566137,ok,,2,3407
5,5,0.0,50,5,eom,0.0,140,0.32130273307304064,10122,52,87,1558,0.049455607402469605,0.11116401612544836,4.538611613520809,0.8665396946322572,ok,,2,20240603
5,5,0.0,50,5,eom,0.05,156,0.34406247024092945,10839,51,55,823,0.02612449607973844,0.06643811700472971,4.779526234777938,0.8756562867028537,ok,,3,42
5,5,0.0,50,5,eom,0.05,156,0.37247246294003744,11734,141,112,1011,0.03209218169698124,0.08237310732311208,4.756929721150135,0.8621559851442719,ok,,3,123
5,5,0.0,50,5,eom,0.05,146,0.3405072532774656,10727,51,57,1279,0.04059930800241247,0.09059454655112212,4.6555749737569485,0.867549122305812,ok,,3,2026
5,5,0.0,50,5,eom,0.05,147,0.32641335745801986,10283,52,81,979,0.03107640542170587,0.08818207789734311,4.681780390599495,0.8751166555566137,ok,,3,3407
5,5,0.0,50,5,eom,0.05,140,0.32130273307304064,10122,52,87,1558,0.049455607402469605,0.11116401612544836,4.538611613520809,0.8665396946322572,ok,,3,20240603
5,5,0.0,50,5,leaf,0.1,165,0.36529854299590514,11508,51,55,634,0.02012506745389328,0.054026600641208775,4.88697380661741,0.8735675967368186,ok,,4,42
5,5,0.0,50,5,leaf,0.1,166,0.40180300288861376,12658,141,112,939,0.029806685077611656,0.06278767101545885,4.872108579634856,0.8579595594070406,ok,,4,123
5,5,0.0,50,5,leaf,0.1,159,0.3870742468971209,12194,51,57,572,0.01815700092054725,0.049741294479890806,4.879472731585363,0.8684823667587214,ok,,4,2026
5,5,0.0,50,5,leaf,0.1,160,0.3815509634003111,12020,52,81,571,0.018125257911944893,0.04529727327556106,4.890287172613393,0.8710376789512109,ok,,4,3407
5,5,0.0,50,5,leaf,0.1,155,0.3881852521982033,12229,52,87,587,0.01863314604958258,0.05170936101323684,4.829828193655274,0.8676126083230169,ok,,4,20240603
5,15,0.0,50,10,eom,0.2,116,0.3044789385137923,9592,51,53,1622,0.05148715995302035,0.12433736469542583,4.233674857295409,0.868342697520871,ok,,5,42
5,15,0.0,50,10,eom,0.2,120,0.3058121448750913,9634,52,50,2287,0.07259626067358664,0.15131892200742786,4.174523249854331,0.8562136939339111,ok,,5,123
5,15,0.0,50,10,eom,0.2,113,0.327143446655874,10306,52,71,1514,0.04805891502396597,0.11827445005237597,4.245915146149495,0.8637844014855729,ok,,5,2026
5,15,0.0,50,10,eom,0.2,116,0.3216836491762689,10134,51,72,1315,0.04174205631209726,0.11417960194267213,4.279577123550117,0.8681363679649556,ok,,5,3407
5,15,0.0,50,10,eom,0.2,112,0.30409802241056405,9580,52,51,1792,0.05688347141542075,0.12240104117068215,4.19624113234304,0.8672253436180681,ok,,5,20240603
5,10,0.0,50,5,eom,0.0,155,0.36993302225184904,11654,51,54,842,0.02672761324318319,0.0640256483509507,4.800475076451518,0.8681966796813001,ok,,6,42
5,10,0.0,50,5,eom,0.0,141,0.3385391867441196,10665,100,52,1007,0.03196520966257182,0.09364187537694822,4.54677648142407,0.8701203060026028,ok,,6,123
5,10,0.0,50,5,eom,0.0,140,0.3239056597784338,10204,62,105,1036,0.032885756912040126,0.08453163190807225,4.580874074123107,0.8760562486112433,ok,,6,2026
5,10,0.0,50,5,eom,0.0,155,0.33476176872043933,10546,93,71,1264,0.04012316287337714,0.08599181030378059,4.739705487873451,0.8703361584610989,ok,,6,3407
5,10,0.0,50,5,eom,0.0,147,0.33107957972256613,10430,52,112,1579,0.05012221058311907,0.10532330254261499,4.5888203764227455,0.8645748023997715,ok,,6,20240603
5,10,0.0,50,5,eom,0.05,155,0.36993302225184904,11654,51,54,842,0.02672761324318319,0.0640256483509507,4.800475076451518,0.8681966796813001,ok,,7,42
5,10,0.0,50,5,eom,0.05,141,0.3385391867441196,10665,100,52,1007,0.03196520966257182,0.09364187537694822,4.54677648142407,0.8701203060026028,ok,,7,123
5,10,0.0,50,5,eom,0.05,140,0.3239056597784338,10204,62,105,1036,0.032885756912040126,0.08453163190807225,4.580874074123107,0.8760562486112433,ok,,7,2026
5,10,0.0,50,5,eom,0.05,155,0.33476176872043933,10546,93,71,1264,0.04012316287337714,0.08599181030378059,4.739705487873451,0.8703361584610989,ok,,7,3407
5,10,0.0,50,5,eom,0.05,147,0.33107957972256613,10430,52,112,1579,0.05012221058311907,0.10532330254261499,4.5888203764227455,0.8645748023997715,ok,,7,20240603
