umap_n_neighbors,umap_n_components,umap_min_dist,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,status,note
5,10,0.0,50,,eom,0.0,78,0.3580928800431704,11281,51,54,2984,0.0947211376694283,0.200107926229248,3.636360516454952,0.8241342094403707,ok,
5,10,0.0,50,,eom,0.05,78,0.3580928800431704,11281,51,54,2984,0.0947211376694283,0.200107926229248,3.636360516454952,0.8241342094403707,ok,
5,10,0.0,50,,eom,0.1,78,0.3580928800431704,11281,51,54,2984,0.0947211376694283,0.200107926229248,3.636360516454952,0.8241342094403707,ok,
5,10,0.0,50,,eom,0.2,78,0.3580928800431704,11281,51,54,2984,0.0947211376694283,0.200107926229248,3.636360516454952,0.8241342094403707,ok,
5,10,0.0,50,,leaf,0.0,108,0.567628479827318,17882,51,54,596,0.0189188331270037,0.0493603783766625,4.484795752062167,0.8141637304383709,ok,
5,10,0.0,50,,leaf,0.05,108,0.567628479827318,17882,51,54,596,0.0189188331270037,0.0493603783766625,4.484795752062167,0.8141637304383709,ok,
5,10,0.0,50,,leaf,0.1,108,0.567628479827318,17882,51,54,596,0.0189188331270037,0.0493603783766625,4.484795752062167,0.8141637304383709,ok,
5,10,0.0,50,,leaf,0.2,106,0.5504872551820461,17342,51,54,596,0.0189188331270037,0.0524077072024886,4.444417261480122,0.8186966320667872,ok,
5,10,0.0,50,5.0,eom,0.0,155,0.369933022251849,11654,51,54,842,0.0267276132431831,0.0640256483509507,4.800475076451518,0.8681966796813001,ok,
5,10,0.0,50,5.0,eom,0.05,155,0.369933022251849,11654,51,54,842,0.0267276132431831,0.0640256483509507,4.800475076451518,0.8681966796813001,ok,
5,10,0.0,50,5.0,eom,0.1,155,0.369933022251849,11654,51,54,842,0.0267276132431831,0.0640256483509507,4.800475076451518,0.8681966796813001,ok,
5,10,0.0,50,5.0,eom,0.2,107,0.2417230105069358,7615,51,54,2852,0.0905310605339174,0.180363774878583,3.968711862673108,0.8642510237120273,ok,
