stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score
stage1,5,5,0.0,cosine,42,50,,eom,0.0,euclidean,ok,完成,2,0.0039169247586081,43,72,10863,10863,0.9895245035525596,0.9960830752413918,0.0571830490023523,0.2694705775186737
stage1,5,5,0.0,cosine,42,50,10.0,eom,0.0,euclidean,ok,完成,45,0.3620878119876116,3975,72,70,592,0.0539260338859537,0.1419202040444525,0.9389180127041084,0.8622198943341228
stage1,5,5,0.0,cosine,42,50,30.0,eom,0.0,euclidean,ok,完成,2,0.0039169247586081,43,72,10863,10863,0.9895245035525596,0.9960830752413918,0.0571830490023523,0.2694705775186737
stage1,5,5,0.0,cosine,42,75,,eom,0.0,euclidean,ok,完成,15,0.4113681909273091,4516,595,1472,1472,0.1340863545272363,0.2979595554745855,0.8712454107218869,0.7106358170887229
stage1,5,5,0.0,cosine,42,75,10.0,eom,0.0,euclidean,ok,完成,26,0.344507196210603,3782,1650,615,1650,0.1503006012024048,0.2602477682638003,0.8790718855515222,0.8092184368737474
stage1,5,5,0.0,cosine,42,75,30.0,eom,0.0,euclidean,ok,完成,21,0.4128256513026052,4532,1622,104,1622,0.1477500455456367,0.25068318455092,0.8730842374556355,0.7629444343231918
stage1,5,5,0.0,cosine,42,100,,eom,0.0,euclidean,ok,完成,9,0.3179996356349062,3491,477,362,4474,0.407542357442157,0.5123884131900164,0.6683419509494916,0.5473825833485152
stage1,5,5,0.0,cosine,42,100,10.0,eom,0.0,euclidean,ok,完成,4,0.0803425031881945,882,7727,1650,7727,0.7038622699945345,0.9101840043723812,0.5181387324722073,0.3835257788303881
stage1,5,5,0.0,cosine,42,100,30.0,eom,0.0,euclidean,ok,完成,17,0.4108216432865731,4510,1622,104,1622,0.1477500455456367,0.25068318455092,0.8918014469923999,0.7314454363271998
stage1,5,5,0.0,cosine,42,125,,eom,0.0,euclidean,ok,完成,8,0.3424120969211149,3759,212,4328,4328,0.3942430315175806,0.5013663691018401,0.6851380398553949,0.5401386409182001
