stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score
stage2,5,5,0.0,cosine,42,50,,eom,0.0,euclidean,ok,完成,2,0.0039169247586081255,43,72,10863,10863,0.9895245035525597,0.9960830752413918,0.0571830490023523,0.2694705775186737
stage2,5,5,0.0,cosine,42,50,,eom,0.05,euclidean,ok,完成,2,0.0039169247586081255,43,72,10863,10863,0.9895245035525597,0.9960830752413918,0.0571830490023523,0.2694705775186737
stage2,5,5,0.0,cosine,42,50,,eom,0.1,euclidean,ok,完成,2,0.0039169247586081255,43,72,10863,10863,0.9895245035525597,0.9960830752413918,0.0571830490023523,0.2694705775186737
stage2,5,5,0.0,cosine,42,50,,eom,0.2,euclidean,ok,完成,2,0.0039169247586081255,43,72,10863,10863,0.9895245035525597,0.9960830752413918,0.0571830490023523,0.2694705775186737
stage2,5,5,0.0,cosine,42,50,,leaf,0.0,euclidean,ok,完成,38,0.6041173255602114,6632,72,73,317,0.028875933685552923,0.07378393149936237,0.9601804199683214,0.8241073055201311
stage2,5,5,0.0,cosine,42,50,,leaf,0.05,euclidean,ok,完成,38,0.6041173255602114,6632,72,73,317,0.028875933685552923,0.07378393149936237,0.9601804199683214,0.8241073055201311
stage2,5,5,0.0,cosine,42,50,,leaf,0.1,euclidean,ok,完成,38,0.6041173255602114,6632,72,73,317,0.028875933685552923,0.07378393149936237,0.9601804199683214,0.8241073055201311
stage2,5,5,0.0,cosine,42,50,,leaf,0.2,euclidean,ok,完成,38,0.6041173255602114,6632,72,73,317,0.028875933685552923,0.07378393149936237,0.9601804199683214,0.8241073055201311
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.0,euclidean,ok,完成,44,0.3059755875387138,3359,72,70,690,0.06285297868464201,0.17325560211331753,0.9240877939515035,0.8668564401530334
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.05,euclidean,ok,完成,44,0.3059755875387138,3359,72,70,690,0.06285297868464201,0.17325560211331753,0.9240877939515035,0.8668564401530334
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.1,euclidean,ok,完成,44,0.3059755875387138,3359,72,70,690,0.06285297868464201,0.17325560211331753,0.9240877939515035,0.8668564401530334
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.2,euclidean,ok,完成,40,0.2838404080889051,3116,72,70,690,0.06285297868464201,0.17325560211331753,0.922469939866663,0.8723902350154855
stage2,5,5,0.0,cosine,42,50,5.0,leaf,0.0,euclidean,ok,完成,57,0.4427035889961742,4860,72,70,276,0.025141191473856805,0.0720531973036983,0.9741114622979521,0.8661140462743668
stage2,5,5,0.0,cosine,42,50,5.0,leaf,0.05,euclidean,ok,完成,57,0.4427035889961742,4860,72,70,276,0.025141191473856805,0.0720531973036983,0.9741114622979521,0.8661140462743668
stage2,5,5,0.0,cosine,42,50,5.0,leaf,0.1,euclidean,ok,完成,57,0.4427035889961742,4860,72,70,276,0.025141191473856805,0.0720531973036983,0.9741114622979521,0.8661140462743668
stage2,5,5,0.0,cosine,42,50,5.0,leaf,0.2,euclidean,ok,完成,40,0.2838404080889051,3116,72,70,690,0.06285297868464201,0.17325560211331753,0.922469939866663,0.8723902350154855
stage2,5,5,0.0,cosine,42,50,10.0,eom,0.0,euclidean,ok,完成,45,0.3620878119876116,3975,72,70,592,0.053926033885953725,0.14192020404445255,0.9389180127041085,0.8622198943341228
stage2,5,5,0.0,cosine,42,50,10.0,eom,0.05,euclidean,ok,完成,45,0.3620878119876116,3975,72,70,592,0.053926033885953725,0.14192020404445255,0.9389180127041085,0.8622198943341228
stage2,5,5,0.0,cosine,42,50,10.0,eom,0.1,euclidean,ok,完成,45,0.3620878119876116,3975,72,70,592,0.053926033885953725,0.14192020404445255,0.9389180127041085,0.8622198943341228
