stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,stability_rank
stage2,5,5,0.0,cosine,42,50,5.0,leaf,0.2,euclidean,ok,完成,40,0.2838404080889051,3116,72,70,690,0.06285297868464201,0.17325560211331753,0.922469939866663,0.8723902350154855,1
stage2,5,5,0.0,cosine,123,50,5.0,leaf,0.2,euclidean,ok,完成,43,0.280378939697577,3078,68,72,671,0.061122244488977955,0.1682455820732374,0.8972743270744483,0.8748633630898159,1
stage2,5,5,0.0,cosine,2026,50,5.0,leaf,0.2,euclidean,ok,完成,44,0.3035161231554017,3332,69,64,684,0.06230643104390599,0.1653306613226453,0.9267565036791223,0.8692475860812534,1
stage2,5,5,0.0,cosine,3407,50,5.0,leaf,0.2,euclidean,ok,完成,40,0.29823282929495354,3274,72,85,924,0.0841683366733467,0.18282018582619786,0.9051012788680755,0.8594188376753507,1
stage2,5,5,0.0,cosine,20240603,50,5.0,leaf,0.2,euclidean,ok,完成,40,0.29786846420112956,3270,70,92,528,0.04809619238476954,0.13891419202040445,0.9297164862512556,0.8809163782109675,1
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.2,euclidean,ok,完成,40,0.2838404080889051,3116,72,70,690,0.06285297868464201,0.17325560211331753,0.922469939866663,0.8723902350154855,2
stage2,5,5,0.0,cosine,123,50,5.0,eom,0.2,euclidean,ok,完成,43,0.280378939697577,3078,68,72,671,0.061122244488977955,0.1682455820732374,0.8972743270744483,0.8748633630898159,2
stage2,5,5,0.0,cosine,2026,50,5.0,eom,0.2,euclidean,ok,完成,42,0.282018582619785,3096,69,64,1134,0.1032975040991073,0.2063217343778466,0.9047530289164033,0.852076881034797,2
stage2,5,5,0.0,cosine,3407,50,5.0,eom,0.2,euclidean,ok,完成,40,0.29823282929495354,3274,72,85,924,0.0841683366733467,0.18282018582619786,0.9051012788680755,0.8594188376753507,2
stage2,5,5,0.0,cosine,20240603,50,5.0,eom,0.2,euclidean,ok,完成,37,0.27591546729823285,3029,70,92,932,0.08489706686099471,0.1785388959737657,0.9151624359209167,0.8655993805793405,2
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.0,euclidean,ok,完成,44,0.3059755875387138,3359,72,70,690,0.06285297868464201,0.17325560211331753,0.9240877939515035,0.8668564401530334,3
stage2,5,5,0.0,cosine,123,50,5.0,eom,0.0,euclidean,ok,完成,54,0.34587356531244307,3797,68,72,592,0.053926033885953725,0.1437420295135726,0.9336118741329821,0.865909090909091,3
stage2,5,5,0.0,cosine,2026,50,5.0,eom,0.0,euclidean,ok,完成,45,0.29568227363818544,3246,69,64,1134,0.1032975040991073,0.2063217343778466,0.9041133661845864,0.8486609582801967,3
