stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,stability_rank
stage2,5,10,0.0,cosine,42,50,10.0,leaf,0.2,euclidean,ok,完成,130,0.31361540632939183,9999,82,139,959,0.03007872533952263,0.07681209421949,0.9324533524387484,0.8815293416554277,1
stage2,5,10,0.0,cosine,123,50,10.0,leaf,0.2,euclidean,ok,完成,136,0.282031176489038,8992,61,54,1153,0.03616347269704858,0.08873067151773673,0.9287584624930698,0.8867954709406267,1
stage2,5,10,0.0,cosine,2026,50,10.0,leaf,0.2,euclidean,ok,完成,138,0.2894646049618919,9229,75,74,1058,0.03318382837248691,0.0835554997961296,0.9281768548782895,0.8864943700404604,1
stage2,5,10,0.0,cosine,3407,50,10.0,leaf,0.2,euclidean,ok,完成,135,0.3148386287363172,10038,56,100,1064,0.0333720164350908,0.08226954803500298,0.934764291380153,0.8790828968415769,1
stage2,5,10,0.0,cosine,20240603,50,10.0,leaf,0.2,euclidean,ok,完成,133,0.3101025624941191,9887,50,71,797,0.024997647649217452,0.06398394128532446,0.9379872317250816,0.8866731486999342,1
stage2,5,10,0.0,cosine,42,50,5.0,eom,0.0,euclidean,ok,完成,163,0.334347457892921,10660,82,97,758,0.02377442524229213,0.06207069598218486,0.9516892577494229,0.8801492958629991,2
stage2,5,10,0.0,cosine,123,50,5.0,eom,0.0,euclidean,ok,完成,161,0.3019477464479503,9627,55,62,916,0.02873004422419471,0.07452247279114262,0.9448946101650652,0.885892168240128,2
stage2,5,10,0.0,cosine,2026,50,5.0,eom,0.0,euclidean,ok,完成,160,0.2990935608317912,9536,75,74,1349,0.04231094940877584,0.08684879089169777,0.9360367946658072,0.8802088887494903,2
stage2,5,10,0.0,cosine,3407,50,5.0,eom,0.0,euclidean,ok,完成,163,0.32738449957657684,10438,54,56,804,0.025217200388921997,0.06633629206787316,0.9490481473625,0.8809522315967757,2
stage2,5,10,0.0,cosine,20240603,50,5.0,eom,0.0,euclidean,ok,完成,166,0.3234639149389957,10313,50,71,727,0.022802120252172004,0.06207069598218486,0.9541470223525503,0.8837060502462126,2
