stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score
stage1,5,5,0.0,cosine,42,50,,eom,0.0,euclidean,ok,完成,96,0.4322993444782486,13783,82,64,1618,0.05074804754885048,0.1040052692657529,0.9104935964941869,0.8342847285387196
stage1,5,5,0.0,cosine,42,50,10.0,eom,0.0,euclidean,ok,完成,154,0.3513157482043722,11201,82,111,731,0.0229275789605746,0.0645798701502368,0.9479028733733712,0.8748110278204686
stage1,5,5,0.0,cosine,42,50,30.0,eom,0.0,euclidean,ok,完成,116,0.3962613304896026,12634,82,92,1355,0.04249913747137973,0.09607000595928865,0.9246493286800926,0.8491578584198476
stage1,5,5,0.0,cosine,42,75,,eom,0.0,euclidean,ok,完成,59,0.4630053633597842,14762,82,283,1689,0.052974939622996584,0.10720446633001914,0.9257503140722023,0.8237650158391621
stage1,5,5,0.0,cosine,42,75,10.0,eom,0.0,euclidean,ok,完成,97,0.3656180409622683,11657,82,111,944,0.02960825518301289,0.0733619797384186,0.9468739511805194,0.8667597152087319
stage1,5,5,0.0,cosine,42,75,30.0,eom,0.0,euclidean,ok,完成,79,0.40636075651601167,12956,82,92,1670,0.052379010758084245,0.10594987924599317,0.9273113382028496,0.8411880939685725
stage1,5,5,0.0,cosine,42,100,,eom,0.0,euclidean,ok,完成,42,0.4503026691340213,14357,283,141,3313,0.10391117523445097,0.18235423266317474,0.8815286508394887,0.7972650001568233
stage1,5,5,0.0,cosine,42,100,10.0,eom,0.0,euclidean,ok,完成,73,0.3768152306872001,12014,111,186,1451,0.04551014647304206,0.10353479910924317,0.9343246045757893,0.8525954270300786
stage1,5,5,0.0,cosine,42,100,30.0,eom,0.0,euclidean,ok,完成,58,0.4097167769657811,13063,223,153,1670,0.052379010758084245,0.12611736662171064,0.926553310521336,0.8361477903584982
stage1,5,5,0.0,cosine,42,125,,eom,0.0,euclidean,ok,完成,40,0.5268638459367061,16798,283,142,1611,0.05052849480914594,0.09980240253426591,0.9444480210033602,0.8068218172693913
stage1,5,5,0.0,cosine,42,125,10.0,eom,0.0,euclidean,ok,完成,53,0.3917134523100085,12489,283,186,1451,0.04551014647304206,0.10353479910924317,0.9462196686535503,0.8481259605432361
stage1,5,5,0.0,cosine,42,125,30.0,eom,0.0,euclidean,ok,完成,47,0.4093404008405733,13051,223,153,1670,0.052379010758084245,0.12611736662171064,0.9375413725554014,0.8362607031960607
stage1,5,5,0.0,cosine,42,150,,eom,0.0,euclidean,ok,完成,32,0.5014270928080795,15987,283,186,2817,0.08835429539252894,0.1643822726845027,0.9073567410574042,0.790189129002917
stage1,5,5,0.0,cosine,42,150,10.0,eom,0.0,euclidean,ok,完成,41,0.3216133989900574,10254,283,186,5192,0.1628454035065709,0.23796380516262586,0.8632212562425758,0.8070695982184863
stage1,5,5,0.0,cosine,42,150,30.0,eom,0.0,euclidean,ok,完成,43,0.4167738293134272,13288,223,153,1670,0.052379010758084245,0.12611736662171064,0.9429415364216436,0.8340306746542046
stage1,5,5,0.0,cosine,42,175,,eom,0.0,euclidean,ok,完成,28,0.5161684910453846,16457,283,186,2853,0.08948342376815231,0.16444500203870402,0.9109563688717728,0.7720820918148648
stage1,5,5,0.0,cosine,42,175,10.0,eom,0.0,euclidean,ok,完成,37,0.31985697707242106,10198,283,186,5192,0.1628454035065709,0.23796380516262586,0.8705123878891303,0.8075965247937773
stage1,5,5,0.0,cosine,42,175,30.0,eom,0.0,euclidean,ok,完成,40,0.41683655866762853,13290,223,427,1670,0.052379010758084245,0.12611736662171064,0.9471148149901808,0.8340118558479441
stage1,5,5,0.0,cosine,42,200,,eom,0.0,euclidean,ok,完成,22,0.4938054762726218,15744,283,427,3341,0.10478938619326914,0.24012796788257065,0.8682616207373959,0.7190626143503853
stage1,5,5,0.0,cosine,42,200,10.0,eom,0.0,euclidean,ok,完成,33,0.3329360474233918,10615,283,427,5192,0.1628454035065709,0.2465263620111031,0.8726815702434922,0.8019602923187905
stage1,5,5,0.0,cosine,42,200,30.0,eom,0.0,euclidean,ok,完成,35,0.4218549070037324,13450,223,427,1670,0.052379010758084245,0.1264937427469184,0.9502403244359128,0.8324310761220712
stage1,5,5,0.0,cosine,42,225,,eom,0.0,euclidean,ok,完成,4,0.07932126838754196,2529,283,427,28331,0.8885926669384938,0.9118025279929743,0.13629479079819315,0.35393198047026103
stage1,5,5,0.0,cosine,42,225,10.0,eom,0.0,euclidean,ok,完成,30,0.34432142521092746,10978,283,427,5192,0.1628454035065709,0.2465263620111031,0.8772709040093943,0.7985446789825299
stage1,5,5,0.0,cosine,42,225,30.0,eom,0.0,euclidean,ok,完成,32,0.42514819809930054,13555,427,283,1670,0.052379010758084245,0.1420192579117398,0.9459197145615584,0.8283379857604365
stage1,5,5,0.0,cosine,42,250,,eom,0.0,euclidean,ok,完成,4,0.0793526330646426,2530,283,427,28330,0.8885613022613932,0.9117711633158737,0.13629856235664245,0.35393825340568125
stage1,5,5,0.0,cosine,42,250,10.0,eom,0.0,euclidean,ok,完成,26,0.35445221591443715,11301,283,427,5192,0.1628454035065709,0.2465263620111031,0.883401755767979,0.7688387751048102
stage1,5,5,0.0,cosine,42,250,30.0,eom,0.0,euclidean,ok,完成,30,0.4324248031866512,13787,427,283,1670,0.052379010758084245,0.1420192579117398,0.9503943386978115,0.8261550042342314
stage1,5,5,0.0,cosine,42,300,,eom,0.0,euclidean,ok,完成,3,0.09556817112567827,3047,427,310,28099,0.8813160618511432,0.9044318288743217,0.1241004070978508,0.34604836433208924
stage1,5,5,0.0,cosine,42,300,10.0,eom,0.0,euclidean,ok,完成,23,0.3800771571056676,12118,427,313,5192,0.1628454035065709,0.2465263620111031,0.8859695021768077,0.7411512927474411
stage1,5,5,0.0,cosine,42,300,30.0,eom,0.0,euclidean,ok,完成,22,0.4310447573942226,13743,427,313,2905,0.09111438697738607,0.18599253520685005,0.9357789091354769,0.7528204163138141
stage1,5,5,0.05,cosine,42,50,,eom,0.0,euclidean,ok,完成,95,0.49142176081297245,15668,82,92,1285,0.040303610074334285,0.08697424960010036,0.9232728974335013,0.8230875388137879
stage1,5,5,0.05,cosine,42,50,10.0,eom,0.0,euclidean,ok,完成,143,0.37979487501176173,12109,82,92,971,0.03045510146473042,0.08176771320139259,0.9383394154455932,0.8605714644167739
stage1,5,5,0.05,cosine,42,50,30.0,eom,0.0,euclidean,ok,完成,110,0.43239343850955053,13786,82,92,1360,0.04265596085688298,0.09356083179123671,0.9242123545235637,0.8387730138318226
stage1,5,5,0.05,cosine,42,75,,eom,0.0,euclidean,ok,完成,61,0.52946711413606,16881,82,77,1270,0.03983313991782455,0.09233760938431139,0.9271734139251986,0.8107424019069724
stage1,5,5,0.05,cosine,42,75,10.0,eom,0.0,euclidean,ok,完成,89,0.3942853558322617,12571,82,92,980,0.030737383558636262,0.09061255214377568,0.9353489705377976,0.8543706677539755
stage1,5,5,0.05,cosine,42,75,30.0,eom,0.0,euclidean,ok,完成,78,0.45635605181444655,14550,82,92,1360,0.04265596085688298,0.09356083179123671,0.9344628926547407,0.8315842298403537
stage1,5,5,0.05,cosine,42,100,,eom,0.0,euclidean,ok,完成,40,0.4641344917354076,14798,328,112,5048,0.1583288900040774,0.2351409842235674,0.8131600066557645,0.766232788633441
stage1,5,5,0.05,cosine,42,100,10.0,eom,0.0,euclidean,ok,完成,68,0.38747922090142084,12354,335,112,980,0.030737383558636262,0.09061255214377568,0.9422615993443407,0.8564125082332277
stage1,5,5,0.05,cosine,42,100,30.0,eom,0.0,euclidean,ok,完成,60,0.44842078850798234,14297,121,112,1360,0.04265596085688298,0.09713640498071073,0.9400090991722757,0.8332496941943983
stage1,5,5,0.05,cosine,42,125,,eom,0.0,euclidean,ok,完成,29,0.4122259511338331,13143,328,142,5531,0.173478029043691,0.31449361728821,0.7787393522383482,0.7547234158224342
stage1,5,5,0.05,cosine,42,125,10.0,eom,0.0,euclidean,ok,完成,56,0.40131104350280716,12795,335,233,980,0.030737383558636262,0.09061255214377568,0.9525445496481446,0.8522629614528119
stage1,5,5,0.05,cosine,42,125,30.0,eom,0.0,euclidean,ok,完成,50,0.4666436659034595,14878,234,279,1499,0.047015650973873224,0.10328388169243798,0.9413773215226721,0.8252454285983126
stage1,5,5,0.05,cosine,42,150,,eom,0.0,euclidean,ok,完成,9,0.09923783834645422,3164,328,388,26338,0.8260828654768999,0.8506414076467083,0.20744858884406336,0.4122755073236521
stage1,5,5,0.05,cosine,42,150,10.0,eom,0.0,euclidean,ok,完成,46,0.40883856600696294,13035,335,233,1369,0.042938242950788824,0.10711037229871719,0.9462068784763916,0.8430448828529311
stage1,5,5,0.05,cosine,42,150,30.0,eom,0.0,euclidean,ok,完成,38,0.4378195276479629,13959,234,279,2947,0.09243170341561334,0.1779318131919832,0.9010060181267002,0.8053382680425305
stage1,5,5,0.05,cosine,42,175,,eom,0.0,euclidean,ok,完成,8,0.1111250509676003,3543,388,279,26255,0.823479597277546,0.8480381394473544,0.19452797492132679,0.4033443109703186
stage1,5,5,0.05,cosine,42,175,10.0,eom,0.0,euclidean,ok,完成,38,0.40632939183891104,12955,335,233,1369,0.042938242950788824,0.11815073863814572,0.9544218692556208,0.841589561835461
stage1,5,5,0.05,cosine,42,175,30.0,eom,0.0,euclidean,ok,完成,32,0.44456293322460244,14174,234,279,2947,0.09243170341561334,0.1779318131919832,0.914853073964344,0.8033152463695388
stage1,5,5,0.05,cosine,42,200,,eom,0.0,euclidean,ok,完成,8,0.11639431672050936,3711,388,279,26101,0.818649437004046,0.8428316030486466,0.19444635922767417,0.40425388660623746
stage1,5,5,0.05,cosine,42,200,10.0,eom,0.0,euclidean,ok,完成,36,0.4122573158109337,13144,335,233,1369,0.042938242950788824,0.11815073863814572,0.9563712426135507,0.8398111846438541
stage1,5,5,0.05,cosine,42,200,30.0,eom,0.0,euclidean,ok,完成,10,0.08766427249631464,2795,234,279,25831,0.8101809741868707,0.8448075777059875,0.25624749170527816,0.4283515771205135
stage1,5,5,0.05,cosine,42,225,,eom,0.0,euclidean,ok,完成,8,0.12040899538939247,3839,388,279,26006,0.8156697926794844,0.8389110184110654,0.19273775143527602,0.40472749323045726
stage1,5,5,0.05,cosine,42,225,10.0,eom,0.0,euclidean,ok,完成,34,0.4164288178653201,13277,335,233,1369,0.042938242950788824,0.11815073863814572,0.9585568996297784,0.8385597340275381
stage1,5,5,0.05,cosine,42,225,30.0,eom,0.0,euclidean,ok,完成,10,0.08766427249631464,2795,234,279,25831,0.8101809741868707,0.8448075777059875,0.25624749170527816,0.4283515771205135
stage1,5,5,0.05,cosine,42,250,,eom,0.0,euclidean,ok,完成,6,0.13235893736473983,4220,388,279,26115,0.8190885424834551,0.8423297682150362,0.17023083433010278,0.3860998024025343
stage1,5,5,0.05,cosine,42,250,10.0,eom,0.0,euclidean,ok,完成,10,0.1235454630994574,3939,335,388,23977,0.7520308628422671,0.797729197377913,0.30918021213690905,0.4444479294085667
stage1,5,5,0.05,cosine,42,250,30.0,eom,0.0,euclidean,ok,完成,10,0.14964087444719756,4771,279,388,23548,0.7385754163660885,0.7774362512937929,0.2913867488088201,0.44471452916392223
stage1,5,5,0.05,cosine,42,300,,eom,0.0,euclidean,ok,完成,4,0.26594109713640496,8479,388,344,22054,0.6917165887777186,0.7232694539409716,0.20337804284684538,0.3947154701042353
stage1,5,5,0.05,cosine,42,300,10.0,eom,0.0,euclidean,ok,完成,9,0.13204529059373335,4210,335,388,23977,0.7520308628422671,0.797729197377913,0.3020818605816913,0.43523131449361724
stage1,5,5,0.05,cosine,42,300,30.0,eom,0.0,euclidean,ok,完成,7,0.17529718031552866,5589,388,395,23548,0.7385754163660885,0.7774362512937929,0.2662485349328307,0.41701763740342296
stage1,5,5,0.1,cosine,42,50,,eom,0.0,euclidean,ok,完成,87,0.5307844305742873,16923,82,81,1137,0.0356616378634382,0.07618480067747703,0.9255793752481389,0.814829219333187
stage1,5,5,0.1,cosine,42,50,10.0,eom,0.0,euclidean,ok,完成,130,0.4038829470250604,12877,95,193,968,0.030361007433428473,0.06818680801681147,0.9432075533325716,0.8560894520590909
stage1,5,5,0.1,cosine,42,50,30.0,eom,0.0,euclidean,ok,完成,100,0.46761597089357965,14909,95,193,1306,0.04096226829344792,0.08637832073518803,0.9194195551759485,0.8301508640968542
stage1,5,5,0.1,cosine,42,75,,eom,0.0,euclidean,ok,完成,14,0.05121851770536023,1633,83,226,28127,0.8821942728099614,0.8990684690901107,0.16265764126625581,0.4334958023607147
stage1,5,5,0.1,cosine,42,75,10.0,eom,0.0,euclidean,ok,完成,87,0.44456293322460244,14174,95,193,968,0.030361007433428473,0.0729856036132108,0.9466977309265866,0.8429256970799486
stage1,5,5,0.1,cosine,42,75,30.0,eom,0.0,euclidean,ok,完成,66,0.4705956152181413,15004,95,193,1306,0.04096226829344792,0.10497757425587304,0.9225604364867628,0.8255371200953485
stage1,5,5,0.1,cosine,42,100,,eom,0.0,euclidean,ok,完成,10,0.055609572499451115,1773,227,144,28345,0.889031772417903,0.9071605557820782,0.15181389150990793,0.40184215203504475
stage1,5,5,0.1,cosine,42,100,10.0,eom,0.0,euclidean,ok,完成,65,0.4654831728507355,14841,193,116,968,0.030361007433428473,0.0757143305209673,0.9538183387547513,0.8361038798105573
stage1,5,5,0.1,cosine,42,100,30.0,eom,0.0,euclidean,ok,完成,53,0.4617821409528589,14723,193,139,1306,0.04096226829344792,0.10522849167267823,0.9301831562253288,0.8281309788915723
stage1,5,5,0.1,cosine,42,125,,eom,0.0,euclidean,ok,完成,10,0.05711507700028228,1821,227,144,28334,0.8886867609697958,0.9056236866041464,0.14950199906690245,0.40180137795481397
stage1,5,5,0.1,cosine,42,125,10.0,eom,0.0,euclidean,ok,完成,52,0.48373741492331335,15423,193,226,968,0.030361007433428473,0.08612740331838284,0.9509196763577051,0.8285449926293009
stage1,5,5,0.1,cosine,42,125,30.0,eom,0.0,euclidean,ok,完成,45,0.453188219427281,14449,193,139,1306,0.04096226829344792,0.11567292914719443,0.9311888860943789,0.8286202678543424
stage1,5,5,0.1,cosine,42,150,,eom,0.0,euclidean,ok,完成,7,0.07022551202835367,2239,226,161,28341,0.8889063137095004,0.9056864159583478,0.13265936032995773,0.37778983575364095
stage1,5,5,0.1,cosine,42,150,10.0,eom,0.0,euclidean,ok,完成,38,0.47448483517862183,15128,193,226,1061,0.03327792240378885,0.09506633629206787,0.9513639253038519,0.8286579054668632
