stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,stability_rank
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.2,euclidean,ok,完成,62,0.27684985632183906,3083,251,52,453,0.04067887931034483,0.10605244252873564,0.9523842404226046,0.8835308908045976,1
stage2,5,5,0.0,cosine,123,50,5.0,eom,0.2,euclidean,ok,完成,61,0.24281609195402298,2704,82,246,467,0.04193606321839081,0.10982399425287356,0.9577372966501165,0.8926095545977011,1
stage2,5,5,0.0,cosine,2026,50,5.0,eom,0.2,euclidean,ok,完成,60,0.21848060344827586,2433,139,53,468,0.04202586206896552,0.11817528735632184,0.9437519327088152,0.8982130028735633,1
stage2,5,5,0.0,cosine,3407,50,5.0,eom,0.2,euclidean,ok,完成,56,0.20016163793103448,2229,53,117,1074,0.09644396551724138,0.18776939655172414,0.9194111825270364,0.8734644396551725,1
stage2,5,5,0.0,cosine,20240603,50,5.0,eom,0.2,euclidean,ok,完成,52,0.1953125,2175,90,163,1185,0.10641163793103449,0.2116558908045977,0.9100449638311272,0.86715158045977,1
stage2,5,5,0.0,cosine,42,50,5.0,leaf,0.2,euclidean,ok,完成,62,0.27684985632183906,3083,251,52,453,0.04067887931034483,0.10605244252873564,0.9523842404226046,0.8835308908045976,2
stage2,5,5,0.0,cosine,123,50,5.0,leaf,0.2,euclidean,ok,完成,61,0.24281609195402298,2704,82,246,467,0.04193606321839081,0.10982399425287356,0.9577372966501165,0.8926095545977011,2
stage2,5,5,0.0,cosine,2026,50,5.0,leaf,0.2,euclidean,ok,完成,60,0.21848060344827586,2433,139,53,468,0.04202586206896552,0.11817528735632184,0.9437519327088152,0.8982130028735633,2
stage2,5,5,0.0,cosine,3407,50,5.0,leaf,0.2,euclidean,ok,完成,61,0.2529633620689655,2817,53,117,576,0.05172413793103448,0.1206896551724138,0.9456832901603873,0.8844558189655172,2
stage2,5,5,0.0,cosine,20240603,50,5.0,leaf,0.2,euclidean,ok,完成,60,0.24892241379310345,2772,90,163,482,0.04328304597701149,0.10802801724137931,0.9532199819747637,0.8907327586206897,2
stage2,5,10,0.0,cosine,42,50,5.0,leaf,0.2,euclidean,ok,完成,66,0.27801724137931033,3096,72,146,538,0.0483117816091954,0.10246048850574713,0.9568058860523584,0.8816091954022989,3
stage2,5,10,0.0,cosine,123,50,5.0,leaf,0.2,euclidean,ok,完成,59,0.26526580459770116,2954,257,53,468,0.04202586206896552,0.10281968390804598,0.9569110756894047,0.8872485632183909,3
stage2,5,10,0.0,cosine,2026,50,5.0,leaf,0.2,euclidean,ok,完成,61,0.25826149425287354,2876,151,136,442,0.03969109195402299,0.11018318965517242,0.9512238491942753,0.8885775862068965,3
stage2,5,10,0.0,cosine,3407,50,5.0,leaf,0.2,euclidean,ok,完成,66,0.22494612068965517,2505,52,56,671,0.06025502873563218,0.12293462643678162,0.9494477361084048,0.8898527298850574,3
stage2,5,10,0.0,cosine,20240603,50,5.0,leaf,0.2,euclidean,ok,完成,67,0.27684985632183906,3083,67,95,412,0.03699712643678161,0.09006824712643678,0.9617174504658722,0.8878322557471265,3
stage2,5,10,0.0,cosine,42,50,5.0,eom,0.2,euclidean,ok,完成,66,0.27801724137931033,3096,72,146,538,0.0483117816091954,0.10246048850574713,0.9568058860523584,0.8816091954022989,4
stage2,5,10,0.0,cosine,123,50,5.0,eom,0.2,euclidean,ok,完成,59,0.26526580459770116,2954,257,53,468,0.04202586206896552,0.10281968390804598,0.9569110756894047,0.8872485632183909,4
stage2,5,10,0.0,cosine,2026,50,5.0,eom,0.2,euclidean,ok,完成,56,0.21848060344827586,2433,151,136,1246,0.11188936781609195,0.18274066091954022,0.9138468283504951,0.8643408764367817,4
stage2,5,10,0.0,cosine,3407,50,5.0,eom,0.2,euclidean,ok,完成,62,0.19791666666666666,2204,52,56,1020,0.09159482758620689,0.17798132183908047,0.9251538617896524,0.8775502873563219,4
stage2,5,10,0.0,cosine,20240603,50,5.0,eom,0.2,euclidean,ok,完成,62,0.24119971264367815,2686,67,275,412,0.03699712643678161,0.10874640804597702,0.9529408381695739,0.8947916666666667,4
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.05,euclidean,ok,完成,66,0.28618893678160917,3187,251,52,453,0.04067887931034483,0.10425646551724138,0.9561000171199971,0.8810883620689656,5
stage2,5,5,0.0,cosine,123,50,5.0,eom,0.05,euclidean,ok,完成,65,0.25287356321839083,2816,82,246,467,0.04193606321839081,0.10982399425287356,0.9578562311032609,0.8895923132183907,5
stage2,5,5,0.0,cosine,2026,50,5.0,eom,0.05,euclidean,ok,完成,61,0.22386853448275862,2493,139,53,468,0.04202586206896552,0.11817528735632184,0.9471293780669016,0.8965966235632183,5
stage2,5,5,0.0,cosine,3407,50,5.0,eom,0.05,euclidean,ok,完成,58,0.20869252873563218,2324,53,117,1074,0.09644396551724138,0.18157327586206898,0.9225168913607557,0.8721443965517242,5
stage2,5,5,0.0,cosine,20240603,50,5.0,eom,0.05,euclidean,ok,完成,54,0.2095905172413793,2334,90,163,1185,0.10641163793103449,0.2116558908045977,0.910294283287511,0.8628681752873564,5
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.1,euclidean,ok,完成,66,0.28618893678160917,3187,251,52,453,0.04067887931034483,0.10425646551724138,0.9561000171199971,0.8810883620689656,6
stage2,5,5,0.0,cosine,123,50,5.0,eom,0.1,euclidean,ok,完成,65,0.25287356321839083,2816,82,246,467,0.04193606321839081,0.10982399425287356,0.9578562311032609,0.8895923132183907,6
stage2,5,5,0.0,cosine,2026,50,5.0,eom,0.1,euclidean,ok,完成,61,0.22386853448275862,2493,139,53,468,0.04202586206896552,0.11817528735632184,0.9471293780669016,0.8965966235632183,6
stage2,5,5,0.0,cosine,3407,50,5.0,eom,0.1,euclidean,ok,完成,58,0.20869252873563218,2324,53,117,1074,0.09644396551724138,0.18157327586206898,0.9225168913607557,0.8721443965517242,6
stage2,5,5,0.0,cosine,20240603,50,5.0,eom,0.1,euclidean,ok,完成,54,0.2095905172413793,2334,90,163,1185,0.10641163793103449,0.2116558908045977,0.910294283287511,0.8628681752873564,6
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.0,euclidean,ok,完成,66,0.28618893678160917,3187,251,52,453,0.04067887931034483,0.10425646551724138,0.9561000171199971,0.8810883620689656,7
stage2,5,5,0.0,cosine,123,50,5.0,eom,0.0,euclidean,ok,完成,65,0.25287356321839083,2816,82,246,467,0.04193606321839081,0.10982399425287356,0.9578562311032609,0.8895923132183907,7
stage2,5,5,0.0,cosine,2026,50,5.0,eom,0.0,euclidean,ok,完成,61,0.22386853448275862,2493,139,53,468,0.04202586206896552,0.11817528735632184,0.9471293780669016,0.8965966235632183,7
stage2,5,5,0.0,cosine,3407,50,5.0,eom,0.0,euclidean,ok,完成,58,0.20869252873563218,2324,53,117,1074,0.09644396551724138,0.18157327586206898,0.9225168913607557,0.8721443965517242,7
stage2,5,5,0.0,cosine,20240603,50,5.0,eom,0.0,euclidean,ok,完成,54,0.2095905172413793,2334,90,163,1185,0.10641163793103449,0.2116558908045977,0.910294283287511,0.8628681752873564,7
stage2,5,10,0.0,cosine,42,50,5.0,eom,0.0,euclidean,ok,完成,68,0.2874461206896552,3201,72,146,538,0.0483117816091954,0.09626436781609195,0.960996128278702,0.8800197557471265,8
stage2,5,10,0.0,cosine,123,50,5.0,eom,0.0,euclidean,ok,完成,61,0.27783764367816094,3094,257,53,468,0.04202586206896552,0.1015625,0.9593844958577874,0.883728448275862,8
stage2,5,10,0.0,cosine,2026,50,5.0,eom,0.0,euclidean,ok,完成,58,0.22826867816091953,2542,151,136,1246,0.11188936781609195,0.18067528735632185,0.9143060040127242,0.8618175287356322,8
stage2,5,10,0.0,cosine,3407,50,5.0,eom,0.0,euclidean,ok,完成,62,0.19791666666666666,2204,52,56,1020,0.09159482758620689,0.17798132183908047,0.9251538617896524,0.8775502873563219,8
stage2,5,10,0.0,cosine,20240603,50,5.0,eom,0.0,euclidean,ok,完成,65,0.2608656609195402,2905,67,275,405,0.03636853448275862,0.09922772988505747,0.9583597964978748,0.8909841954022988,8
stage2,5,10,0.0,cosine,42,50,5.0,eom,0.1,euclidean,ok,完成,68,0.2874461206896552,3201,72,146,538,0.0483117816091954,0.09626436781609195,0.960996128278702,0.8800197557471265,9
stage2,5,10,0.0,cosine,123,50,5.0,eom,0.1,euclidean,ok,完成,61,0.27783764367816094,3094,257,53,468,0.04202586206896552,0.1015625,0.9593844958577874,0.883728448275862,9
stage2,5,10,0.0,cosine,2026,50,5.0,eom,0.1,euclidean,ok,完成,58,0.22826867816091953,2542,151,136,1246,0.11188936781609195,0.18067528735632185,0.9143060040127242,0.8618175287356322,9
stage2,5,10,0.0,cosine,3407,50,5.0,eom,0.1,euclidean,ok,完成,62,0.19791666666666666,2204,52,56,1020,0.09159482758620689,0.17798132183908047,0.9251538617896524,0.8775502873563219,9
stage2,5,10,0.0,cosine,20240603,50,5.0,eom,0.1,euclidean,ok,完成,65,0.2608656609195402,2905,67,275,405,0.03636853448275862,0.09922772988505747,0.9583597964978748,0.8909841954022988,9
stage2,5,10,0.0,cosine,42,50,5.0,eom,0.05,euclidean,ok,完成,68,0.2874461206896552,3201,72,146,538,0.0483117816091954,0.09626436781609195,0.960996128278702,0.8800197557471265,10
stage2,5,10,0.0,cosine,123,50,5.0,eom,0.05,euclidean,ok,完成,61,0.27783764367816094,3094,257,53,468,0.04202586206896552,0.1015625,0.9593844958577874,0.883728448275862,10
stage2,5,10,0.0,cosine,2026,50,5.0,eom,0.05,euclidean,ok,完成,58,0.22826867816091953,2542,151,136,1246,0.11188936781609195,0.18067528735632185,0.9143060040127242,0.8618175287356322,10
stage2,5,10,0.0,cosine,3407,50,5.0,eom,0.05,euclidean,ok,完成,62,0.19791666666666666,2204,52,56,1020,0.09159482758620689,0.17798132183908047,0.9251538617896524,0.8775502873563219,10
stage2,5,10,0.0,cosine,20240603,50,5.0,eom,0.05,euclidean,ok,完成,65,0.2608656609195402,2905,67,275,405,0.03636853448275862,0.09922772988505747,0.9583597964978748,0.8909841954022988,10
