stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score
stage1,5,5,0.0,cosine,42,50,,eom,0.0,euclidean,ok,完成,40,0.34455818965517243,3837,52,251,1006,0.09033764367816093,0.2231501436781609,0.893395062705885,0.8249012212643678
stage1,5,5,0.0,cosine,42,50,10.0,eom,0.0,euclidean,ok,完成,58,0.26014727011494254,2897,251,52,1029,0.09240301724137931,0.16505028735632185,0.9262442501020224,0.861224856321839
stage1,5,5,0.0,cosine,42,50,30.0,eom,0.0,euclidean,ok,完成,47,0.3577586206896552,3984,52,251,943,0.08468031609195402,0.15014367816091953,0.9284035607164567,0.8372395833333333
stage1,5,5,0.0,cosine,42,75,,eom,0.0,euclidean,ok,完成,19,0.24973060344827586,2781,251,203,3051,0.2739762931034483,0.47611350574712646,0.7645903884750992,0.6996652298850575
stage1,5,5,0.0,cosine,42,75,10.0,eom,0.0,euclidean,ok,完成,27,0.1882183908045977,2096,251,88,3674,0.32992097701149425,0.4637212643678161,0.7485823893617225,0.7518139367816092
stage1,5,5,0.0,cosine,42,75,30.0,eom,0.0,euclidean,ok,完成,29,0.35560344827586204,3960,251,203,943,0.08468031609195402,0.20321479885057472,0.9274351725915491,0.8272719109195401
stage1,5,5,0.0,cosine,42,100,,eom,0.0,euclidean,ok,完成,11,0.09383979885057471,1045,251,203,7920,0.7112068965517241,0.7771192528735632,0.4175178963637456,0.4910621408045977
stage1,5,5,0.0,cosine,42,100,10.0,eom,0.0,euclidean,ok,完成,21,0.17385057471264367,1936,251,203,3674,0.32992097701149425,0.5091594827586207,0.7549324348505762,0.7150366379310346
stage1,5,5,0.0,cosine,42,100,30.0,eom,0.0,euclidean,ok,完成,25,0.33342313218390807,3713,251,203,1413,0.12688577586206898,0.26598419540229884,0.8994293137467836,0.8087104885057472
stage1,5,5,0.0,cosine,42,125,,eom,0.0,euclidean,ok,完成,9,0.11916307471264367,1327,251,203,7690,0.6905531609195402,0.7757722701149425,0.4305194065862815,0.4739306752873564
stage1,5,5,0.0,cosine,42,125,10.0,eom,0.0,euclidean,ok,完成,19,0.18211206896551724,2028,251,203,3674,0.32992097701149425,0.5091594827586207,0.7588109600753264,0.6965581896551725
stage1,5,5,0.0,cosine,42,125,30.0,eom,0.0,euclidean,ok,完成,11,0.048760775862068964,543,251,203,8160,0.7327586206896551,0.8179777298850575,0.4335528974019397,0.4899486350574713
stage1,5,5,0.0,cosine,42,150,,eom,0.0,euclidean,ok,完成,8,0.16154813218390804,1799,251,203,7406,0.6650502873563219,0.7467672413793104,0.42875261412669013,0.46666702586206893
stage1,5,5,0.0,cosine,42,150,10.0,eom,0.0,euclidean,ok,完成,8,0.05603448275862069,624,251,203,8269,0.7425466954022989,0.8453663793103449,0.4337550358621201,0.4553523706896551
stage1,5,5,0.0,cosine,42,150,30.0,eom,0.0,euclidean,ok,完成,8,0.07013290229885058,781,251,203,8160,0.7327586206896551,0.8336925287356322,0.4316970328738436,0.45639403735632184
stage1,5,5,0.0,cosine,42,175,,eom,0.0,euclidean,ok,完成,7,0.1781609195402299,1984,251,203,7423,0.6665768678160919,0.7450610632183908,0.41414268422267375,0.45356645114942523
stage1,5,5,0.0,cosine,42,175,10.0,eom,0.0,euclidean,ok,完成,7,0.04516882183908046,503,251,203,8557,0.7684087643678161,0.8712284482758621,0.41987550032462423,0.4376810344827586
stage1,5,5,0.0,cosine,42,175,30.0,eom,0.0,euclidean,ok,完成,7,0.04974856321839081,554,251,203,8554,0.7681393678160919,0.869073275862069,0.41406588118882715,0.43681896551724136
stage1,5,5,0.0,cosine,42,200,,eom,0.0,euclidean,ok,完成,4,0.21461925287356323,2390,251,534,7515,0.6748383620689655,0.7628412356321839,0.4001489233444422,0.4125944683908046
stage1,5,5,0.0,cosine,42,200,10.0,eom,0.0,euclidean,ok,完成,6,0.06241020114942529,695,251,203,8557,0.7684087643678161,0.8712284482758621,0.41301574105212097,0.4245086206896551
stage1,5,5,0.0,cosine,42,200,30.0,eom,0.0,euclidean,ok,完成,6,0.06698994252873564,746,251,203,8554,0.7681393678160919,0.869073275862069,0.4064287642294828,0.4236465517241379
stage1,5,5,0.0,cosine,42,225,,eom,0.0,euclidean,ok,完成,4,0.24910201149425287,2774,251,524,7319,0.6572377873563219,0.7283584770114943,0.3647779414509252,0.4144263649425287
stage1,5,5,0.0,cosine,42,225,10.0,eom,0.0,euclidean,ok,完成,5,0.08063936781609195,898,251,760,8557,0.7684087643678161,0.8712284482758621,0.4081770670498561,0.4110398706896551
stage1,5,5,0.0,cosine,42,225,30.0,eom,0.0,euclidean,ok,完成,5,0.08521910919540229,949,251,748,8554,0.7681393678160919,0.869073275862069,0.4005005337780915,0.410177801724138
