stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,stability_rank
stage2,5,15,0.0,cosine,42,50,5.0,eom,0.2,euclidean,ok,完成,59,0.21601123595505617,2307,479,458,479,0.0448501872659176,0.12752808988764044,0.9541440031290142,0.8962359550561798,1
stage2,5,15,0.0,cosine,123,50,5.0,eom,0.2,euclidean,ok,完成,60,0.24400749063670413,2606,342,328,342,0.03202247191011236,0.09307116104868914,0.9590244623390608,0.8985767790262171,1
stage2,5,15,0.0,cosine,2026,50,5.0,eom,0.2,euclidean,ok,完成,58,0.20683520599250937,2209,1050,393,1050,0.09831460674157304,0.17134831460674158,0.9247009371017023,0.8741853932584269,1
stage2,5,15,0.0,cosine,3407,50,5.0,eom,0.2,euclidean,ok,完成,51,0.2592696629213483,2769,562,501,562,0.05262172284644195,0.14166666666666666,0.9400303675421321,0.8780992509363297,1
stage2,5,15,0.0,cosine,20240603,50,5.0,eom,0.2,euclidean,ok,完成,54,0.2397940074906367,2561,666,466,666,0.062359550561797754,0.1396067415730337,0.9468239681550168,0.8814325842696629,1
stage2,5,15,0.0,cosine,42,50,5.0,leaf,0.2,euclidean,ok,完成,60,0.21750936329588014,2323,479,458,479,0.0448501872659176,0.12752808988764044,0.9535895050530232,0.8957865168539325,2
stage2,5,15,0.0,cosine,123,50,5.0,leaf,0.2,euclidean,ok,完成,60,0.24400749063670413,2606,342,328,342,0.03202247191011236,0.09307116104868914,0.9590244623390608,0.8985767790262171,2
stage2,5,15,0.0,cosine,2026,50,5.0,leaf,0.2,euclidean,ok,完成,61,0.25280898876404495,2700,393,387,393,0.03679775280898876,0.10318352059925094,0.9587092364042682,0.8924812734082397,2
stage2,5,15,0.0,cosine,3407,50,5.0,leaf,0.2,euclidean,ok,完成,57,0.30121722846441945,3217,501,382,501,0.04691011235955056,0.11432584269662921,0.9538146320500923,0.8726966292134832,2
stage2,5,15,0.0,cosine,20240603,50,5.0,leaf,0.2,euclidean,ok,完成,56,0.25037453183520597,2674,666,466,666,0.062359550561797754,0.1360486891385768,0.9492354388845411,0.8789700374531835,2
stage2,5,15,0.0,cosine,42,50,5.0,eom,0.1,euclidean,ok,完成,62,0.23174157303370788,2475,479,458,479,0.0448501872659176,0.12752808988764044,0.9576690029063002,0.8915168539325842,3
stage2,5,15,0.0,cosine,123,50,5.0,eom,0.1,euclidean,ok,完成,60,0.24400749063670413,2606,342,328,342,0.03202247191011236,0.09307116104868914,0.9590244623390608,0.8985767790262171,3
stage2,5,15,0.0,cosine,2026,50,5.0,eom,0.1,euclidean,ok,完成,59,0.20767790262172284,2218,1050,393,1050,0.09831460674157304,0.17134831460674158,0.9248623470585217,0.873932584269663,3
stage2,5,15,0.0,cosine,3407,50,5.0,eom,0.1,euclidean,ok,完成,56,0.27902621722846443,2980,562,450,562,0.05262172284644195,0.13052434456928838,0.9469680537202445,0.8744007490636705,3
stage2,5,15,0.0,cosine,20240603,50,5.0,eom,0.1,euclidean,ok,完成,56,0.24382022471910111,2604,666,466,666,0.062359550561797754,0.1396067415730337,0.9470474519141874,0.8802247191011237,3
stage2,5,15,0.0,cosine,42,50,5.0,eom,0.0,euclidean,ok,完成,62,0.23174157303370788,2475,479,458,479,0.0448501872659176,0.12752808988764044,0.9576690029063002,0.8915168539325842,4
stage2,5,15,0.0,cosine,123,50,5.0,eom,0.0,euclidean,ok,完成,60,0.24400749063670413,2606,342,328,342,0.03202247191011236,0.09307116104868914,0.9590244623390608,0.8985767790262171,4
stage2,5,15,0.0,cosine,2026,50,5.0,eom,0.0,euclidean,ok,完成,59,0.20767790262172284,2218,1050,393,1050,0.09831460674157304,0.17134831460674158,0.9248623470585217,0.873932584269663,4
stage2,5,15,0.0,cosine,3407,50,5.0,eom,0.0,euclidean,ok,完成,56,0.27902621722846443,2980,562,450,562,0.05262172284644195,0.13052434456928838,0.9469680537202445,0.8744007490636705,4
stage2,5,15,0.0,cosine,20240603,50,5.0,eom,0.0,euclidean,ok,完成,56,0.24382022471910111,2604,666,466,666,0.062359550561797754,0.1396067415730337,0.9470474519141874,0.8802247191011237,4
stage2,5,15,0.0,cosine,42,50,5.0,eom,0.05,euclidean,ok,完成,62,0.23174157303370788,2475,479,458,479,0.0448501872659176,0.12752808988764044,0.9576690029063002,0.8915168539325842,5
stage2,5,15,0.0,cosine,123,50,5.0,eom,0.05,euclidean,ok,完成,60,0.24400749063670413,2606,342,328,342,0.03202247191011236,0.09307116104868914,0.9590244623390608,0.8985767790262171,5
stage2,5,15,0.0,cosine,2026,50,5.0,eom,0.05,euclidean,ok,完成,59,0.20767790262172284,2218,1050,393,1050,0.09831460674157304,0.17134831460674158,0.9248623470585217,0.873932584269663,5
