stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score
stage2,5,5,0.0,cosine,42,50,,eom,0.0,euclidean,ok,完成,36,0.35102996254681645,3749,885,692,885,0.08286516853932584,0.1908239700374532,0.9211871008728535,0.8316666666666666
stage2,5,5,0.0,cosine,42,50,,eom,0.05,euclidean,ok,完成,36,0.35102996254681645,3749,885,692,885,0.08286516853932584,0.1908239700374532,0.9211871008728535,0.8316666666666666
stage2,5,5,0.0,cosine,42,50,,eom,0.1,euclidean,ok,完成,36,0.35102996254681645,3749,885,692,885,0.08286516853932584,0.1908239700374532,0.9211871008728535,0.8316666666666666
stage2,5,5,0.0,cosine,42,50,,eom,0.2,euclidean,ok,完成,36,0.35102996254681645,3749,885,692,885,0.08286516853932584,0.1908239700374532,0.9211871008728535,0.8316666666666666
stage2,5,5,0.0,cosine,42,50,,leaf,0.0,euclidean,ok,完成,44,0.4371722846441948,4669,461,331,461,0.04316479400749064,0.09953183520599251,0.9592480579603816,0.8359925093632958
stage2,5,5,0.0,cosine,42,50,,leaf,0.05,euclidean,ok,完成,44,0.4371722846441948,4669,461,331,461,0.04316479400749064,0.09953183520599251,0.9592480579603816,0.8359925093632958
stage2,5,5,0.0,cosine,42,50,,leaf,0.1,euclidean,ok,完成,44,0.4371722846441948,4669,461,331,461,0.04316479400749064,0.09953183520599251,0.9592480579603816,0.8359925093632958
stage2,5,5,0.0,cosine,42,50,,leaf,0.2,euclidean,ok,完成,44,0.4371722846441948,4669,461,331,461,0.04316479400749064,0.09953183520599251,0.9592480579603816,0.8359925093632958
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.0,euclidean,ok,完成,60,0.2596441947565543,2773,480,457,480,0.0449438202247191,0.12968164794007492,0.9517995468790764,0.882687265917603
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.05,euclidean,ok,完成,60,0.2596441947565543,2773,480,457,480,0.0449438202247191,0.12968164794007492,0.9517995468790764,0.882687265917603
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.1,euclidean,ok,完成,60,0.2596441947565543,2773,480,457,480,0.0449438202247191,0.12968164794007492,0.9517995468790764,0.882687265917603
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.2,euclidean,ok,完成,52,0.21329588014981274,2278,621,480,621,0.058146067415730335,0.1458801498127341,0.9377581147626499,0.8893913857677902
stage2,5,5,0.0,cosine,42,50,5.0,leaf,0.0,euclidean,ok,完成,69,0.3452247191011236,3687,329,208,329,0.030805243445692885,0.06732209737827716,0.9779478401091086,0.8737265917602997
stage2,5,5,0.0,cosine,42,50,5.0,leaf,0.05,euclidean,ok,完成,69,0.3452247191011236,3687,329,208,329,0.030805243445692885,0.06732209737827716,0.9779478401091086,0.8737265917602997
stage2,5,5,0.0,cosine,42,50,5.0,leaf,0.1,euclidean,ok,完成,69,0.3452247191011236,3687,329,208,329,0.030805243445692885,0.06732209737827716,0.9779478401091086,0.8737265917602997
stage2,5,5,0.0,cosine,42,50,5.0,leaf,0.2,euclidean,ok,完成,55,0.23071161048689137,2464,621,480,621,0.058146067415730335,0.14335205992509364,0.9425510849518481,0.8846722846441946
stage2,5,5,0.0,cosine,42,50,10.0,eom,0.0,euclidean,ok,完成,53,0.2645131086142322,2825,479,435,479,0.0448501872659176,0.1203183520599251,0.9548825732703906,0.8831273408239699
stage2,5,5,0.0,cosine,42,50,10.0,eom,0.05,euclidean,ok,完成,53,0.2645131086142322,2825,479,435,479,0.0448501872659176,0.1203183520599251,0.9548825732703906,0.8831273408239699
stage2,5,5,0.0,cosine,42,50,10.0,eom,0.1,euclidean,ok,完成,53,0.2645131086142322,2825,479,435,479,0.0448501872659176,0.1203183520599251,0.9548825732703906,0.8831273408239699
stage2,5,5,0.0,cosine,42,50,10.0,eom,0.2,euclidean,ok,完成,53,0.2645131086142322,2825,479,435,479,0.0448501872659176,0.1203183520599251,0.9548825732703906,0.8831273408239699
stage2,5,5,0.0,cosine,42,50,10.0,leaf,0.0,euclidean,ok,完成,61,0.3295880149812734,3520,321,303,321,0.030056179775280897,0.08380149812734082,0.9744688532508083,0.8753464419475656
stage2,5,5,0.0,cosine,42,50,10.0,leaf,0.05,euclidean,ok,完成,61,0.3295880149812734,3520,321,303,321,0.030056179775280897,0.08380149812734082,0.9744688532508083,0.8753464419475656
stage2,5,5,0.0,cosine,42,50,10.0,leaf,0.1,euclidean,ok,完成,61,0.3295880149812734,3520,321,303,321,0.030056179775280897,0.08380149812734082,0.9744688532508083,0.8753464419475656
stage2,5,5,0.0,cosine,42,50,10.0,leaf,0.2,euclidean,ok,完成,59,0.30589887640449437,3267,479,321,479,0.0448501872659176,0.10327715355805243,0.9646845357747765,0.874119850187266
stage2,5,5,0.0,cosine,42,50,15.0,eom,0.0,euclidean,ok,完成,54,0.277059925093633,2959,482,464,482,0.0451310861423221,0.12284644194756554,0.9528342165053459,0.8787734082397003
stage2,5,5,0.0,cosine,42,50,15.0,eom,0.05,euclidean,ok,完成,54,0.277059925093633,2959,482,464,482,0.0451310861423221,0.12284644194756554,0.9528342165053459,0.8787734082397003
stage2,5,5,0.0,cosine,42,50,15.0,eom,0.1,euclidean,ok,完成,54,0.277059925093633,2959,482,464,482,0.0451310861423221,0.12284644194756554,0.9528342165053459,0.8787734082397003
stage2,5,5,0.0,cosine,42,50,15.0,eom,0.2,euclidean,ok,完成,54,0.277059925093633,2959,482,464,482,0.0451310861423221,0.12284644194756554,0.9528342165053459,0.8787734082397003
stage2,5,5,0.0,cosine,42,50,15.0,leaf,0.0,euclidean,ok,完成,63,0.3451310861423221,3686,280,261,280,0.026217228464419477,0.07406367041198501,0.9760135217519689,0.8737827715355806
stage2,5,5,0.0,cosine,42,50,15.0,leaf,0.05,euclidean,ok,完成,63,0.3451310861423221,3686,280,261,280,0.026217228464419477,0.07406367041198501,0.9760135217519689,0.8737827715355806
stage2,5,5,0.0,cosine,42,50,15.0,leaf,0.1,euclidean,ok,完成,63,0.3451310861423221,3686,280,261,280,0.026217228464419477,0.07406367041198501,0.9760135217519689,0.8737827715355806
stage2,5,5,0.0,cosine,42,50,15.0,leaf,0.2,euclidean,ok,完成,63,0.3451310861423221,3686,280,261,280,0.026217228464419477,0.07406367041198501,0.9760135217519689,0.8737827715355806
stage2,5,5,0.0,cosine,42,50,30.0,eom,0.0,euclidean,ok,完成,45,0.34859550561797753,3723,479,377,479,0.0448501872659176,0.11114232209737827,0.9551261695817455,0.8597378277153558
stage2,5,5,0.0,cosine,42,50,30.0,eom,0.05,euclidean,ok,完成,45,0.34859550561797753,3723,479,377,479,0.0448501872659176,0.11114232209737827,0.9551261695817455,0.8597378277153558
stage2,5,5,0.0,cosine,42,50,30.0,eom,0.1,euclidean,ok,完成,45,0.34859550561797753,3723,479,377,479,0.0448501872659176,0.11114232209737827,0.9551261695817455,0.8597378277153558
stage2,5,5,0.0,cosine,42,50,30.0,eom,0.2,euclidean,ok,完成,45,0.34859550561797753,3723,479,377,479,0.0448501872659176,0.11114232209737827,0.9551261695817455,0.8597378277153558
stage2,5,5,0.0,cosine,42,50,30.0,leaf,0.0,euclidean,ok,完成,51,0.40880149812734085,4366,377,331,377,0.03529962546816479,0.09166666666666666,0.961888368951052,0.8484363295880148
stage2,5,5,0.0,cosine,42,50,30.0,leaf,0.05,euclidean,ok,完成,51,0.40880149812734085,4366,377,331,377,0.03529962546816479,0.09166666666666666,0.961888368951052,0.8484363295880148
stage2,5,5,0.0,cosine,42,50,30.0,leaf,0.1,euclidean,ok,完成,51,0.40880149812734085,4366,377,331,377,0.03529962546816479,0.09166666666666666,0.961888368951052,0.8484363295880148
stage2,5,5,0.0,cosine,42,50,30.0,leaf,0.2,euclidean,ok,完成,50,0.39906367041198504,4262,377,331,377,0.03529962546816479,0.09166666666666666,0.9624496856492095,0.8513576779026217
stage2,5,5,0.0,cosine,42,50,50.0,eom,0.0,euclidean,ok,完成,36,0.35102996254681645,3749,885,692,885,0.08286516853932584,0.1908239700374532,0.9211871008728535,0.8316666666666666
stage2,5,5,0.0,cosine,42,50,50.0,eom,0.05,euclidean,ok,完成,36,0.35102996254681645,3749,885,692,885,0.08286516853932584,0.1908239700374532,0.9211871008728535,0.8316666666666666
stage2,5,5,0.0,cosine,42,50,50.0,eom,0.1,euclidean,ok,完成,36,0.35102996254681645,3749,885,692,885,0.08286516853932584,0.1908239700374532,0.9211871008728535,0.8316666666666666
stage2,5,5,0.0,cosine,42,50,50.0,eom,0.2,euclidean,ok,完成,36,0.35102996254681645,3749,885,692,885,0.08286516853932584,0.1908239700374532,0.9211871008728535,0.8316666666666666
stage2,5,5,0.0,cosine,42,50,50.0,leaf,0.0,euclidean,ok,完成,44,0.4371722846441948,4669,461,331,461,0.04316479400749064,0.09953183520599251,0.9592480579603816,0.8359925093632958
stage2,5,5,0.0,cosine,42,50,50.0,leaf,0.05,euclidean,ok,完成,44,0.4371722846441948,4669,461,331,461,0.04316479400749064,0.09953183520599251,0.9592480579603816,0.8359925093632958
stage2,5,5,0.0,cosine,42,50,50.0,leaf,0.1,euclidean,ok,完成,44,0.4371722846441948,4669,461,331,461,0.04316479400749064,0.09953183520599251,0.9592480579603816,0.8359925093632958
stage2,5,5,0.0,cosine,42,50,50.0,leaf,0.2,euclidean,ok,完成,44,0.4371722846441948,4669,461,331,461,0.04316479400749064,0.09953183520599251,0.9592480579603816,0.8359925093632958
stage2,5,5,0.0,cosine,42,50,75.0,eom,0.0,euclidean,ok,完成,32,0.39728464419475656,4243,869,692,869,0.08136704119850187,0.18876404494382024,0.9232340193016992,0.8186516853932584
stage2,5,5,0.0,cosine,42,50,75.0,eom,0.05,euclidean,ok,完成,32,0.39728464419475656,4243,869,692,869,0.08136704119850187,0.18876404494382024,0.9232340193016992,0.8186516853932584
stage2,5,5,0.0,cosine,42,50,75.0,eom,0.1,euclidean,ok,完成,32,0.39728464419475656,4243,869,692,869,0.08136704119850187,0.18876404494382024,0.9232340193016992,0.8186516853932584
stage2,5,5,0.0,cosine,42,50,75.0,eom,0.2,euclidean,ok,完成,32,0.39728464419475656,4243,869,692,869,0.08136704119850187,0.18876404494382024,0.9232340193016992,0.8186516853932584
stage2,5,5,0.0,cosine,42,50,75.0,leaf,0.0,euclidean,ok,完成,36,0.4700374531835206,5020,455,274,455,0.04260299625468165,0.09269662921348315,0.9651293489524588,0.8276685393258427
stage2,5,5,0.0,cosine,42,50,75.0,leaf,0.05,euclidean,ok,完成,36,0.4700374531835206,5020,455,274,455,0.04260299625468165,0.09269662921348315,0.9651293489524588,0.8276685393258427
stage2,5,5,0.0,cosine,42,50,75.0,leaf,0.1,euclidean,ok,完成,36,0.4700374531835206,5020,455,274,455,0.04260299625468165,0.09269662921348315,0.9651293489524588,0.8276685393258427
stage2,5,5,0.0,cosine,42,50,75.0,leaf,0.2,euclidean,ok,完成,36,0.4700374531835206,5020,455,274,455,0.04260299625468165,0.09269662921348315,0.9651293489524588,0.8276685393258427
stage2,5,5,0.0,cosine,42,50,100.0,eom,0.0,euclidean,ok,完成,3,0.06938202247191011,741,9512,301,9512,0.8906367041198502,0.9306179775280898,0.18505947413044566,0.34987078651685394
stage2,5,5,0.0,cosine,42,50,100.0,eom,0.05,euclidean,ok,完成,3,0.06938202247191011,741,9512,301,9512,0.8906367041198502,0.9306179775280898,0.18505947413044566,0.34987078651685394
stage2,5,5,0.0,cosine,42,50,100.0,eom,0.1,euclidean,ok,完成,3,0.06938202247191011,741,9512,301,9512,0.8906367041198502,0.9306179775280898,0.18505947413044566,0.34987078651685394
stage2,5,5,0.0,cosine,42,50,100.0,eom,0.2,euclidean,ok,完成,3,0.06938202247191011,741,9512,301,9512,0.8906367041198502,0.9306179775280898,0.18505947413044566,0.34987078651685394
stage2,5,5,0.0,cosine,42,50,100.0,leaf,0.0,euclidean,ok,完成,27,0.5293071161048689,5653,447,305,447,0.041853932584269664,0.09859550561797753,0.9709755097713174,0.8089325842696629
stage2,5,5,0.0,cosine,42,50,100.0,leaf,0.05,euclidean,ok,完成,27,0.5293071161048689,5653,447,305,447,0.041853932584269664,0.09859550561797753,0.9709755097713174,0.8089325842696629
stage2,5,5,0.0,cosine,42,50,100.0,leaf,0.1,euclidean,ok,完成,27,0.5293071161048689,5653,447,305,447,0.041853932584269664,0.09859550561797753,0.9709755097713174,0.8089325842696629
stage2,5,5,0.0,cosine,42,50,100.0,leaf,0.2,euclidean,ok,完成,27,0.5293071161048689,5653,447,305,447,0.041853932584269664,0.09859550561797753,0.9709755097713174,0.8089325842696629
stage2,5,5,0.0,cosine,42,75,,eom,0.0,euclidean,ok,完成,30,0.4004681647940075,4277,869,692,869,0.08136704119850187,0.18876404494382024,0.9307329481438915,0.8176966292134831
stage2,5,5,0.0,cosine,42,75,,eom,0.05,euclidean,ok,完成,30,0.4004681647940075,4277,869,692,869,0.08136704119850187,0.18876404494382024,0.9307329481438915,0.8176966292134831
stage2,5,5,0.0,cosine,42,75,,eom,0.1,euclidean,ok,完成,30,0.4004681647940075,4277,869,692,869,0.08136704119850187,0.18876404494382024,0.9307329481438915,0.8176966292134831
stage2,5,5,0.0,cosine,42,75,,eom,0.2,euclidean,ok,完成,30,0.4004681647940075,4277,869,692,869,0.08136704119850187,0.18876404494382024,0.9307329481438915,0.8176966292134831
stage2,5,5,0.0,cosine,42,75,,leaf,0.0,euclidean,ok,完成,33,0.46264044943820226,4941,455,275,455,0.04260299625468165,0.09400749063670412,0.9725720529431148,0.8296254681647941
stage2,5,5,0.0,cosine,42,75,,leaf,0.05,euclidean,ok,完成,33,0.46264044943820226,4941,455,275,455,0.04260299625468165,0.09400749063670412,0.9725720529431148,0.8296254681647941
stage2,5,5,0.0,cosine,42,75,,leaf,0.1,euclidean,ok,完成,33,0.46264044943820226,4941,455,275,455,0.04260299625468165,0.09400749063670412,0.9725720529431148,0.8296254681647941
stage2,5,5,0.0,cosine,42,75,,leaf,0.2,euclidean,ok,完成,33,0.46264044943820226,4941,455,275,455,0.04260299625468165,0.09400749063670412,0.9725720529431148,0.8296254681647941
stage2,5,5,0.0,cosine,42,75,5.0,eom,0.0,euclidean,ok,完成,43,0.28258426966292133,3018,480,457,480,0.0449438202247191,0.12968164794007492,0.9580004407966868,0.8758052434456929
stage2,5,5,0.0,cosine,42,75,5.0,eom,0.05,euclidean,ok,完成,43,0.28258426966292133,3018,480,457,480,0.0449438202247191,0.12968164794007492,0.9580004407966868,0.8758052434456929
stage2,5,5,0.0,cosine,42,75,5.0,eom,0.1,euclidean,ok,完成,43,0.28258426966292133,3018,480,457,480,0.0449438202247191,0.12968164794007492,0.9580004407966868,0.8758052434456929
stage2,5,5,0.0,cosine,42,75,5.0,eom,0.2,euclidean,ok,完成,40,0.2590823970037453,2767,621,480,621,0.058146067415730335,0.1458801498127341,0.9499689999616874,0.8756554307116104
stage2,5,5,0.0,cosine,42,75,5.0,leaf,0.0,euclidean,ok,完成,47,0.3096441947565543,3307,457,430,457,0.04279026217228465,0.11919475655430711,0.9659226454721818,0.870430711610487
stage2,5,5,0.0,cosine,42,75,5.0,leaf,0.05,euclidean,ok,完成,47,0.3096441947565543,3307,457,430,457,0.04279026217228465,0.11919475655430711,0.9659226454721818,0.870430711610487
stage2,5,5,0.0,cosine,42,75,5.0,leaf,0.1,euclidean,ok,完成,47,0.3096441947565543,3307,457,430,457,0.04279026217228465,0.11919475655430711,0.9659226454721818,0.870430711610487
stage2,5,5,0.0,cosine,42,75,5.0,leaf,0.2,euclidean,ok,完成,42,0.2647003745318352,2827,621,480,621,0.058146067415730335,0.1458801498127341,0.951147955946594,0.8739700374531836
stage2,5,5,0.0,cosine,42,75,10.0,eom,0.0,euclidean,ok,完成,40,0.2859550561797753,3054,494,479,494,0.046254681647940075,0.13183520599250936,0.9592846426329743,0.8739700374531836
stage2,5,5,0.0,cosine,42,75,10.0,eom,0.05,euclidean,ok,完成,40,0.2859550561797753,3054,494,479,494,0.046254681647940075,0.13183520599250936,0.9592846426329743,0.8739700374531836
stage2,5,5,0.0,cosine,42,75,10.0,eom,0.1,euclidean,ok,完成,40,0.2859550561797753,3054,494,479,494,0.046254681647940075,0.13183520599250936,0.9592846426329743,0.8739700374531836
stage2,5,5,0.0,cosine,42,75,10.0,eom,0.2,euclidean,ok,完成,40,0.2859550561797753,3054,494,479,494,0.046254681647940075,0.13183520599250936,0.9592846426329743,0.8739700374531836
stage2,5,5,0.0,cosine,42,75,10.0,leaf,0.0,euclidean,ok,完成,47,0.3597378277153558,3842,371,321,371,0.03473782771535581,0.09316479400749064,0.9787319089616393,0.8630243445692884
