min_cluster_size,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,status,note
50,5,0.004121863799283154,46,10385,281,ok,完成
75,4,0.023566308243727598,263,10245,257,ok,完成
100,4,0.0253584229390681,283,10225,257,ok,完成
125,4,0.031720430107526884,354,10160,251,ok,完成
150,4,0.03664874551971326,409,10109,247,ok,完成
175,3,0.06756272401433691,754,9924,245,ok,完成
200,3,0.09381720430107526,1047,9630,246,ok,完成
225,3,0.09713261648745519,1084,9597,245,ok,完成
250,2,0.4336021505376344,4839,5190,1131,ok,完成
275,3,0.5378136200716845,6002,3396,1097,ok,完成
300,3,0.5374551971326165,5998,3486,1017,ok,完成
325,3,0.5737455197132616,6403,3275,946,ok,完成
350,3,0.5652329749103943,6308,3478,803,ok,完成
375,3,0.6052867383512545,6755,3168,669,ok,完成
400,3,0.6455197132616487,7204,2874,561,ok,完成
500,0,1.0,11160,0,0,ok,完成
600,0,1.0,11160,0,0,ok,完成
700,0,1.0,11160,0,0,ok,完成
800,0,1.0,11160,0,0,ok,完成
900,0,1.0,11160,0,0,ok,完成
1000,0,1.0,11160,0,0,ok,完成
