topic,rank,representative_text
-1,1,"In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps. Plus, there's a standard three-month SiriusXM Platinum Plan trial subscription that includes over 165 channels available in-cabin, and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more."
-1,2,"In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps. Plus, there's a standard three-month SiriusXM Platinum Plan trial subscription that includes over 165 channels available in-cabin, and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more."
-1,3,"When it comes to cutting-edge connectivity, Prius delivers thanks to the intuitive Toyota Audio Multimedia platform. Featuring an 8-inch or an available 12.3-inch touchscreen, it includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions. In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps."
0,1,"It introduces key technology platforms at the heart of our vision, bringing them together for the first time in one vehicle. Now we feel we've got something special here for our Ford customers. Now I love and I cherish our long history thinking of all the cars that we've created and I take that all into consideration when I say with complete confidence that this is our best car ever."
0,2,"He couldn't hear it. And knowing that Nissan has the best product on the market right now, I wanted to affiliate with this company and help them get this car out there. When people get out of the car after test driving it, to a person, they're all excited."
0,3,"I'm not going to say anything, but I'm going to take it back to the car. Blah, blah, blah. Yeah, good."
1,1,"Everyone can enjoy generous legroom and headroom, even in the rear seat. The interior design adds to a sporty, in-command driving experience. with the seats in shotgun nappa leather and nubuck textile, and the cutting-edge aluminum decor."
1,2,"We redesigned the interior so that the front IP is actually slimmer and thinner, so we were able to move the front seats forward, giving more room to the back seat, and we reclined the back seat more and reduced the interior trim. Basically, the current model S, the back seat is not amazing, but the new one, it's actually a legit back seat. It's good."
1,3,"After the seat reclines, the seat can be adjusted through the seat adjustment switch. The second row multi-stage latch function is applied to the rear seats. Pulling the lever on the rear seats moves the seat back slightly, allowing each passenger to adjust their seating posture."
2,1,"So Level 1 charging is our entry-level charging, and this is based off a 120-volt standard plug that you would see in any building in North America. So what's great about 120-volt charging is that it's everywhere. So you can take this portable... charge cord with you and plug in essentially anywhere and get about four miles of range on about an hour charge."
2,2,"Of course, compared to an ultra-rapid and fast DC chargers, charging times at AC chargers are slower, around nine hours, to charge for a 400 volt AC industrial three-phase socket with 16 amp of current and 11 kilowatt of power output. The Porsche destination charger is also similar to what Taycan owners may install at home to charge their car."
2,3,"If you're not around a DC ultra-rapid or fast charger, then you can also charge at alternating current or AC charging stations, such as the Porsche destination charger, for example. In this case, the Taycan uses the 11 kilowatt onboard AC charger for the optimum charging performance."
3,1,"The power is instantly distributed between the rear and front wheels for maximum traction and stability on all roads and in all weathers. The electric powertrain also offers the benefits of regenerative braking and one-pedal drive. Instead of using the regular brakes for braking, the electric motors are used to slow down the speed."
3,2,"It features a bespoke axial flux motor and a lithium-ion energy-dense battery. Together, the high-performance hybrid powertrain delivers 680 PS of power and 720 Nm of torque. and 95 PS of that power comes from the electric motor."
3,3,"Assisting the direct response system is a 302 horsepower, 3.5 liter V6 engine which, when paired with the vehicle's 50 kilowatt electric motor, creates a combined 360 horsepower. And speaking of numbers, we have to point out that the engine's 258 pound-feet of torque combined with the electric motor's immediate 199 pound-feet of torque should help the M hybrid deliver truly impressive acceleration."
4,1,"Efficient, dynamic, connected, exclusive. Welcome to the world premiere of three new models, the BMW 5 Series Sedan, the BMW 5 Series Touring, and the BMW 6 Series Gran Turismo, here at the BMW Welt in Munich. And now, here is Peter Nota, board member for customer, brands, and sales."
4,2,"The new four. Ladies and gentlemen, hello and welcome to BMW. The 4, the all-new BMW 4 Series coupe."
4,3,"The 6 Series GT is also new and benefits from most of the innovation we've spoken about. So now, please enjoy the Grand Tour! Thank you for joining us for the world premiere of the new BMW 5 Series and the new BMW 6 Series."
5,1,The 2018 Hyundai Sonata.
5,2,"The 2018 Hyundai Sonata, our best Sonata ever."
5,3,"The 2018 Hyundai Sonata, our best Sonata ever."
6,1,"The all-new XC90. A new safety, a new beginning. Think the all-new XC90."
6,2,"The all-new XC90. A new design, a new beginning. The all-new XC90."
6,3,"A year from now we'll be showing you the all-new XC90, which will feature Volvo's next generation of safety and driver support technologies. Most importantly though, the all-new XC90 will be the first Volvo model assembled on a scalable platform architecture, or what we like to call it, a SPOT. Going forward, all new Volvo models will be built on these highly adaptive, or should I say, scalable platforms."
7,1,Available blind spot detection is designed to alert you when there's a vehicle in your blind spot before you change lanes. An available rear cross traffic alert helps warn you if cars are approaching from the side when reversing out of a parking space. Available automatic emergency braking with pedestrian detection can warn the driver of a potential collision ahead.
7,2,"Additionally, the standard Blind Spot Monitor with Rear Cross Traffic Alert and Safe Exit Alert are designed to help warn drivers if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver in tight spaces."
7,3,"These active safety suites include advanced features like a Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, and Road Sign Assist. Plus, available features like Blind Spot Monitor with Rear Cross-Traffic Alert, front and rear parking assist with automatic braking, and a panoramic view monitor helps see what's surrounding the vehicle, especially in tight spaces. Thanks to its expansive lineup, RAV4 has mass appeal."
