representation_model,topic,words,weighted_words
default,-1,"car, new, vehicle, driving, electric, rear, bmw, hybrid, range, standard","[[""car"", 0.010494483827468629], [""new"", 0.009341343921696103], [""vehicle"", 0.008833005857409162], [""driving"", 0.008060189238711655], [""electric"", 0.008019542546984301], [""rear"", 0.007913200515518179], [""bmw"", 0.0076963403265223745], [""hybrid"", 0.007598113417833256], [""range"", 0.007410656672007595], [""standard"", 0.0073135290657596694]]"
default,0,"car, new, design, cars, customers, look, product, different, world, brand","[[""car"", 0.01981140745870493], [""new"", 0.012648029941779491], [""design"", 0.012385088246733653], [""cars"", 0.012201351023129478], [""customers"", 0.011168576354938257], [""look"", 0.009593802099762733], [""product"", 0.009569262290416457], [""different"", 0.008972398230851041], [""world"", 0.008857140107958334], [""brand"", 0.008787552983498032]]"
default,1,"interior, seat, seats, leather, space, rear, materials, design, comfort, feel","[[""interior"", 0.0399740268598149], [""seat"", 0.03335837148002526], [""seats"", 0.03133055328093929], [""leather"", 0.023618230153049452], [""space"", 0.0210075612803886], [""rear"", 0.015353702783155116], [""materials"", 0.0149792401956565], [""design"", 0.014292948025922002], [""comfort"", 0.01210849377994972], [""feel"", 0.012002196318389686]]"
default,2,"charging, charge, range, charger, minutes, hour, fast, battery, volt, level","[[""charging"", 0.06164876281191514], [""charge"", 0.055961458182673174], [""range"", 0.02843553665253281], [""charger"", 0.023851492928915197], [""minutes"", 0.02254995433813034], [""hour"", 0.021981514151112543], [""fast"", 0.02067312511784591], [""battery"", 0.02022159932407863], [""volt"", 0.01990221062436236], [""level"", 0.01657400021308052]]"
default,3,"electric, torque, hybrid, motor, pedal, power, battery, engine, electric motor, drive","[[""electric"", 0.038184607927754285], [""torque"", 0.033923397356974756], [""hybrid"", 0.030971112456987204], [""motor"", 0.030221176054369206], [""pedal"", 0.025776956682160096], [""power"", 0.023100963578442234], [""battery"", 0.02199328834357599], [""engine"", 0.02115858341490605], [""electric motor"", 0.020334196474606565], [""drive"", 0.020264719041108915]]"
default,4,"bmw, series, grand tour, tour, grand, bmw series, new bmw, kidney, new, i4","[[""bmw"", 0.09667355713825274], [""series"", 0.04886923222718631], [""grand tour"", 0.03430278589274075], [""tour"", 0.033125944094207105], [""grand"", 0.03147317373880613], [""bmw series"", 0.028729392571650386], [""new bmw"", 0.02831747672644229], [""kidney"", 0.024833993455744066], [""new"", 0.022448734284308644], [""i4"", 0.017305740746738536]]"
default,5,"sonata, hyundai, hyundai sonata, safety, elantra, features, xc40, xc40 recharge, camry, recharge","[[""sonata"", 0.07921129103558305], [""hyundai"", 0.026922718084222808], [""hyundai sonata"", 0.02647478404502573], [""safety"", 0.02477468634452363], [""elantra"", 0.01879766107446776], [""features"", 0.018665159853553888], [""xc40"", 0.01704329811798596], [""xc40 recharge"", 0.01673314050604083], [""camry"", 0.016176437260606115], [""recharge"", 0.015913617823101932]]"
default,6,"volvo, xc90, s60, new xc90, new, ex90, safety, world, car, new s60","[[""volvo"", 0.09245924946505255], [""xc90"", 0.0639982974726721], [""s60"", 0.043447000168185666], [""new xc90"", 0.03291617882748489], [""new"", 0.0287897018395633], [""ex90"", 0.024528355752015903], [""safety"", 0.02251387311592343], [""world"", 0.020638124570797195], [""car"", 0.02017864406267841], [""new s60"", 0.01803374956431116]]"
default,7,"assist, parking, lane, spot, blind, blind spot, alert, traffic, driver, braking","[[""assist"", 0.0369366043546797], [""parking"", 0.03504624453636572], [""lane"", 0.0292287756489487], [""spot"", 0.02565527720016133], [""blind"", 0.023985469622023987], [""blind spot"", 0.02274291456415961], [""alert"", 0.022159854241774066], [""traffic"", 0.021892691705755536], [""driver"", 0.021031079878611483], [""braking"", 0.0202639247514628]]"
default,8,"ioniq, hyundai, charging, electric, platform, vehicle, rear, 2025, interior, assist","[[""ioniq"", 0.09804355507983985], [""hyundai"", 0.04122051424693527], [""charging"", 0.01598606054627774], [""electric"", 0.012730820229355374], [""platform"", 0.01211539167289899], [""vehicle"", 0.011105122739701946], [""rear"", 0.010241940880939803], [""2025"", 0.01004091682368233], [""interior"", 0.009875186507946077], [""assist"", 0.009848626561249959]]"
default,9,"kia, ev6, ev, india, gt, new kia, niro, ev6 gt, ev9, fleet","[[""kia"", 0.10247519305537187], [""ev6"", 0.06003313343478776], [""ev"", 0.025635096671220933], [""india"", 0.020988929547221306], [""gt"", 0.02087623721786999], [""new kia"", 0.02068122084632155], [""niro"", 0.020257943824416806], [""ev6 gt"", 0.01620506856667711], [""ev9"", 0.015916791159195576], [""fleet"", 0.014530797378845519]]"
default,10,"nissan, leaf, nissan leaf, aria, new nissan, altima, propilot, new, ev, intelligent","[[""nissan"", 0.09391513170206202], [""leaf"", 0.08658483529623312], [""nissan leaf"", 0.0472040753871619], [""aria"", 0.045061761187172256], [""new nissan"", 0.03580436898326087], [""altima"", 0.034191146823752], [""propilot"", 0.025152514428856673], [""new"", 0.02083026492828143], [""ev"", 0.01651369877872698], [""intelligent"", 0.016448244436118985]]"
default,11,"apple, carplay, android, apple carplay, android auto, smartphone, phone, alexa, auto, touchscreen","[[""apple"", 0.03724686182033726], [""carplay"", 0.037111301171200706], [""android"", 0.036454625926610314], [""apple carplay"", 0.03118053506955457], [""android auto"", 0.029167813947732647], [""smartphone"", 0.02715427099340901], [""phone"", 0.024052467335814426], [""alexa"", 0.0223329333537914], [""auto"", 0.02192790861712276], [""touchscreen"", 0.020249397144588413]]"
default,12,"audi, tron, quattro, q8, audi tron, a7, a3, light, q5, q8 tron","[[""audi"", 0.1253083144729967], [""tron"", 0.061288096781968456], [""quattro"", 0.0326580611864426], [""q8"", 0.028303653028250254], [""audi tron"", 0.023520161949230567], [""a7"", 0.023202023892193377], [""a3"", 0.023051136932560726], [""light"", 0.02288282604618349], [""q5"", 0.022503820236134363], [""q8 tron"", 0.01954603628118651]]"
default,13,"mbux, screen, display, console, center, center console, control, buttons, digital, functions","[[""mbux"", 0.04951295632088298], [""screen"", 0.048231176269912156], [""display"", 0.034622544647711036], [""console"", 0.02689769445122348], [""center"", 0.024762517337853413], [""center console"", 0.024073015177567776], [""control"", 0.023693856564085725], [""buttons"", 0.0203732613103092], [""digital"", 0.017562908859283802], [""functions"", 0.016152232233217493]]"
default,14,"lexus, nx, ux, ls, new, luxury, gs, es, lc, brand","[[""lexus"", 0.09587495132328945], [""nx"", 0.036381992674336935], [""ux"", 0.018668284551181864], [""ls"", 0.018597037926818855], [""new"", 0.018405554210534608], [""luxury"", 0.01556068675647051], [""gs"", 0.014641517004990237], [""es"", 0.012362291299016016], [""lc"", 0.011764454323499722], [""brand"", 0.011481318354086051]]"
default,15,"electric, cars, electric cars, ev, car, vehicles, electric vehicles, electrification, electric vehicle, electric car","[[""electric"", 0.057755985059442065], [""cars"", 0.033075782698339024], [""electric cars"", 0.03239552210611343], [""ev"", 0.029886548167816183], [""car"", 0.02212811541327611], [""vehicles"", 0.020525968086415634], [""electric vehicles"", 0.020253310058493144], [""electrification"", 0.018901834029349564], [""electric vehicle"", 0.017574658835882863], [""electric car"", 0.01711558328584453]]"
default,16,"elantra, hyundai, new elantra, new, hyundai elantra, generation, generation elantra, elr, compact, design","[[""elantra"", 0.10514599080908665], [""hyundai"", 0.060216538015950186], [""new elantra"", 0.03142911251421405], [""new"", 0.019697193660245436], [""hyundai elantra"", 0.019461245417832184], [""generation"", 0.017551779680248816], [""generation elantra"", 0.01585136788303838], [""elr"", 0.015528415311558429], [""compact"", 0.015147476254426353], [""design"", 0.014403464116168439]]"
default,17,"grille, hood, lines, car, design, line, rear, shape, gives, look","[[""grille"", 0.044100337254757746], [""hood"", 0.028228484286975854], [""lines"", 0.026066992336103132], [""car"", 0.025929651063786977], [""design"", 0.025084386058955098], [""line"", 0.023478495804303452], [""rear"", 0.019883697300051358], [""shape"", 0.018638436738679848], [""gives"", 0.016475470157544865], [""look"", 0.01640967184767614]]"
default,18,"mercedes, benz, mercedes benz, class, benz class, new mercedes, new class, new, mercedes amg, amg","[[""mercedes"", 0.11277485687616289], [""benz"", 0.09946276539676778], [""mercedes benz"", 0.09899691330921931], [""class"", 0.08570730590281495], [""benz class"", 0.06583012647758979], [""new mercedes"", 0.045665494725236885], [""new class"", 0.028470261709914135], [""new"", 0.028372910282688676], [""mercedes amg"", 0.02087847782549144], [""amg"", 0.018247866131695344]]"
