representation_model,topic,words,weighted_words
keybert,-1,"steering, driving, car, bmw, drive, driver, performance, vehicle, rear","[[""steering"", 0.3500199317932129], [""driving"", 0.29630324244499207], [""car"", 0.25617438554763794], [""bmw"", 0.2519571781158447], [""drive"", 0.24655131995677948], [""driver"", 0.2452237457036972], [""performance"", 0.2387818694114685], [""vehicle"", 0.22762346267700195], [""rear"", 0.22053572535514832]]"
keybert,0,"car, you, cars","[[""car"", 0.3317969739437103], [""you"", 0.3164709508419037], [""cars"", 0.3028866648674011]]"
keybert,1,"seats, seat, interior, leather, upholstery, comfortable, comfort, cabin, passengers, design","[[""seats"", 0.45392554998397827], [""seat"", 0.4251115322113037], [""interior"", 0.4063616394996643], [""leather"", 0.39960935711860657], [""upholstery"", 0.35760074853897095], [""comfortable"", 0.33768168091773987], [""comfort"", 0.3308638036251068], [""cabin"", 0.3293285369873047], [""passengers"", 0.32903343439102173], [""design"", 0.3045617341995239]]"
keybert,2,"charging, charge, charger, chargers, battery, electric, plug, fast, kilowatt, hour","[[""charging"", 0.5366682410240173], [""charge"", 0.4784940183162689], [""charger"", 0.4397667944431305], [""chargers"", 0.306296169757843], [""battery"", 0.2903158366680145], [""electric"", 0.24828538298606873], [""plug"", 0.22325408458709717], [""fast"", 0.21230605244636536], [""kilowatt"", 0.21069365739822388], [""hour"", 0.2099999487400055]]"
keybert,3,"hybrid, powertrain, electric, horsepower, motors, vehicle, motor, car, engine, generator","[[""hybrid"", 0.5287545919418335], [""powertrain"", 0.4799378514289856], [""electric"", 0.3792514204978943], [""horsepower"", 0.3612968921661377], [""motors"", 0.3491135537624359], [""vehicle"", 0.33673781156539917], [""motor"", 0.3301202058792114], [""car"", 0.3116608262062073], [""engine"", 0.3105820119380951], [""generator"", 0.3091910779476166]]"
keybert,4,"bmw, sedan, coupe, i4, car, hybrid, i3, touring, model","[[""bmw"", 0.6550607681274414], [""sedan"", 0.46647924184799194], [""coupe"", 0.3926790952682495], [""i4"", 0.36416804790496826], [""car"", 0.35820773243904114], [""hybrid"", 0.3419756293296814], [""i3"", 0.30643582344055176], [""touring"", 0.2906650900840759], [""model"", 0.2713855504989624]]"
keybert,5,"sonata, hyundai, hybrid, accord, car, engine, elantra, performance, 2018","[[""sonata"", 0.7030345797538757], [""hyundai"", 0.6502097845077515], [""hybrid"", 0.39273613691329956], [""accord"", 0.3157767653465271], [""car"", 0.30663925409317017], [""engine"", 0.2307337522506714], [""elantra"", 0.22572699189186096], [""performance"", 0.21442437171936035], [""2018"", 0.19327327609062195]]"
keybert,6,"xc90, v90, ex90, s90, volvo, s60, design, new, automotive","[[""xc90"", 0.6937602162361145], [""v90"", 0.4918978810310364], [""ex90"", 0.4832111597061157], [""s90"", 0.4701641798019409], [""volvo"", 0.3783803880214691], [""s60"", 0.263344943523407], [""design"", 0.2456432729959488], [""new"", 0.2398131787776947], [""automotive"", 0.22732886672019958]]"
keybert,7,"safety, parking, detection, detects, steering, detect, blind, driving, pedestrian, radar","[[""safety"", 0.4099973738193512], [""parking"", 0.3726864755153656], [""detection"", 0.3598898649215698], [""detects"", 0.3452404737472534], [""steering"", 0.3265216648578644], [""detect"", 0.3261646032333374], [""blind"", 0.3214529752731323], [""driving"", 0.31826967000961304], [""pedestrian"", 0.31445494294166565], [""radar"", 0.3049371838569641]]"
keybert,8,"ioniq, hyundai, hybrid, ev, electric, id4, powertrains, vehicle, vehicles, plug","[[""ioniq"", 0.6592403650283813], [""hyundai"", 0.4555876851081848], [""hybrid"", 0.44019749760627747], [""ev"", 0.4114508330821991], [""electric"", 0.3172250986099243], [""id4"", 0.3130663335323334], [""powertrains"", 0.26636064052581787], [""vehicle"", 0.2564640939235687], [""vehicles"", 0.2519000172615051], [""plug"", 0.21531133353710175]]"
keybert,9,"kia, ev6, ev, ev9, ev4, e6, evs, vehicle, car, vehicles","[[""kia"", 0.6279598474502563], [""ev6"", 0.5687162280082703], [""ev"", 0.49196672439575195], [""ev9"", 0.45107007026672363], [""ev4"", 0.44631195068359375], [""e6"", 0.40914708375930786], [""evs"", 0.3963615298271179], [""vehicle"", 0.34139716625213623], [""car"", 0.33923739194869995], [""vehicles"", 0.33411651849746704]]"
keybert,10,"nissanusa, nissan, leaf, ev, sedan, electric, altima, mobility, battery, ariya","[[""nissanusa"", 0.5574755668640137], [""nissan"", 0.5210356712341309], [""leaf"", 0.4375026822090149], [""ev"", 0.38681796193122864], [""sedan"", 0.2584458589553833], [""electric"", 0.23628419637680054], [""altima"", 0.20785653591156006], [""mobility"", 0.17446593940258026], [""battery"", 0.1587548702955246], [""ariya"", 0.15294840931892395]]"
keybert,11,"smartphone, android, iphone, mobile, apps, touchscreen, devices, app, phone, carplay","[[""smartphone"", 0.578829288482666], [""android"", 0.5120903253555298], [""iphone"", 0.48549482226371765], [""mobile"", 0.4535176157951355], [""apps"", 0.4238620698451996], [""touchscreen"", 0.3989863693714142], [""devices"", 0.39612120389938354], [""app"", 0.3703387379646301], [""phone"", 0.35045725107192993], [""carplay"", 0.34676212072372437]]"
keybert,12,"audi, suv, car, vehicle, a8, a6, a7, q5, headlights, quattro","[[""audi"", 0.7662947773933411], [""suv"", 0.454027384519577], [""car"", 0.4206840395927429], [""vehicle"", 0.4098672866821289], [""a8"", 0.3872644007205963], [""a6"", 0.3792366683483124], [""a7"", 0.3698657751083374], [""q5"", 0.3696327805519104], [""headlights"", 0.36297228932380676], [""quattro"", 0.3561623692512512]]"
keybert,13,"controls, touchscreen, control, mercedes, screens, screen, cockpit, steering, buttons, mbux","[[""controls"", 0.5038018226623535], [""touchscreen"", 0.44761988520622253], [""control"", 0.39791348576545715], [""mercedes"", 0.37228041887283325], [""screens"", 0.36612021923065186], [""screen"", 0.3659612536430359], [""cockpit"", 0.35657647252082825], [""steering"", 0.3551764488220215], [""buttons"", 0.3511165976524353], [""mbux"", 0.3408621847629547]]"
keybert,14,"lexus, rx, hybrid, car, vehicle, sedan, ilx, vehicles, nx, lc500","[[""lexus"", 0.7781884670257568], [""rx"", 0.37029409408569336], [""hybrid"", 0.3665105104446411], [""car"", 0.318994402885437], [""vehicle"", 0.31331104040145874], [""sedan"", 0.3099212050437927], [""ilx"", 0.2961701452732086], [""vehicles"", 0.2905263900756836], [""nx"", 0.2809564769268036], [""lc500"", 0.2791512608528137]]"
keybert,15,"tesla, ev, cars, electrification, car, vehicles, electric, evs, vehicle, emissions","[[""tesla"", 0.5597494840621948], [""ev"", 0.4641452729701996], [""cars"", 0.435581773519516], [""electrification"", 0.40837469696998596], [""car"", 0.39832258224487305], [""vehicles"", 0.39500200748443604], [""electric"", 0.37792736291885376], [""evs"", 0.3777755796909332], [""vehicle"", 0.36482492089271545], [""emissions"", 0.3429258465766907]]"
keybert,16,"hyundai, elantra, elr, sedan, car, brand, 2021, design","[[""hyundai"", 0.610821545124054], [""elantra"", 0.6014434099197388], [""elr"", 0.4033183753490448], [""sedan"", 0.389516144990921], [""car"", 0.31875741481781006], [""brand"", 0.22913724184036255], [""2021"", 0.2287519872188568], [""design"", 0.17407865822315216]]"
keybert,17,"design, aerodynamics, stance, rear, headlights, vehicle, car","[[""design"", 0.42734774947166443], [""aerodynamics"", 0.36853983998298645], [""stance"", 0.34690362215042114], [""rear"", 0.33704841136932373], [""headlights"", 0.3129981458187103], [""vehicle"", 0.30250078439712524], [""car"", 0.2997485399246216]]"
keybert,18,"mercedes, benz, automotive, sedan, cars, flagship, car, class, model, luxury","[[""mercedes"", 0.5780840516090393], [""benz"", 0.48881787061691284], [""automotive"", 0.4153364896774292], [""sedan"", 0.41186171770095825], [""cars"", 0.3580164313316345], [""flagship"", 0.3268558979034424], [""car"", 0.3228600323200226], [""class"", 0.31280672550201416], [""model"", 0.2905721366405487], [""luxury"", 0.2888879179954529]]"
