representation_model,topic,words,weighted_words
llm_google_gemini_3_1_pro_preview,-1,General,"[[""General"", 1.0]]"
llm_google_gemini_3_1_pro_preview,0,General,"[[""General"", 1.0]]"
llm_google_gemini_3_1_pro_preview,1,Interior,"[[""Interior"", 1.0]]"
llm_google_gemini_3_1_pro_preview,2,EV,"[[""EV"", 1.0]]"
llm_google_gemini_3_1_pro_preview,3,Electric,"[[""Electric"", 1.0]]"
llm_google_gemini_3_1_pro_preview,4,BMW,"[[""BMW"", 1.0]]"
llm_google_gemini_3_1_pro_preview,5,Hyundai,"[[""Hyundai"", 1.0]]"
llm_google_gemini_3_1_pro_preview,6,Volvo,"[[""Volvo"", 1.0]]"
llm_google_gemini_3_1_pro_preview,7,Advanced,"[[""Advanced"", 1.0]]"
llm_google_gemini_3_1_pro_preview,8,Hyundai,"[[""Hyundai"", 1.0]]"
llm_google_gemini_3_1_pro_preview,9,Kia,"[[""Kia"", 1.0]]"
llm_google_gemini_3_1_pro_preview,10,Nissan,"[[""Nissan"", 1.0]]"
llm_google_gemini_3_1_pro_preview,11,Smartphone,"[[""Smartphone"", 1.0]]"
llm_google_gemini_3_1_pro_preview,12,Audi,"[[""Audi"", 1.0]]"
llm_google_gemini_3_1_pro_preview,13,Inf,"[[""Inf"", 1.0]]"
llm_google_gemini_3_1_pro_preview,14,"LLM label unavailable: lexus, nx, the, and, new, to, of, with, ux, ls","[[""LLM label unavailable: lexus, nx, the, and, new, to, of, with, ux, ls"", 1.0]]"
llm_google_gemini_3_1_pro_preview,15,Premium,"[[""Premium"", 1.0]]"
llm_google_gemini_3_1_pro_preview,16,Hyundai,"[[""Hyundai"", 1.0]]"
llm_google_gemini_3_1_pro_preview,17,filtered_topic_terms_unavailable,"[[""filtered_topic_terms_unavailable"", 0.0]]"
llm_google_gemini_3_1_pro_preview,18,Mercedes,"[[""Mercedes"", 1.0]]"
llm_google_gemini_3_1_pro_preview,19,Head,"[[""Head"", 1.0]]"
llm_google_gemini_3_1_pro_preview,20,Toyota,"[[""Toyota"", 1.0]]"
llm_google_gemini_3_1_pro_preview,21,"LLM label unavailable: polestar, will, we, of, the, and, car, be, in, this","[[""LLM label unavailable: polestar, will, we, of, the, and, car, be, in, this"", 1.0]]"
llm_google_gemini_3_1_pro_preview,22,Porsche,"[[""Porsche"", 1.0]]"
llm_google_gemini_3_1_pro_preview,23,Vehicle,"[[""Vehicle"", 1.0]]"
llm_google_gemini_3_1_pro_preview,24,Electric,"[[""Electric"", 1.0]]"
llm_google_gemini_3_1_pro_preview,25,Ste,"[[""Ste"", 1.0]]"
llm_google_gemini_3_1_pro_preview,26,Toyota,"[[""Toyota"", 1.0]]"
llm_google_gemini_3_1_pro_preview,27,Premium,"[[""Premium"", 1.0]]"
llm_google_gemini_3_1_pro_preview,28,Toyota,"[[""Toyota"", 1.0]]"
llm_google_gemini_3_1_pro_preview,29,D,"[[""D"", 1.0]]"
llm_google_gemini_3_1_pro_preview,30,"LLM label unavailable: eqs, eqe, eq, mercedes, the, electric, of, and, is, to","[[""LLM label unavailable: eqs, eqe, eq, mercedes, the, electric, of, and, is, to"", 1.0]]"
llm_google_gemini_3_1_pro_preview,31,Internal,"[[""Internal"", 1.0]]"
llm_google_gemini_3_1_pro_preview,32,Vehicle,"[[""Vehicle"", 1.0]]"
llm_google_gemini_3_1_pro_preview,33,"LLM label unavailable: light, lights, led, rear, laser, tail, the, see, headlights, it","[[""LLM label unavailable: light, lights, led, rear, laser, tail, the, see, headlights, it"", 1.0]]"
llm_google_gemini_3_1_pro_preview,34,GT,"[[""GT"", 1.0]]"
llm_google_gemini_3_1_pro_preview,35,Toyota,"[[""Toyota"", 1.0]]"
llm_google_gemini_3_1_pro_preview,36,"LLM label unavailable: pacifica, rogue, minivan, chrysler, midnight, crossover, that, edition, and, we","[[""LLM label unavailable: pacifica, rogue, minivan, chrysler, midnight, crossover, that, edition, and, we"", 1.0]]"
llm_google_gemini_3_1_pro_preview,37,EV,"[[""EV"", 1.0]]"
llm_google_gemini_3_1_pro_preview,38,A,"[[""A"", 1.0]]"
llm_google_gemini_3_1_pro_preview,39,"LLM label unavailable: candy, k23, k27, kandy, to, america, we, ev, electric, northpoint","[[""LLM label unavailable: candy, k23, k27, kandy, to, america, we, ev, electric, northpoint"", 1.0]]"
llm_google_gemini_3_1_pro_preview,40,"LLM label unavailable: corolla, grades, se, hybrid, apex, with, and, edition, xse, toyota","[[""LLM label unavailable: corolla, grades, se, hybrid, apex, with, and, edition, xse, toyota"", 1.0]]"
llm_google_gemini_3_1_pro_preview,41,Inf,"[[""Inf"", 1.0]]"
llm_google_gemini_3_1_pro_preview,42,"LLM label unavailable: buick, regal, brand, we, china, sportback, in, ve, and, our","[[""LLM label unavailable: buick, regal, brand, we, china, sportback, in, ve, and, our"", 1.0]]"
llm_google_gemini_3_1_pro_preview,43,Vancouver,"[[""Vancouver"", 1.0]]"
llm_google_gemini_3_1_pro_preview,44,Cargo,"[[""Cargo"", 1.0]]"
llm_google_gemini_3_1_pro_preview,45,Toyota,"[[""Toyota"", 1.0]]"
llm_google_gemini_3_1_pro_preview,46,Digital,"[[""Digital"", 1.0]]"
llm_google_gemini_3_1_pro_preview,47,EV,"[[""EV"", 1.0]]"
llm_google_gemini_3_1_pro_preview,48,"LLM label unavailable: charging, i3, bmw, cable, port, charge, open, using, hood, the","[[""LLM label unavailable: charging, i3, bmw, cable, port, charge, open, using, hood, the"", 1.0]]"
llm_google_gemini_3_1_pro_preview,49,Inf,"[[""Inf"", 1.0]]"
llm_google_gemini_3_1_pro_preview,50,BMW,"[[""BMW"", 1.0]]"
