representation_model,topic,words,weighted_words
mmr,-1,"car, new","[[""car"", 0.008767097634991847], [""new"", 0.007733161201506707]]"
mmr,0,car,"[[""car"", 0.010687012336853437]]"
mmr,1,"interior, seat, seats, leather, space, rear, design, materials","[[""interior"", 0.026926974166256265], [""seat"", 0.021866549598199326], [""seats"", 0.020648968940770465], [""leather"", 0.014903977865658481], [""space"", 0.01380029369098431], [""rear"", 0.010654160434694136], [""design"", 0.01008679485183301], [""materials"", 0.009417397501244547]]"
mmr,2,"charging, range, charger, hour, battery, fast, volt, level, kilometers","[[""charging"", 0.04215829147422763], [""range"", 0.019188814538715356], [""charger"", 0.015014850695844956], [""hour"", 0.014080889127352112], [""battery"", 0.013679288613638593], [""fast"", 0.013283864473171833], [""volt"", 0.012649605159403757], [""level"", 0.010856615493556553], [""kilometers"", 0.010160284209890845]]"
mmr,3,"electric, torque, hybrid, motor, pedal, engine, horsepower, braking, car, motors","[[""electric"", 0.02998711792247371], [""torque"", 0.024247183433123785], [""hybrid"", 0.02387374928335639], [""motor"", 0.021770306150217446], [""pedal"", 0.017847284000175403], [""engine"", 0.015687781913739582], [""horsepower"", 0.012638733473051236], [""braking"", 0.011860493394057016], [""car"", 0.010641167409853344], [""motors"", 0.010036351513499691]]"
mmr,4,"bmw, series, grand, new, kidney, design, i4, touring, driving","[[""bmw"", 0.07027161603785771], [""series"", 0.033844539598240284], [""grand"", 0.02102930013448125], [""new"", 0.018291740978089173], [""kidney"", 0.01630580050693509], [""design"", 0.012927886873818746], [""i4"", 0.011207057694966799], [""touring"", 0.008410411305731337], [""driving"", 0.008229603657348103]]"
mmr,5,"sonata, hyundai, elantra, xc40, camry, recharge, accord, 2018, assist, standard","[[""sonata"", 0.06029654173143415], [""hyundai"", 0.021059983014029327], [""elantra"", 0.014363877630133918], [""xc40"", 0.012512896844233172], [""camry"", 0.012271332209024136], [""recharge"", 0.011724852422233626], [""accord"", 0.011500852901738565], [""2018"", 0.010698854950884306], [""assist"", 0.009713047244397427], [""standard"", 0.008968944268078862]]"
mmr,6,"volvo, xc90, s60, safety, ex90, cars, you, design","[[""volvo"", 0.05984614287827179], [""xc90"", 0.04028888317277793], [""s60"", 0.027104415704365357], [""safety"", 0.015322810304586288], [""ex90"", 0.015049322367650315], [""cars"", 0.011525256462132944], [""you"", 0.010921845901451375], [""design"", 0.010687108907632189]]"
mmr,7,"assist, parking, lane, blind, driver, traffic, alert, braking, vehicle, rear","[[""assist"", 0.030159614627326334], [""parking"", 0.0277461332983741], [""lane"", 0.023237871163563777], [""blind"", 0.018653842724127536], [""driver"", 0.017604880463823788], [""traffic"", 0.01740851386097155], [""alert"", 0.017310192688541854], [""braking"", 0.015964611041831903], [""vehicle"", 0.012384704623282847], [""rear"", 0.012288286424166218]]"
mmr,8,"ioniq, hyundai, charging, electric, vehicle, platform, rear, interior, assist","[[""ioniq"", 0.07912384127571966], [""hyundai"", 0.03384346099227013], [""charging"", 0.013629607344893506], [""electric"", 0.011278679078560507], [""vehicle"", 0.009902689608291552], [""platform"", 0.009580695640535696], [""rear"", 0.008895672210591597], [""interior"", 0.008326171734543966], [""assist"", 0.008138925603202292]]"
mmr,9,"kia, ev6, ev, india, niro, ev9, vehicle, ev4","[[""kia"", 0.07169832627353767], [""ev6"", 0.04087628159460756], [""ev"", 0.018223719240902367], [""india"", 0.013896655491926622], [""niro"", 0.0133541035825601], [""ev9"", 0.010446306663053708], [""vehicle"", 0.010066029628388984], [""ev4"", 0.009007221366605518]]"
mmr,10,"nissan, leaf, aria, altima, propilot, ev, intelligent, technology, driving","[[""nissan"", 0.06412516921303858], [""leaf"", 0.058118678904691606], [""aria"", 0.029607939287857713], [""altima"", 0.022136873096525796], [""propilot"", 0.01623714699591814], [""ev"", 0.011466587720206412], [""intelligent"", 0.011030142156548942], [""technology"", 0.010685808935582188], [""driving"", 0.009334003087634683]]"
mmr,11,"apple, carplay, android, smartphone, auto, alexa, touchscreen, car, wireless, apps","[[""apple"", 0.0267542380149223], [""carplay"", 0.02649437169722524], [""android"", 0.026256292401302908], [""smartphone"", 0.019430166808202767], [""auto"", 0.016134483643444508], [""alexa"", 0.015515807152359371], [""touchscreen"", 0.014514197126271736], [""car"", 0.012018677427759111], [""wireless"", 0.011724922810766801], [""apps"", 0.010923757566626974]]"
mmr,12,"audi, quattro, a7, a3, q5, electric, a8, a6, suv","[[""audi"", 0.08075800203840479], [""quattro"", 0.019881336938275044], [""a7"", 0.01403527246457412], [""a3"", 0.013952891671274831], [""q5"", 0.01358565109253102], [""electric"", 0.013046643644019897], [""a8"", 0.010949079280927558], [""a6"", 0.010725514020419227], [""suv"", 0.009719261049329369]]"
mmr,13,"screen, mbux, display, console, center, hyperscreen, buttons, digital, system","[[""screen"", 0.030500276928386836], [""mbux"", 0.030099114443602876], [""display"", 0.022384122118473522], [""console"", 0.016455749455216866], [""center"", 0.015766049564677913], [""hyperscreen"", 0.014071684387053363], [""buttons"", 0.01243217111916278], [""digital"", 0.01111023188786765], [""system"", 0.010161982407196428]]"
mmr,14,"lexus, nx, ls, ct, luxury, gs, brand, es","[[""lexus"", 0.06823421128005215], [""nx"", 0.024760739531198856], [""ls"", 0.012454085791083046], [""ct"", 0.012118256991739629], [""luxury"", 0.011147895265100455], [""gs"", 0.009819927060547828], [""brand"", 0.008413985978730424], [""es"", 0.008319752550532232]]"
mmr,15,"electric, cars, ev, electrification, vehicle, future","[[""electric"", 0.03763161847470649], [""cars"", 0.020480779041961997], [""ev"", 0.01797642540784552], [""electrification"", 0.010803543738327405], [""vehicle"", 0.010542723347279414], [""future"", 0.009819437884467264]]"
mmr,16,"elantra, hyundai, new, generation, design, compact, elr","[[""elantra"", 0.06825171568563243], [""hyundai"", 0.040013622430647065], [""new"", 0.015157157054221807], [""generation"", 0.011594440163629458], [""design"", 0.01029720727633659], [""compact"", 0.00964722758231201], [""elr"", 0.009573028165061908]]"
mmr,17,"grille, car, hood, design, lines, shape, look","[[""grille"", 0.0263724981438074], [""car"", 0.018787673461233598], [""hood"", 0.016787944491067415], [""design"", 0.016732924521812288], [""lines"", 0.015454081237498331], [""shape"", 0.011028831169133651], [""look"", 0.010525733318349656]]"
mmr,18,"mercedes, benz, class, new, is, car, in, amg, luxury","[[""mercedes"", 0.07920355607282253], [""benz"", 0.06792803166363823], [""class"", 0.060547123935637576], [""new"", 0.02293750229850898], [""is"", 0.01749632179621713], [""car"", 0.012540992397099097], [""in"", 0.012389627186580538], [""amg"", 0.012389137104419442], [""luxury"", 0.01029232617486911]]"
mmr,19,"navigation, display, information, view, route, system, destination, camera, driver, road","[[""navigation"", 0.026190988857397422], [""display"", 0.023318422119272295], [""information"", 0.017882594789146184], [""view"", 0.016495325256164338], [""route"", 0.012988746724669016], [""system"", 0.012758919116163111], [""destination"", 0.011416550292793795], [""camera"", 0.010625980591481428], [""driver"", 0.01011642930821852], [""road"", 0.009627965522914063]]"
mmr,20,"prius, hybrid, prime, toyota, gallon, efficiency, per, fuel, seats","[[""prius"", 0.10268652309933089], [""hybrid"", 0.03011843587566863], [""prime"", 0.025902036703063833], [""toyota"", 0.017032148190522355], [""gallon"", 0.013133345998000517], [""efficiency"", 0.013058328461473584], [""per"", 0.013035896527287679], [""fuel"", 0.010563185762011441], [""seats"", 0.010021244223114368]]"
mmr,21,"polestar, car, electric, brand, volvo, china, you","[[""polestar"", 0.111897889729608], [""car"", 0.01563716709316696], [""electric"", 0.014499132098476527], [""brand"", 0.014156596904558382], [""volvo"", 0.013537716745397419], [""china"", 0.011150631155149972], [""you"", 0.010427925946039827]]"
mmr,22,"porsche, taycan, turbo, sports, car, performance, comfort, engine, chassis, design","[[""porsche"", 0.07686309007969379], [""taycan"", 0.04789633160503682], [""turbo"", 0.019780225883092438], [""sports"", 0.01714183296546684], [""car"", 0.01535566533415023], [""performance"", 0.014055863932463487], [""comfort"", 0.011585130592206859], [""engine"", 0.011540210226349214], [""chassis"", 0.009438285430868295], [""design"", 0.008943035635842934]]"
mmr,23,"top, door, trunk, meters, them, open, soft","[[""top"", 0.027146179869323182], [""door"", 0.020150150553266508], [""trunk"", 0.017204145976711], [""meters"", 0.015035072575747085], [""them"", 0.01448379170393192], [""open"", 0.01431551656708629], [""soft"", 0.013585972992556842]]"
mmr,24,"ferrari, race, mclaren, fiat, p1, racetrack, racing, track, because","[[""ferrari"", 0.02581843703111524], [""race"", 0.020145558454537364], [""mclaren"", 0.01680496703398857], [""fiat"", 0.014835877329904993], [""p1"", 0.013423931044510277], [""racetrack"", 0.012917588171109516], [""racing"", 0.012415047671831603], [""track"", 0.009813726512416274], [""because"", 0.009751431164339986]]"
mmr,25,"steering, suspension, control, car, sl, driver, cornering, corners","[[""steering"", 0.02689150919622824], [""suspension"", 0.023862453894405364], [""control"", 0.018173012873089152], [""car"", 0.01629351404349811], [""sl"", 0.013697406846504206], [""driver"", 0.011622220112327233], [""cornering"", 0.010386768913438352], [""corners"", 0.009834677275536944]]"
mmr,26,"camry, trd, black, toyota, 19, standard","[[""camry"", 0.08079827265543725], [""trd"", 0.02729118937575162], [""black"", 0.015098449916944137], [""toyota"", 0.014359944495915466], [""19"", 0.011313946228603844], [""standard"", 0.010318091215764697]]"
mmr,27,"connect, system, corolla, safety, assist, speakers, toyota, alert, prius, bose","[[""connect"", 0.04454401066901655], [""system"", 0.0355186309072241], [""corolla"", 0.0321419483955122], [""safety"", 0.03185518335496784], [""assist"", 0.02856272288955442], [""speakers"", 0.025999779148773425], [""toyota"", 0.024718014779089085], [""alert"", 0.017871486828354138], [""prius"", 0.017364189032796906], [""bose"", 0.013534716844982385]]"
mmr,28,"rav4, hybrid, prime, standard, drive, trd, toyota, seats","[[""rav4"", 0.0923277224441754], [""hybrid"", 0.03557064491312609], [""prime"", 0.03180872932951458], [""standard"", 0.02403181794738111], [""drive"", 0.02125962262405023], [""trd"", 0.02057639104054374], [""toyota"", 0.017873804429466077], [""seats"", 0.012339303024266392]]"
mmr,29,"mustang, mach, mustangs, ford, is, vehicle, have","[[""mustang"", 0.10688282527547802], [""mach"", 0.039581130564775524], [""mustangs"", 0.015211138810110603], [""ford"", 0.013485296518133369], [""is"", 0.011674509903576241], [""vehicle"", 0.011478933885115356], [""have"", 0.009073119727745016]]"
mmr,30,"eqs, eqe, eq, mercedes, electric, luxury, car, amg, performance","[[""eqs"", 0.0710694989529836], [""eqe"", 0.04610239547123029], [""eq"", 0.04185043844944862], [""mercedes"", 0.03229151658127416], [""electric"", 0.019294921241680637], [""luxury"", 0.010523830385217365], [""car"", 0.01046093011131574], [""amg"", 0.009500853496884872], [""performance"", 0.008937086947947672]]"
mmr,31,"horsepower, cylinder, transmission, economy, litre, estimated, elantra, mpg, clutch, v8","[[""horsepower"", 0.0474802459240286], [""cylinder"", 0.03166819365904004], [""transmission"", 0.017110575407800487], [""economy"", 0.016445579653095774], [""litre"", 0.01486235382379052], [""estimated"", 0.013728103257079433], [""elantra"", 0.012859852349724869], [""mpg"", 0.012556299746542033], [""clutch"", 0.012101856615604721], [""v8"", 0.011697568457555206]]"
mmr,32,"highlander, standard, hybrid, seats, bronze, interior, suv","[[""highlander"", 0.09570812311558043], [""standard"", 0.025084403029502964], [""hybrid"", 0.023767644069520536], [""seats"", 0.01563459768880055], [""bronze"", 0.014185624354255433], [""interior"", 0.013785108434461946], [""suv"", 0.012783799323754511]]"
mmr,33,"lights, rear, laser, headlights, taillights, lighting, car","[[""lights"", 0.031016177582690443], [""rear"", 0.026151639984758203], [""laser"", 0.023996779868191206], [""headlights"", 0.018631402239887646], [""taillights"", 0.014845454216965216], [""lighting"", 0.01367132919156396], [""car"", 0.011874456930968225]]"
mmr,34,"amg, racing, steering, door, coupe, roadster, mercedes, buttons, features, gt4","[[""amg"", 0.10784199970516256], [""racing"", 0.01777126498396627], [""steering"", 0.016702279209550447], [""door"", 0.016506920219234333], [""coupe"", 0.01432588577456003], [""roadster"", 0.013052397180289478], [""mercedes"", 0.012595655222931434], [""buttons"", 0.012118708879855496], [""features"", 0.011016648267338119], [""gt4"", 0.010707680029617285]]"
mmr,35,"crown, toyota, platinum, generation, performance, its, tnga, flagship, heated","[[""crown"", 0.1301470430433193], [""toyota"", 0.04449222145293397], [""platinum"", 0.018057023669305537], [""generation"", 0.01605968006504138], [""performance"", 0.015332993280018891], [""its"", 0.014725248805468034], [""tnga"", 0.011679831428347874], [""flagship"", 0.010703736395601996], [""heated"", 0.010646238151076709]]"
mmr,36,"pacifica, rogue, minivan, chrysler, midnight, crossover, edition, new, safety","[[""pacifica"", 0.05542934477976079], [""rogue"", 0.04595987458279512], [""minivan"", 0.04229299509086553], [""chrysler"", 0.02949616061561771], [""midnight"", 0.02321491093220318], [""crossover"", 0.021782350707730002], [""edition"", 0.01576593108257077], [""new"", 0.012787886394311148], [""safety"", 0.01235286720619723]]"
mmr,37,"lithium, ion, batteries, pack, iron, cells, cooling, phosphate, gravity, poster","[[""lithium"", 0.04437083665249302], [""ion"", 0.03046488567218641], [""batteries"", 0.022793073905801518], [""pack"", 0.02248553797220381], [""iron"", 0.02164068860544432], [""cells"", 0.018884723869617186], [""cooling"", 0.01877431415054275], [""phosphate"", 0.013625085479331889], [""gravity"", 0.012434129529308653], [""poster"", 0.011585489962947232]]"
mmr,38,"nsx, acura, supercar, ilx, brand, manufacturing, ohio, driver","[[""nsx"", 0.08933658957158555], [""acura"", 0.06540878992894296], [""supercar"", 0.024965378753261953], [""ilx"", 0.014042227203752432], [""brand"", 0.011477709963663804], [""manufacturing"", 0.010575674718908816], [""ohio"", 0.010104554395968945], [""driver"", 0.009990736021516575]]"
mmr,39,"k27, kandy, ev, northpoint, vehicles, inventory, affordable, first, promotional","[[""k27"", 0.02669573312636924], [""kandy"", 0.022348641358822884], [""ev"", 0.017807952427951447], [""northpoint"", 0.016694510376909274], [""vehicles"", 0.015482388643940866], [""inventory"", 0.014309580323065093], [""affordable"", 0.014202746347478878], [""first"", 0.01272082056604109], [""promotional"", 0.01248339699032816]]"
mmr,40,"corolla, hybrid, toyota, accents, hatchback, lineup","[[""corolla"", 0.12199180900692924], [""hybrid"", 0.023662618272301494], [""toyota"", 0.015358136114245751], [""accents"", 0.01320655768643338], [""hatchback"", 0.01172912883826256], [""lineup"", 0.011431215798046394]]"
