representation_model,topic,words,weighted_words
pos,-1,"car, new, vehicle, electric, rear, standard, first, available","[[""car"", 0.008767097634991847], [""new"", 0.007733161201506707], [""vehicle"", 0.006858092684757829], [""electric"", 0.006186093470639032], [""rear"", 0.005984304801756065], [""standard"", 0.0054393753007371485], [""first"", 0.0050861019080772766], [""available"", 0.005002586912645452]]"
pos,0,"car, design, cars","[[""car"", 0.010687012336853437], [""design"", 0.006150807440738959], [""cars"", 0.005775657935986796]]"
pos,1,"interior, seat, seats, leather, space, rear, design, back, materials, comfort","[[""interior"", 0.026926974166256265], [""seat"", 0.021866549598199326], [""seats"", 0.020648968940770465], [""leather"", 0.014903977865658481], [""space"", 0.01380029369098431], [""rear"", 0.010654160434694136], [""design"", 0.01008679485183301], [""back"", 0.009726685264924212], [""materials"", 0.009417397501244547], [""comfort"", 0.00795537376705114]]"
pos,2,"charging, charge, range, charger, minutes, hour, battery, fast, volt","[[""charging"", 0.04215829147422763], [""charge"", 0.03699910479822288], [""range"", 0.019188814538715356], [""charger"", 0.015014850695844956], [""minutes"", 0.014187807806789072], [""hour"", 0.014080889127352112], [""battery"", 0.013679288613638593], [""fast"", 0.013283864473171833], [""volt"", 0.012649605159403757]]"
pos,3,"electric, torque, hybrid, motor, pedal, power, battery, drive, engine, plug","[[""electric"", 0.02998711792247371], [""torque"", 0.024247183433123785], [""hybrid"", 0.02387374928335639], [""motor"", 0.021770306150217446], [""pedal"", 0.017847284000175403], [""power"", 0.01739811901537281], [""battery"", 0.016442428874737423], [""drive"", 0.015844647197439454], [""engine"", 0.015687781913739582], [""plug"", 0.012708035802775625]]"
pos,4,"series, grand, new, kidney, design, touring, driving, car, dynamics","[[""series"", 0.033844539598240284], [""grand"", 0.02102930013448125], [""new"", 0.018291740978089173], [""kidney"", 0.01630580050693509], [""design"", 0.012927886873818746], [""touring"", 0.008410411305731337], [""driving"", 0.008229603657348103], [""car"", 0.008106025063185538], [""dynamics"", 0.007457140239588419]]"
pos,5,"safety, features, recharge, assist, new, standard, car, available","[[""safety"", 0.01988336479991632], [""features"", 0.015223617262910204], [""recharge"", 0.011724852422233626], [""assist"", 0.009713047244397427], [""new"", 0.009005315535635817], [""standard"", 0.008968944268078862], [""car"", 0.008795884326433976], [""available"", 0.008090856862915777]]"
pos,6,"s60, new, car, safety, world, cars, design, first, seat","[[""s60"", 0.027104415704365357], [""new"", 0.022115872863257016], [""car"", 0.015642492530965318], [""safety"", 0.015322810304586288], [""world"", 0.013971402726864741], [""cars"", 0.011525256462132944], [""design"", 0.010687108907632189], [""first"", 0.0070626889591884345], [""seat"", 0.0058384486521537516]]"
pos,7,"assist, parking, lane, spot, blind, driver, traffic, alert, braking, emergency","[[""assist"", 0.030159614627326334], [""parking"", 0.0277461332983741], [""lane"", 0.023237871163563777], [""spot"", 0.020131479525839154], [""blind"", 0.018653842724127536], [""driver"", 0.017604880463823788], [""traffic"", 0.01740851386097155], [""alert"", 0.017310192688541854], [""braking"", 0.015964611041831903], [""emergency"", 0.014886059042166196]]"
pos,8,"electric, vehicle, platform, rear, new, first, interior, assist, design","[[""electric"", 0.011278679078560507], [""vehicle"", 0.009902689608291552], [""platform"", 0.009580695640535696], [""rear"", 0.008895672210591597], [""new"", 0.008663800469710591], [""first"", 0.008411900025613723], [""interior"", 0.008326171734543966], [""assist"", 0.008138925603202292], [""design"", 0.008124705990243576]]"
