Topic,Count,Name,ratio
-1,3312,-1_car_new_vehicle_rear,0.2974137931034483
0,374,0_ladies_interesting_fun_congratulations,0.03358477011494253
1,245,1_bmw_series_grand tour_tour,0.022000718390804596
2,221,2_assist_parking_lane_spot,0.019845545977011495
3,220,3_car_cars_customers_design,0.019755747126436782
4,219,4_ioniq_hyundai_charging_platform,0.01966594827586207
5,218,5_kia_ev6_ev_india,0.019576149425287355
6,204,6_nissan_leaf_nissan leaf_aria,0.018318965517241378
7,203,7_seat_leather_seats_interior,0.018229166666666668
8,188,8_carplay_apple_android_apple carplay,0.016882183908045977
9,185,9_mbux_screen_display_console,0.01661278735632184
10,183,10_drive_car_driving_driver,0.016433189655172414
11,182,11_lexus_nx_ux_ls,0.0163433908045977
12,173,12_electric_electric cars_cars_ev,0.015535201149425287
13,172,13_elantra_hyundai_new elantra_hyundai elantra,0.015445402298850575
14,165,14_torque_electric_motor_hybrid,0.014816810344827586
15,160,15_mercedes_benz_mercedes benz_class,0.014367816091954023
16,156,16_charging_charge_level_stations,0.014008620689655173
17,155,17_navigation_display_information_view,0.01391882183908046
18,149,18_prius_prius prime_prime_hybrid,0.013380028735632184
19,145,19_sonata_hyundai sonata_hyundai_camry,0.013020833333333334
20,144,20_polestar_volvo_brand_electric,0.01293103448275862
21,136,21_xc90_volvo_new xc90_ex90,0.01221264367816092
22,128,22_porsche_taycan_panamera_new panamera,0.011494252873563218
23,123,23_door_trunk_meters_soft,0.011045258620689655
24,115,24_steering_suspension_control_sl,0.010326867816091954
25,109,25_camry_trd_available_new camry,0.009788074712643677
26,108,26_rav4_rav4 prime_prime_hybrid,0.009698275862068966
27,108,27_connect_audio_corolla_safety,0.009698275862068966
28,105,28_mustang_mach_mustang mach_ford,0.009428879310344827
29,102,29_doubt student_student_products_customer,0.009159482758620689
30,101,30_eqs_eqe_eq_mercedes,0.009069683908045977
31,94,31_engine_horsepower_liter_cylinder,0.008441091954022989
32,94,32_sketch_design_started_did,0.008441091954022989
33,93,33_range_battery_hour_charge,0.008351293103448275
34,93,34_auto_auto season_season_los angeles,0.008351293103448275
35,88,35_volvo_s60_new s60_car,0.007902298850574713
36,84,36_interior_inside_interior design_design,0.007543103448275862
37,80,37_light_lights_led_laser,0.007183908045977011
38,80,38_highlander_grand highlander_standard_available,0.007183908045977011
39,79,39_amg_gt_amg gt_gt door,0.007094109195402299
40,78,40_saturn_market_sales_brand,0.007004310344827586
41,76,41_audi_a3_a6_a7,0.006824712643678161
42,75,42_grille_hood_design_single grille,0.006734913793103448
43,75,43_crown_toyota crown_toyota_japan,0.006734913793103448
44,71,44_pacifica_rogue_minivan_chrysler,0.006375718390804598
45,70,45_president_ladies_vice_vice president,0.006285919540229885
46,70,46_battery_lithium_ion_lithium ion,0.006285919540229885
47,69,47_nsx_acura_supercar_ilx,0.006196120689655173
48,68,48_k27_kandy_america_auto evolution,0.00610632183908046
49,65,49_fiat_mclaren_p1_decided,0.005836925287356322
50,65,50_sound_noise_quiet_acoustic,0.005836925287356322
51,64,51_corolla_corolla hybrid_apex_new corolla,0.005747126436781609
52,64,52_safety_elantra_assist_airbags,0.005747126436781609
53,62,53_infiniti_infinity_market_johan,0.005567528735632184
54,59,54_seconds_kilometers_hour_fast,0.005298132183908046
55,59,55_pedal_braking_brake_accelerator,0.005298132183908046
56,59,56_tron_audi_quattro_audi tron,0.005298132183908046
57,58,57_stance_car_gives car_rear,0.005208333333333333
58,56,58_buick_brand_sportback_china,0.005028735632183908
59,55,59_cover_console_storage_cup,0.0049389367816091954
60,55,60_vancouver_co2_bc_city,0.0049389367816091954
61,55,61_kix_toyota_tax_federal,0.0049389367816091954
62,54,62_cargo_trunk_space_cubic,0.004849137931034483
63,54,63_key_digital key_digital_unlock,0.004849137931034483
64,53,64_mode_comfort mode_mode comfort_comfort,0.00475933908045977
65,52,65_charging_i3_cable_port,0.004669540229885058
66,52,66_q50_infiniti_infiniti q50_infinity,0.004669540229885058
67,50,67_bmw_new bmw_bmw series_series,0.004489942528735632
68,50,68_ford_customers_new ford_showed,0.004489942528735632
69,50,69_ferrari_race_racetrack_racing,0.004489942528735632
