representation_model,topic,words,weighted_words
default,-1,"car, new, vehicle, rear, electric, driving, hybrid, design, battery, charging","[[""car"", 0.009844192071832125], [""new"", 0.008072754070617435], [""vehicle"", 0.007071130440056096], [""rear"", 0.006571007113833154], [""electric"", 0.006448166452416535], [""driving"", 0.00636267436255254], [""hybrid"", 0.006069974041455832], [""design"", 0.005611680123942533], [""battery"", 0.00551670494260251], [""charging"", 0.00546797933135016]]"
default,0,"ladies, interesting, fun, congratulations, moment, broadcast, liked, able, answer, enjoy","[[""ladies"", 0.027173022900721183], [""interesting"", 0.02397197929663985], [""fun"", 0.02362232972288943], [""congratulations"", 0.020068161997281817], [""moment"", 0.01952871886635356], [""broadcast"", 0.01925093553548674], [""liked"", 0.018257629924684448], [""able"", 0.01819820656436013], [""answer"", 0.017912544710259624], [""enjoy"", 0.017813784387864056]]"
default,1,"bmw, series, grand tour, tour, grand, bmw series, new bmw, kidney, new, i4","[[""bmw"", 0.08460612560330061], [""series"", 0.044117874332534626], [""grand tour"", 0.0320267820834313], [""tour"", 0.030809509534187898], [""grand"", 0.029077048959910916], [""bmw series"", 0.026574473012714928], [""new bmw"", 0.026209906758697783], [""kidney"", 0.023200266956987146], [""new"", 0.01834627821373755], [""i4"", 0.016308365539903873]]"
default,2,"assist, parking, lane, spot, blind, blind spot, alert, traffic, braking, driver","[[""assist"", 0.032894633256049355], [""parking"", 0.03183877766217285], [""lane"", 0.026481782635039818], [""spot"", 0.023441421499466875], [""blind"", 0.022042158447287664], [""blind spot"", 0.020921185358937337], [""alert"", 0.02030673176906113], [""traffic"", 0.019832896474923756], [""braking"", 0.0184676223425139], [""driver"", 0.018434234876482356]]"
default,3,"car, cars, customers, design, vehicle, prototypes, world, mobility, experience, lives","[[""car"", 0.024859567568386177], [""cars"", 0.018896455960650396], [""customers"", 0.014863754451040476], [""design"", 0.014138050080924234], [""vehicle"", 0.013237835076700061], [""prototypes"", 0.012828412502460073], [""world"", 0.01154448080637521], [""mobility"", 0.011154884352477005], [""experience"", 0.011077608923550813], [""lives"", 0.010544552550125942]]"
default,4,"ioniq, hyundai, charging, platform, electric, vehicle, 2025, rear, ev, assist","[[""ioniq"", 0.08867236508841801], [""hyundai"", 0.03686902504039901], [""charging"", 0.013958012137727177], [""platform"", 0.011102074328384736], [""electric"", 0.010853599609122418], [""vehicle"", 0.009430165444038205], [""2025"", 0.009352447924573163], [""rear"", 0.008839122134061567], [""ev"", 0.008793456040787073], [""assist"", 0.008772088335438615]]"
default,5,"kia, ev6, ev, india, new kia, gt, niro, ev6 gt, ev9, fleet","[[""kia"", 0.092835801623934], [""ev6"", 0.055347752791176416], [""ev"", 0.022986390737327222], [""india"", 0.019699002626274092], [""new kia"", 0.019439782241235593], [""gt"", 0.01921978218509113], [""niro"", 0.019065352002639303], [""ev6 gt"", 0.015308999094087061], [""ev9"", 0.015021128646298907], [""fleet"", 0.013637771048958986]]"
default,6,"nissan, leaf, nissan leaf, aria, new nissan, altima, propilot, new, nissan intelligent, intelligent","[[""nissan"", 0.08507949725424535], [""leaf"", 0.07930820450678558], [""nissan leaf"", 0.04391903744303972], [""aria"", 0.041844048946318955], [""new nissan"", 0.033481829500851164], [""altima"", 0.03204789260379824], [""propilot"", 0.02361947020901285], [""new"", 0.017029727829516714], [""nissan intelligent"", 0.015311869690052188], [""intelligent"", 0.015075142458300486]]"
default,7,"seat, leather, seats, interior, materials, comfort, trim, space, upholstery, comfortable","[[""seat"", 0.04430543134864538], [""leather"", 0.03858953557065002], [""seats"", 0.03806357434183833], [""interior"", 0.02270847605096059], [""materials"", 0.021020320416326503], [""comfort"", 0.015186986151272086], [""trim"", 0.014754389009954438], [""space"", 0.014695655472641548], [""upholstery"", 0.014624768035250917], [""comfortable"", 0.013670408404115311]]"
default,8,"carplay, apple, android, apple carplay, android auto, smartphone, phone, alexa, auto, touchscreen","[[""carplay"", 0.03411388669532145], [""apple"", 0.034103989975817456], [""android"", 0.03332030296072103], [""apple carplay"", 0.028721293195631756], [""android auto"", 0.02692142654477051], [""smartphone"", 0.024924451579939052], [""phone"", 0.02199708325464562], [""alexa"", 0.020889082264900743], [""auto"", 0.019768096478633247], [""touchscreen"", 0.018566135304362862]]"
