representation_model,topic,words,weighted_words
keybert,-1,"bmw, car, vehicle, hybrid, driving, drive, electric, technology","[[""bmw"", 0.4196314811706543], [""car"", 0.4178435802459717], [""vehicle"", 0.35442131757736206], [""hybrid"", 0.303151935338974], [""driving"", 0.27803584933280945], [""drive"", 0.2536865472793579], [""electric"", 0.18982021510601044], [""technology"", 0.1796499490737915]]"
keybert,0,filtered_topic_terms_unavailable,"[[""filtered_topic_terms_unavailable"", 0.0]]"
keybert,1,"bmw, sedan, coupe, car, touring, hybrid, tour, i4, x6","[[""bmw"", 0.6641685962677002], [""sedan"", 0.5095799565315247], [""coupe"", 0.4367554187774658], [""car"", 0.37362343072891235], [""touring"", 0.341511607170105], [""hybrid"", 0.3235073387622833], [""tour"", 0.31170013546943665], [""i4"", 0.30081379413604736], [""x6"", 0.27985095977783203]]"
keybert,2,"safety, parking, detection, detects, detect, blind, pedestrian, driving, view, pedestrians","[[""safety"", 0.3916965126991272], [""parking"", 0.38522806763648987], [""detection"", 0.3692520260810852], [""detects"", 0.3485715985298157], [""detect"", 0.3265358507633209], [""blind"", 0.3213891088962555], [""pedestrian"", 0.31544622778892517], [""driving"", 0.3134598731994629], [""view"", 0.31131112575531006], [""pedestrians"", 0.30920007824897766]]"
keybert,3,"cars, car, vehicle, prototype, design, prototypes, technology, mobility, experience","[[""cars"", 0.5273935794830322], [""car"", 0.48979032039642334], [""vehicle"", 0.4789000153541565], [""prototype"", 0.34261301159858704], [""design"", 0.3234218955039978], [""prototypes"", 0.3201938271522522], [""technology"", 0.3041469156742096], [""mobility"", 0.27783870697021484], [""experience"", 0.2175011783838272]]"
keybert,4,"ioniq, hyundai, hybrid, ev, electric, id4, powertrains, vehicle, vehicles, plug","[[""ioniq"", 0.6592403650283813], [""hyundai"", 0.4555877149105072], [""hybrid"", 0.4401974678039551], [""ev"", 0.4114508330821991], [""electric"", 0.3172250986099243], [""id4"", 0.3130663335323334], [""powertrains"", 0.2663606107234955], [""vehicle"", 0.2564641237258911], [""vehicles"", 0.2519000172615051], [""plug"", 0.21531131863594055]]"
keybert,5,"kia, ev6, ev, ev9, ev4, e6, evs, vehicle, vehicles, suvs","[[""kia"", 0.6279598474502563], [""ev6"", 0.5687163472175598], [""ev"", 0.49196675419807434], [""ev9"", 0.45107007026672363], [""ev4"", 0.44631198048591614], [""e6"", 0.40914708375930786], [""evs"", 0.3963615298271179], [""vehicle"", 0.34139716625213623], [""vehicles"", 0.33411651849746704], [""suvs"", 0.31323540210723877]]"
keybert,6,"nissanusa, nissan, leaf, ev, sedan, electric, altima, mobility, ariya, driving","[[""nissanusa"", 0.5574755668640137], [""nissan"", 0.5210355520248413], [""leaf"", 0.4375026524066925], [""ev"", 0.38681793212890625], [""sedan"", 0.2584458589553833], [""electric"", 0.23628424108028412], [""altima"", 0.20785650610923767], [""mobility"", 0.17446590960025787], [""ariya"", 0.15294842422008514], [""driving"", 0.1528448462486267]]"
keybert,7,"seats, seat, comfortable, comfort, interior, leather, sitting, passengers, sit, design","[[""seats"", 0.5257743000984192], [""seat"", 0.49343106150627136], [""comfortable"", 0.4448179006576538], [""comfort"", 0.37157171964645386], [""interior"", 0.36629244685173035], [""leather"", 0.343549907207489], [""sitting"", 0.34054234623908997], [""passengers"", 0.3245943486690521], [""sit"", 0.3129211962223053], [""design"", 0.2970800995826721]]"
keybert,8,"smartphone, android, iphone, mobile, touchscreen, apps, carplay, devices, app, apple","[[""smartphone"", 0.5771390199661255], [""android"", 0.5219444036483765], [""iphone"", 0.48847782611846924], [""mobile"", 0.4628240466117859], [""touchscreen"", 0.4538169801235199], [""apps"", 0.4253460466861725], [""carplay"", 0.40338414907455444], [""devices"", 0.4005860686302185], [""app"", 0.3655129075050354], [""apple"", 0.3637329339981079]]"
