representation_model,topic,words,weighted_words
llm_google_gemini_3_1_pro_preview,-1,Advanced,"[[""Advanced"", 1.0]]"
llm_google_gemini_3_1_pro_preview,0,Convers,"[[""Convers"", 1.0]]"
llm_google_gemini_3_1_pro_preview,1,BMW,"[[""BMW"", 1.0]]"
llm_google_gemini_3_1_pro_preview,2,Advanced,"[[""Advanced"", 1.0]]"
llm_google_gemini_3_1_pro_preview,3,Advanced,"[[""Advanced"", 1.0]]"
llm_google_gemini_3_1_pro_preview,4,Hyundai,"[[""Hyundai"", 1.0]]"
llm_google_gemini_3_1_pro_preview,5,Kia,"[[""Kia"", 1.0]]"
llm_google_gemini_3_1_pro_preview,6,Nissan,"[[""Nissan"", 1.0]]"
llm_google_gemini_3_1_pro_preview,7,Premium,"[[""Premium"", 1.0]]"
llm_google_gemini_3_1_pro_preview,8,Smartphone,"[[""Smartphone"", 1.0]]"
llm_google_gemini_3_1_pro_preview,9,Inf,"[[""Inf"", 1.0]]"
llm_google_gemini_3_1_pro_preview,10,"LLM label unavailable: drive, it, car, do, you, driving, me, this, my, let","[[""LLM label unavailable: drive, it, car, do, you, driving, me, this, my, let"", 1.0]]"
llm_google_gemini_3_1_pro_preview,11,L,"[[""L"", 1.0]]"
llm_google_gemini_3_1_pro_preview,12,Premium,"[[""Premium"", 1.0]]"
llm_google_gemini_3_1_pro_preview,13,Hyundai,"[[""Hyundai"", 1.0]]"
llm_google_gemini_3_1_pro_preview,14,Electric,"[[""Electric"", 1.0]]"
llm_google_gemini_3_1_pro_preview,15,Mercedes,"[[""Mercedes"", 1.0]]"
llm_google_gemini_3_1_pro_preview,16,EV,"[[""EV"", 1.0]]"
llm_google_gemini_3_1_pro_preview,17,Head,"[[""Head"", 1.0]]"
llm_google_gemini_3_1_pro_preview,18,Toyota,"[[""Toyota"", 1.0]]"
llm_google_gemini_3_1_pro_preview,19,Mid,"[[""Mid"", 1.0]]"
llm_google_gemini_3_1_pro_preview,20,Pol,"[[""Pol"", 1.0]]"
llm_google_gemini_3_1_pro_preview,21,Volvo,"[[""Volvo"", 1.0]]"
llm_google_gemini_3_1_pro_preview,22,Porsche,"[[""Porsche"", 1.0]]"
llm_google_gemini_3_1_pro_preview,23,Vehicle,"[[""Vehicle"", 1.0]]"
llm_google_gemini_3_1_pro_preview,24,Vehicle,"[[""Vehicle"", 1.0]]"
llm_google_gemini_3_1_pro_preview,25,Toyota,"[[""Toyota"", 1.0]]"
llm_google_gemini_3_1_pro_preview,26,Toyota,"[[""Toyota"", 1.0]]"
llm_google_gemini_3_1_pro_preview,27,Premium,"[[""Premium"", 1.0]]"
llm_google_gemini_3_1_pro_preview,28,Must,"[[""Must"", 1.0]]"
llm_google_gemini_3_1_pro_preview,29,"LLM label unavailable: we, they, think, company, people, it, have, because, them, to","[[""LLM label unavailable: we, they, think, company, people, it, have, because, them, to"", 1.0]]"
llm_google_gemini_3_1_pro_preview,30,Mercedes,"[[""Mercedes"", 1.0]]"
llm_google_gemini_3_1_pro_preview,31,"LLM label unavailable: engine, horsepower, liter, cylinder, turbo, four, transmission, cases, economy, speed","[[""LLM label unavailable: engine, horsepower, liter, cylinder, turbo, four, transmission, cases, economy, speed"", 1.0]]"
llm_google_gemini_3_1_pro_preview,32,Vehicle,"[[""Vehicle"", 1.0]]"
llm_google_gemini_3_1_pro_preview,33,EV,"[[""EV"", 1.0]]"
llm_google_gemini_3_1_pro_preview,34,Auto,"[[""Auto"", 1.0]]"
llm_google_gemini_3_1_pro_preview,35,Volvo,"[[""Volvo"", 1.0]]"
llm_google_gemini_3_1_pro_preview,36,EV,"[[""EV"", 1.0]]"
llm_google_gemini_3_1_pro_preview,37,Vehicle,"[[""Vehicle"", 1.0]]"
llm_google_gemini_3_1_pro_preview,38,Vehicle,"[[""Vehicle"", 1.0]]"
llm_google_gemini_3_1_pro_preview,39,AMG,"[[""AMG"", 1.0]]"
llm_google_gemini_3_1_pro_preview,40,Global,"[[""Global"", 1.0]]"
llm_google_gemini_3_1_pro_preview,41,Audi,"[[""Audi"", 1.0]]"
llm_google_gemini_3_1_pro_preview,42,filtered_topic_terms_unavailable,"[[""filtered_topic_terms_unavailable"", 0.0]]"
llm_google_gemini_3_1_pro_preview,43,Toyota,"[[""Toyota"", 1.0]]"
llm_google_gemini_3_1_pro_preview,44,"LLM label unavailable: pacifica, rogue, minivan, chrysler, midnight, crossover, that, edition, about, really","[[""LLM label unavailable: pacifica, rogue, minivan, chrysler, midnight, crossover, that, edition, about, really"", 1.0]]"
llm_google_gemini_3_1_pro_preview,45,"LLM label unavailable: president, welcome, please, gentlemen, ladies, vice, good, america, morning, everyone","[[""LLM label unavailable: president, welcome, please, gentlemen, ladies, vice, good, america, morning, everyone"", 1.0]]"
llm_google_gemini_3_1_pro_preview,46,EV,"[[""EV"", 1.0]]"
llm_google_gemini_3_1_pro_preview,47,A,"[[""A"", 1.0]]"
llm_google_gemini_3_1_pro_preview,48,K,"[[""K"", 1.0]]"
llm_google_gemini_3_1_pro_preview,49,Fiat,"[[""Fiat"", 1.0]]"
llm_google_gemini_3_1_pro_preview,50,EV,"[[""EV"", 1.0]]"
llm_google_gemini_3_1_pro_preview,51,Toyota,"[[""Toyota"", 1.0]]"
llm_google_gemini_3_1_pro_preview,52,Vehicle,"[[""Vehicle"", 1.0]]"
llm_google_gemini_3_1_pro_preview,53,Inf,"[[""Inf"", 1.0]]"
llm_google_gemini_3_1_pro_preview,54,EV,"[[""EV"", 1.0]]"
llm_google_gemini_3_1_pro_preview,55,Reg,"[[""Reg"", 1.0]]"
llm_google_gemini_3_1_pro_preview,56,Audi,"[[""Audi"", 1.0]]"
llm_google_gemini_3_1_pro_preview,57,Vehicle,"[[""Vehicle"", 1.0]]"
llm_google_gemini_3_1_pro_preview,58,Bu,"[[""Bu"", 1.0]]"
llm_google_gemini_3_1_pro_preview,59,Cargo,"[[""Cargo"", 1.0]]"
llm_google_gemini_3_1_pro_preview,60,Vancouver,"[[""Vancouver"", 1.0]]"
llm_google_gemini_3_1_pro_preview,61,EV,"[[""EV"", 1.0]]"
llm_google_gemini_3_1_pro_preview,62,Cargo,"[[""Cargo"", 1.0]]"
llm_google_gemini_3_1_pro_preview,63,Digital,"[[""Digital"", 1.0]]"
llm_google_gemini_3_1_pro_preview,64,EV,"[[""EV"", 1.0]]"
llm_google_gemini_3_1_pro_preview,65,BMW,"[[""BMW"", 1.0]]"
llm_google_gemini_3_1_pro_preview,66,Inf,"[[""Inf"", 1.0]]"
llm_google_gemini_3_1_pro_preview,67,BMW,"[[""BMW"", 1.0]]"
llm_google_gemini_3_1_pro_preview,68,Ford,"[[""Ford"", 1.0]]"
llm_google_gemini_3_1_pro_preview,69,Ferrari,"[[""Ferrari"", 1.0]]"
