representation_model,topic,words,weighted_words
mmr,-1,car,"[[""car"", 0.007773862625963356]]"
mmr,0,filtered_topic_terms_unavailable,"[[""filtered_topic_terms_unavailable"", 0.0]]"
mmr,1,"bmw, grand, kidney, design, i4, touring, driving, episode, dynamics","[[""bmw"", 0.06282340963122052], [""grand"", 0.019628406079532076], [""kidney"", 0.01535680878256475], [""design"", 0.011318605225934728], [""i4"", 0.010630219782854765], [""touring"", 0.00794953027790534], [""driving"", 0.007235564117214458], [""episode"", 0.007024371118280482], [""dynamics"", 0.006943567438625625]]"
mmr,2,"assist, parking, lane, blind, alert, traffic, driver, braking, cross, steering","[[""assist"", 0.027324517419642484], [""parking"", 0.025537702979826268], [""lane"", 0.021342387334222255], [""blind"", 0.01732637346159105], [""alert"", 0.016042091532010687], [""traffic"", 0.01598707796110947], [""driver"", 0.01574815931307454], [""braking"", 0.014730747451308545], [""cross"", 0.011944676296587412], [""steering"", 0.010795012715404596]]"
mmr,3,"cars, about, design, customers, vehicle","[[""cars"", 0.010821385625029715], [""about"", 0.009373467058645621], [""design"", 0.008539991963336453], [""customers"", 0.008438756478558733], [""vehicle"", 0.00807922834576831]]"
mmr,4,"ioniq, hyundai, charging, electric, platform, vehicle, rear, interior, assist, ev","[[""ioniq"", 0.07256042911163858], [""hyundai"", 0.030764384209290993], [""charging"", 0.012152638754975562], [""electric"", 0.009859643600248682], [""platform"", 0.008877770908661478], [""vehicle"", 0.008627616689369382], [""rear"", 0.00785642621586381], [""interior"", 0.007466469684845926], [""assist"", 0.007373841382587666], [""ev"", 0.007305221580260283]]"
mmr,5,"kia, ev6, ev, gt, india, niro, ev9, vehicle, ev4","[[""kia"", 0.06583809422788206], [""ev6"", 0.038061134533266365], [""ev"", 0.01659866295122182], [""gt"", 0.013249762478755193], [""india"", 0.013127114717893639], [""niro"", 0.01264312286926615], [""ev9"", 0.009912661982826665], [""vehicle"", 0.008769925005511553], [""ev4"", 0.008562289870333206]]"
mmr,6,"nissan, leaf, aria, altima, propilot, ev, intelligent, technology, driving, ariya","[[""nissan"", 0.05891061873395242], [""leaf"", 0.053861050739530424], [""aria"", 0.027740920183677274], [""altima"", 0.020898743116601143], [""propilot"", 0.01535220369443492], [""ev"", 0.010444082366081318], [""intelligent"", 0.010227070164594364], [""technology"", 0.009541261262674286], [""driving"", 0.008206565057426037], [""ariya"", 0.0077497671276835055]]"
mmr,7,"seat, seats, leather, interior, materials, comfort, space, upholstery, comfortable, passengers","[[""seat"", 0.030237626120399857], [""seats"", 0.02613768899870304], [""leather"", 0.025224696793610918], [""interior"", 0.015982432778924062], [""materials"", 0.013682626907474465], [""comfort"", 0.010391770277062779], [""space"", 0.01005405981637698], [""upholstery"", 0.009063001426169724], [""comfortable"", 0.008966595104742901], [""passengers"", 0.00806243210230063]]"
mmr,8,"apple, carplay, android, smartphone, auto, alexa, touchscreen, wireless, apps, services","[[""apple"", 0.02478244729705059], [""carplay"", 0.02461866986257166], [""android"", 0.024287474312901285], [""smartphone"", 0.01803350299254254], [""auto"", 0.014762551669895591], [""alexa"", 0.01462017997593897], [""touchscreen"", 0.013459114192899625], [""wireless"", 0.010873942281343498], [""apps"", 0.010204311124522277], [""services"", 0.008896527996165795]]"
mmr,9,"mbux, screen, display, console, hyperscreen, buttons, digital, also, displays, controls","[[""mbux"", 0.028190548455316544], [""screen"", 0.027994821324234438], [""display"", 0.020314455377062054], [""console"", 0.015361979602468113], [""hyperscreen"", 0.013376582608760675], [""buttons"", 0.01162114887138262], [""digital"", 0.010195769250703358], [""also"", 0.010047779190777364], [""displays"", 0.009081328344517373], [""controls"", 0.009013075497966028]]"
mmr,10,"drive, car, driving, no, take","[[""drive"", 0.029802572121333224], [""car"", 0.020857549700569696], [""driving"", 0.017715181826353028], [""no"", 0.00980459775242838], [""take"", 0.009500879440706338]]"
mmr,11,"lexus, nx, ls, ct, luxury, gs, lc500, brand, lc","[[""lexus"", 0.06273177953220044], [""nx"", 0.02329164472731537], [""ls"", 0.011813062157536582], [""ct"", 0.011509050849779556], [""luxury"", 0.010214403192041704], [""gs"", 0.009307239263620303], [""lc500"", 0.007836781057990195], [""brand"", 0.0076206094119517145], [""lc"", 0.007534834451372958]]"
mmr,12,"electric, cars, ev, electrification, vehicle, future","[[""electric"", 0.03289696813578411], [""cars"", 0.01837946599747243], [""ev"", 0.0163734209503676], [""electrification"", 0.010100486964066489], [""vehicle"", 0.009185239515760668], [""future"", 0.008938651434982903]]"
mmr,13,"elantra, hyundai, generation, elr, design, compact, bowl, sedan","[[""elantra"", 0.06278922268505006], [""hyundai"", 0.0363731845966667], [""generation"", 0.010571420787861413], [""elr"", 0.009042912447056153], [""design"", 0.009015396346522092], [""compact"", 0.00896187332968803], [""bowl"", 0.0077048879934864855], [""sedan"", 0.007375471735352275]]"
mmr,14,"torque, electric, hybrid, horsepower, drive, motors, battery, hour, kilowatt","[[""torque"", 0.0329441631677389], [""electric"", 0.03231694488638102], [""hybrid"", 0.024124952146504723], [""horsepower"", 0.01667588761396063], [""drive"", 0.01550613921404404], [""motors"", 0.013888190320918183], [""battery"", 0.013718843432018834], [""hour"", 0.009814988597630497], [""kilowatt"", 0.00883058445410005]]"
mmr,15,"mercedes, benz, class, the, amg, car, luxury, about, glb","[[""mercedes"", 0.07177664463237733], [""benz"", 0.062444477772522745], [""class"", 0.054705547682609185], [""the"", 0.014815166087230538], [""amg"", 0.011423377855616462], [""car"", 0.010513926736798304], [""luxury"", 0.009430476949602924], [""about"", 0.008709820826742529], [""glb"", 0.007937739288536777]]"
mmr,16,"charging, level, mercedes, stations, charger, minutes, 240, volt, dc, cable","[[""charging"", 0.06369143479277789], [""level"", 0.01826268061393341], [""mercedes"", 0.014539094625522466], [""stations"", 0.013921792576600645], [""charger"", 0.013285188732269299], [""minutes"", 0.012181568504525564], [""240"", 0.010837006831711888], [""volt"", 0.010737502911725837], [""dc"", 0.010361253569746539], [""cable"", 0.009505090179025389]]"
mmr,17,"navigation, information, view, route, system, camera, head, also, driver, voice","[[""navigation"", 0.024120408273657794], [""information"", 0.016404933248663708], [""view"", 0.015149822388766858], [""route"", 0.012165138432949406], [""system"", 0.011186243230361848], [""camera"", 0.009897033226342415], [""head"", 0.009198220362762868], [""also"", 0.009057304160227424], [""driver"", 0.009049487200589512], [""voice"", 0.00845643299578735]]"
mmr,18,"prius, hybrid, toyota, gallon, per, efficiency, fuel, seats, awd","[[""prius"", 0.09386421734800143], [""hybrid"", 0.026583328552092687], [""toyota"", 0.015398245970295356], [""gallon"", 0.012278673855576603], [""per"", 0.012002969475668708], [""efficiency"", 0.01199101156734313], [""fuel"", 0.009621938949298909], [""seats"", 0.009087457621704435], [""awd"", 0.008876951147385485]]"
mmr,19,"sonata, hyundai, camry, accord, 2020, liter, hybrid, sel, blue, limited","[[""sonata"", 0.08651365106245873], [""hyundai"", 0.02705822495340699], [""camry"", 0.019005837928320436], [""accord"", 0.017748282004461068], [""2020"", 0.013628218959097813], [""liter"", 0.010596532389678504], [""hybrid"", 0.009499732540781063], [""sel"", 0.00893348778904248], [""blue"", 0.008588606059177236], [""limited"", 0.008232798866010915]]"
