representation_model,topic,words,weighted_words
pos,-1,"car, new, vehicle, electric, rear, first, standard, available","[[""car"", 0.007773862625963356], [""new"", 0.006316098993141538], [""vehicle"", 0.005169413907827404], [""electric"", 0.004680632982081131], [""rear"", 0.004666902923747263], [""first"", 0.004646898552353684], [""standard"", 0.003643771390527716], [""available"", 0.003555230226352259]]"
pos,0,filtered_topic_terms_unavailable,"[[""filtered_topic_terms_unavailable"", 0.0]]"
pos,1,"series, grand, new, kidney, design, touring, driving, episode, dynamics","[[""series"", 0.031015765313198072], [""grand"", 0.019628406079532076], [""new"", 0.015409468358849616], [""kidney"", 0.01535680878256475], [""design"", 0.011318605225934728], [""touring"", 0.00794953027790534], [""driving"", 0.007235564117214458], [""episode"", 0.007024371118280482], [""dynamics"", 0.006943567438625625]]"
pos,2,"assist, parking, lane, spot, blind, alert, traffic, driver, braking, emergency","[[""assist"", 0.027324517419642484], [""parking"", 0.025537702979826268], [""lane"", 0.021342387334222255], [""spot"", 0.01861357974191281], [""blind"", 0.01732637346159105], [""alert"", 0.016042091532010687], [""traffic"", 0.01598707796110947], [""driver"", 0.01574815931307454], [""braking"", 0.014730747451308545], [""emergency"", 0.013947373092175747]]"
pos,3,"car, cars, design, customers, vehicle, world, experience, new","[[""car"", 0.016388937969472023], [""cars"", 0.010821385625029715], [""design"", 0.008539991963336453], [""customers"", 0.008438756478558733], [""vehicle"", 0.00807922834576831], [""world"", 0.006575306757188714], [""experience"", 0.00630632509878525], [""new"", 0.006184041353902644]]"
pos,4,"electric, platform, vehicle, rear, interior, first, assist, new, design","[[""electric"", 0.009859643600248682], [""platform"", 0.008877770908661478], [""vehicle"", 0.008627616689369382], [""rear"", 0.00785642621586381], [""interior"", 0.007466469684845926], [""first"", 0.007389490154320848], [""assist"", 0.007373841382587666], [""new"", 0.007298625066105557], [""design"", 0.007113331094085458]]"
pos,5,"new, fleet, vehicle, customers, electric, sustainable, first, vehicles, world","[[""new"", 0.009737160376320426], [""fleet"", 0.009088002497003289], [""vehicle"", 0.008769925005511553], [""customers"", 0.008125874529030274], [""electric"", 0.0080392568963937], [""sustainable"", 0.00761484363083603], [""first"", 0.00736409429316996], [""vehicles"", 0.007244530696989859], [""world"", 0.0072347888054639375]]"
pos,6,"nissan, leaf, new, intelligent, technology, driving, drive, first, assist","[[""nissan"", 0.05891061873395242], [""leaf"", 0.053861050739530424], [""new"", 0.014165319918071193], [""intelligent"", 0.010227070164594364], [""technology"", 0.009541261262674286], [""driving"", 0.008206565057426037], [""drive"", 0.007231742278048103], [""first"", 0.006320676277476601], [""assist"", 0.005856770158474675]]"
pos,7,"seat, seats, leather, interior, materials, back, comfort, space, trim, upholstery","[[""seat"", 0.030237626120399857], [""seats"", 0.02613768899870304], [""leather"", 0.025224696793610918], [""interior"", 0.015982432778924062], [""materials"", 0.013682626907474465], [""back"", 0.010646394536260059], [""comfort"", 0.010391770277062779], [""space"", 0.01005405981637698], [""trim"", 0.009702022291804297], [""upholstery"", 0.009063001426169724]]"
pos,8,"carplay, smartphone, phone, touchscreen, available, connected, profile, wireless, apps, car","[[""carplay"", 0.02461866986257166], [""smartphone"", 0.01803350299254254], [""phone"", 0.01601771580062492], [""touchscreen"", 0.013459114192899625], [""available"", 0.012464715966235116], [""connected"", 0.012177695285360468], [""profile"", 0.011852778361761853], [""wireless"", 0.010873942281343498], [""apps"", 0.010204311124522277], [""car"", 0.010076036245576576]]"
