representation_model,topic,words,weighted_words
default,-1,"car, new, vehicle, design, driving, drive, available, technology, look, electric","[[""car"", 0.021050118921007662], [""new"", 0.013721854474673362], [""vehicle"", 0.013394443216682215], [""design"", 0.00914100721693797], [""driving"", 0.00912650063122889], [""drive"", 0.008185813209283764], [""available"", 0.0077529138658855995], [""technology"", 0.007536577341101356], [""look"", 0.007338272603617836], [""electric"", 0.007117908497948047]]"
default,0,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power","[[""new"", 0.022584170175020426], [""car"", 0.018267876322073502], [""design"", 0.014763366610530472], [""electric"", 0.01429293167845673], [""bmw"", 0.01190827633562484], [""rear"", 0.010504468067363198], [""drive"", 0.01043662298550838], [""vehicle"", 0.010366307168831756], [""hybrid"", 0.00993846585386464], [""power"", 0.009640839769437495]]"
default,1,"display, control, car, navigation, assist, driver, driving, parking, screen, traffic","[[""display"", 0.0200421281129738], [""control"", 0.01946023019830572], [""car"", 0.018251405702152307], [""navigation"", 0.017080695722146218], [""assist"", 0.016873396224861333], [""driver"", 0.016786939839516835], [""driving"", 0.015811254794608633], [""parking"", 0.01535673882072086], [""screen"", 0.015303372315252525], [""traffic"", 0.015248691019752804]]"
default,2,"auto, happy, episode, season, press, fun, got, absolutely, hello, enjoy","[[""auto"", 0.03814815931762308], [""happy"", 0.027859398720838313], [""episode"", 0.025724574974296137], [""season"", 0.024199900744976185], [""press"", 0.022809046761970157], [""fun"", 0.022368056454182498], [""got"", 0.020158932851342945], [""absolutely"", 0.020072126897818336], [""hello"", 0.019704180790450432], [""enjoy"", 0.019354817766752755]]"
default,3,"ioniq, hyundai, charging, electric, vehicle, platform, rear, ev, new, interior","[[""ioniq"", 0.13175580663022238], [""hyundai"", 0.05071186477416567], [""charging"", 0.022440598924498834], [""electric"", 0.01734763156509183], [""vehicle"", 0.015788931606562563], [""platform"", 0.015549338328650615], [""rear"", 0.014698762651158688], [""ev"", 0.01414891268005999], [""new"", 0.014105994147988046], [""interior"", 0.013238195849604008]]"
default,4,"sonata, accord, hyundai sonata, hyundai, camry, 2018, features, new, honda, 2020","[[""sonata"", 0.12683432020124816], [""accord"", 0.079688347875429], [""hyundai sonata"", 0.03976980208551062], [""hyundai"", 0.03887211122151956], [""camry"", 0.028328875355463246], [""2018"", 0.023534973146398824], [""features"", 0.019104556207558885], [""new"", 0.01869044224608416], [""honda"", 0.01847018229407776], [""2020"", 0.018205569627451745]]"
default,5,"charging, charge, level, stations, plug, home, charging stations, cable, level charging, station","[[""charging"", 0.15094031325283078], [""charge"", 0.09393438466338877], [""level"", 0.03966654401219335], [""stations"", 0.032150268010862765], [""plug"", 0.03133549109657792], [""home"", 0.031174905166951965], [""charging stations"", 0.02929007414394013], [""cable"", 0.028395589151024764], [""level charging"", 0.02692089016550405], [""station"", 0.0264890294575132]]"
default,6,"drive, driving, car, ride, truck, drive car, fun, driver, driven, roads","[[""drive"", 0.1114580698716162], [""driving"", 0.06410572075830807], [""car"", 0.049760158841254884], [""ride"", 0.03437404474794499], [""truck"", 0.03298784856845733], [""drive car"", 0.030919944950118888], [""fun"", 0.028697410239292568], [""driver"", 0.026778708681537484], [""driven"", 0.023671790024718867], [""roads"", 0.0198449986424233]]"
default,7,"polestar, car, electric, brand, volvo, china, electric car, customer, powerful, cars","[[""polestar"", 0.2520569748752561], [""car"", 0.035801179828496975], [""electric"", 0.03235054116458003], [""brand"", 0.031930332275056095], [""volvo"", 0.028971121439756727], [""china"", 0.023054924447332516], [""electric car"", 0.02184297189770755], [""customer"", 0.01962760057111473], [""powerful"", 0.019064950279956666], [""cars"", 0.01856832091373098]]"
default,8,"prius, prius prime, hybrid, prime, toyota, efficiency, plug, seats, drive, available","[[""prius"", 0.15722012292760074], [""prius prime"", 0.04405866959856135], [""hybrid"", 0.041706392710313143], [""prime"", 0.039919709464719386], [""toyota"", 0.025923321181943362], [""efficiency"", 0.0187753034325167], [""plug"", 0.017169873043644066], [""seats"", 0.01621320988934605], [""drive"", 0.01610680789905821], [""available"", 0.01584657143146453]]"
default,9,"steering, suspension, car, control, rear, rear axle, feel, axle, axle steering, chassis","[[""steering"", 0.06899463215294686], [""suspension"", 0.04766139239303378], [""car"", 0.03752725622773208], [""control"", 0.029547155509294775], [""rear"", 0.0292451700462275], [""rear axle"", 0.02476699856561496], [""feel"", 0.02413747830211243], [""axle"", 0.022722310995836107], [""axle steering"", 0.022145099648701257], [""chassis"", 0.02026694305800295]]"
default,10,"infiniti, q50, infinity, brand, new, performance, market, future, johan, technology","[[""infiniti"", 0.14635308861015162], [""q50"", 0.10397432101506987], [""infinity"", 0.0659455667823809], [""brand"", 0.03573055134236663], [""new"", 0.03313908199660312], [""performance"", 0.02367211115335369], [""market"", 0.02323941929866632], [""future"", 0.021783866025891604], [""johan"", 0.019198999515495658], [""technology"", 0.017646885441560525]]"
default,11,"eqs, eqe, eq, mercedes, electric, new eqs, mercedes eq, new, driving, new eqe","[[""eqs"", 0.13592146700608485], [""eqe"", 0.0964368428423867], [""eq"", 0.0731977561683062], [""mercedes"", 0.058203805803221834], [""electric"", 0.037285369477821045], [""new eqs"", 0.036252724759956646], [""mercedes eq"", 0.036252724759956646], [""new"", 0.02514183783438816], [""driving"", 0.020223181823966256], [""new eqe"", 0.01992076784865865]]"
