representation_model,topic,words,weighted_words
keybert,-1,"car, vehicle, design, hybrid, new, drive, technology, driving, so, what","[[""car"", 0.42476415634155273], [""vehicle"", 0.3997038006782532], [""design"", 0.31736743450164795], [""hybrid"", 0.30778419971466064], [""new"", 0.27356430888175964], [""drive"", 0.251448392868042], [""technology"", 0.21934989094734192], [""driving"", 0.21256230771541595], [""so"", 0.2075997143983841], [""what"", 0.20700722932815552]]"
keybert,0,"vehicle, car, cars, hybrid, design, bmw, drive, kia, engine, driving","[[""vehicle"", 0.45660600066185], [""car"", 0.42921000719070435], [""cars"", 0.40461665391921997], [""hybrid"", 0.37178149819374084], [""design"", 0.3674508333206177], [""bmw"", 0.3597103953361511], [""drive"", 0.33977624773979187], [""kia"", 0.33216482400894165], [""engine"", 0.33196723461151123], [""driving"", 0.3270765244960785]]"
keybert,1,"steering, navigation, driving, driver, mode, view, drive, auto, vehicle, carplay","[[""steering"", 0.4988863468170166], [""navigation"", 0.4858776926994324], [""driving"", 0.3964029848575592], [""driver"", 0.367667555809021], [""mode"", 0.34566742181777954], [""view"", 0.3369351625442505], [""drive"", 0.3344336152076721], [""auto"", 0.3082050681114197], [""vehicle"", 0.3049341142177582], [""carplay"", 0.28959333896636963]]"
keybert,2,"happy, you, go","[[""happy"", 0.3804893493652344], [""you"", 0.3130693733692169], [""go"", 0.30967217683792114]]"
keybert,3,"ioniq, hybrid, hyundai, ev, electric, id4, powertrains, vehicle, vehicles, egmp","[[""ioniq"", 0.6736282110214233], [""hybrid"", 0.46807625889778137], [""hyundai"", 0.41877132654190063], [""ev"", 0.40448781847953796], [""electric"", 0.3036077320575714], [""id4"", 0.3012247085571289], [""powertrains"", 0.25897660851478577], [""vehicle"", 0.2526117265224457], [""vehicles"", 0.23617161810398102], [""egmp"", 0.2175268977880478]]"
keybert,4,"sonata, hyundai, sedan, hybrid, accord, car, honda, engine, performance, turbo","[[""sonata"", 0.695618212223053], [""hyundai"", 0.6340352296829224], [""sedan"", 0.4065578281879425], [""hybrid"", 0.3939862847328186], [""accord"", 0.36238011717796326], [""car"", 0.3274132311344147], [""honda"", 0.3150491714477539], [""engine"", 0.26455190777778625], [""performance"", 0.25166404247283936], [""turbo"", 0.22558508813381195]]"
keybert,5,"charging, charge, charger, charged, i3, bmw, chargers, level, outlet, battery","[[""charging"", 0.495547354221344], [""charge"", 0.4387093186378479], [""charger"", 0.41893553733825684], [""charged"", 0.3570283055305481], [""i3"", 0.30609822273254395], [""bmw"", 0.2842683792114258], [""chargers"", 0.2594756484031677], [""level"", 0.23741492629051208], [""outlet"", 0.22793035209178925], [""battery"", 0.2183879166841507]]"
keybert,6,"drive, driving, driver, driven, car, road, ride, roads, truck, brake","[[""drive"", 0.6580396890640259], [""driving"", 0.6341494917869568], [""driver"", 0.529037594795227], [""driven"", 0.4677284359931946], [""car"", 0.4218294620513916], [""road"", 0.39153358340263367], [""ride"", 0.38919180631637573], [""roads"", 0.36105549335479736], [""truck"", 0.33664971590042114], [""brake"", 0.325505793094635]]"
keybert,7,"polestar, volvo, electric, factory, brand, car, cars, performance, battery, design","[[""polestar"", 0.6909877061843872], [""volvo"", 0.33585071563720703], [""electric"", 0.3295001983642578], [""factory"", 0.31315502524375916], [""brand"", 0.2878623604774475], [""car"", 0.2846872806549072], [""cars"", 0.2804799973964691], [""performance"", 0.24823147058486938], [""battery"", 0.21953144669532776], [""design"", 0.21551288664340973]]"
keybert,8,"prius, hybrid, toyota, toyotacare, prime, efficiency, mileage, vehicle, per, convenience","[[""prius"", 0.6313625574111938], [""hybrid"", 0.4566366672515869], [""toyota"", 0.4524495303630829], [""toyotacare"", 0.4431757926940918], [""prime"", 0.27087676525115967], [""efficiency"", 0.24839437007904053], [""mileage"", 0.2386409342288971], [""vehicle"", 0.2267952263355255], [""per"", 0.20905685424804688], [""convenience"", 0.19861188530921936]]"
keybert,9,"steering, tire, rear, chassis, suspension, stability, driving, driver","[[""steering"", 0.6339492797851562], [""tire"", 0.3238293528556824], [""rear"", 0.30484330654144287], [""chassis"", 0.3007877469062805], [""suspension"", 0.2958716154098511], [""stability"", 0.2947670817375183], [""driving"", 0.2936352491378784], [""driver"", 0.2840346693992615]]"
keybert,10,"q50, infiniti, sedan, hybrid, engine, cars, car, luxury, brand, driver","[[""q50"", 0.5949915051460266], [""infiniti"", 0.5669886469841003], [""sedan"", 0.34952235221862793], [""hybrid"", 0.2906566858291626], [""engine"", 0.28699183464050293], [""cars"", 0.26918497681617737], [""car"", 0.26312705874443054], [""luxury"", 0.2609126567840576], [""brand"", 0.2566462755203247], [""driver"", 0.2340633124113083]]"
keybert,11,"eqs, eqe, eq, mercedes, electric, car, benz, vehicles, design, luxury","[[""eqs"", 0.6899600028991699], [""eqe"", 0.637816309928894], [""eq"", 0.6147360801696777], [""mercedes"", 0.4255446195602417], [""electric"", 0.27874770760536194], [""car"", 0.2724946141242981], [""benz"", 0.26686108112335205], [""vehicles"", 0.26580971479415894], [""design"", 0.2654294967651367], [""luxury"", 0.2628442943096161]]"
keybert,12,"hyundai, vice, acura, mclaren, dealers, volvo, gm, auto, mayor, tesla","[[""hyundai"", 0.46095260977745056], [""vice"", 0.4214610457420349], [""acura"", 0.39359617233276367], [""mclaren"", 0.3927379250526428], [""dealers"", 0.3694213032722473], [""volvo"", 0.36688488721847534], [""gm"", 0.35931336879730225], [""auto"", 0.32909291982650757], [""mayor"", 0.3251704275608063], [""tesla"", 0.3221926689147949]]"
keybert,13,"corolla, toyota, hatchback, hybrid, rear, steering, lane, drivers","[[""corolla"", 0.7502961158752441], [""toyota"", 0.538067102432251], [""hatchback"", 0.39563584327697754], [""hybrid"", 0.3807530403137207], [""rear"", 0.2532670497894287], [""steering"", 0.24346113204956055], [""lane"", 0.21460466086864471], [""drivers"", 0.20769695937633514]]"
keybert,14,"crown, toyota, flagship, car, hybrid, vehicle, sedan, platinum, electrified, premium","[[""crown"", 0.5673341751098633], [""toyota"", 0.508648157119751], [""flagship"", 0.3551765978336334], [""car"", 0.27718043327331543], [""hybrid"", 0.25953590869903564], [""vehicle"", 0.25766152143478394], [""sedan"", 0.2481086403131485], [""platinum"", 0.23738381266593933], [""electrified"", 0.22029712796211243], [""premium"", 0.2098252773284912]]"
keybert,15,"trunk, push, soft, pulling, lift, top, pull, press, pushing, rear","[[""trunk"", 0.3525712788105011], [""push"", 0.3188632130622864], [""soft"", 0.3179306387901306], [""pulling"", 0.3142976462841034], [""lift"", 0.3142465651035309], [""top"", 0.30513399839401245], [""pull"", 0.29842063784599304], [""press"", 0.29083821177482605], [""pushing"", 0.2856960892677307], [""rear"", 0.2728438973426819]]"
keybert,16,"amg, gt3, steering, gtr, gtc, car, gtb, engine, mercedes, variants","[[""amg"", 0.6152245402336121], [""gt3"", 0.38295671343803406], [""steering"", 0.34383425116539], [""gtr"", 0.30268946290016174], [""gtc"", 0.2994506359100342], [""car"", 0.2835902273654938], [""gtb"", 0.2706211805343628], [""engine"", 0.26992475986480713], [""mercedes"", 0.2629694640636444], [""variants"", 0.2602735161781311]]"
keybert,17,"toyota, carplay, devices, android, drivers, apple, touchscreen, wireless, iphone, multimedia","[[""toyota"", 0.4191116690635681], [""carplay"", 0.40394341945648193], [""devices"", 0.3993152379989624], [""android"", 0.39504820108413696], [""drivers"", 0.3798540234565735], [""apple"", 0.37305474281311035], [""touchscreen"", 0.372504323720932], [""wireless"", 0.37106186151504517], [""iphone"", 0.3562436103820801], [""multimedia"", 0.35185641050338745]]"
keybert,18,"highlander, suv, toyota, hybrid, horsepower, turbocharged, drive, traction, mpg, performance","[[""highlander"", 0.5783636569976807], [""suv"", 0.4261462390422821], [""toyota"", 0.40942585468292236], [""hybrid"", 0.340065598487854], [""horsepower"", 0.32415077090263367], [""turbocharged"", 0.25651437044143677], [""drive"", 0.2332727611064911], [""traction"", 0.2075919508934021], [""mpg"", 0.19667918980121613], [""performance"", 0.19232317805290222]]"
