representation_model,topic,words,weighted_words
mmr,-1,"you, car, have, new","[[""you"", 0.02243618833173082], [""car"", 0.015005856571636856], [""have"", 0.013191743576665242], [""new"", 0.009701799560034452]]"
mmr,0,"of, new, car, design","[[""of"", 0.02476403187640388], [""new"", 0.015586323574085213], [""car"", 0.012711428582444855], [""design"", 0.00957201914872392]]"
mmr,1,"system, display, control, driver, also, assist, navigation, driving, when","[[""system"", 0.015152682050772288], [""display"", 0.014333535723075951], [""control"", 0.014115436506301196], [""driver"", 0.01227476634716189], [""also"", 0.01219117881609481], [""assist"", 0.012098906003615607], [""navigation"", 0.011942807877655276], [""driving"", 0.011874819257780268], [""when"", 0.011538905421663458]]"
mmr,2,"for, show, so","[[""for"", 0.026626779371808938], [""show"", 0.02397038576882262], [""so"", 0.019390448037415933]]"
mmr,3,"ioniq, hyundai, charging, electric, vehicle, rear, platform, ev","[[""ioniq"", 0.10435644741179904], [""hyundai"", 0.040713332829883334], [""charging"", 0.018558955047084803], [""electric"", 0.014794706420535158], [""vehicle"", 0.01353713595187811], [""rear"", 0.012336927630328835], [""platform"", 0.012119044476084128], [""ev"", 0.011324638014776175]]"
mmr,4,"sonata, accord, hyundai, camry, new, features, honda, 2020, gian","[[""sonata"", 0.0886721899674924], [""accord"", 0.05499685917013855], [""hyundai"", 0.027765846844095374], [""camry"", 0.01975122218612981], [""new"", 0.015059584089253767], [""features"", 0.014102663975512002], [""honda"", 0.012637022918754293], [""2020"", 0.01241066650433848], [""gian"", 0.01223180452006791]]"
mmr,5,"charging, charge, level, plug, cable, station, i3, mercedes, dc","[[""charging"", 0.10482540467414755], [""charge"", 0.06352545403086449], [""level"", 0.026630430584898453], [""plug"", 0.0211477577571784], [""cable"", 0.01806155774110678], [""station"", 0.01710095603753332], [""i3"", 0.01677641999925614], [""mercedes"", 0.015721624286247092], [""dc"", 0.014373581550787051]]"
mmr,6,"drive, it, driving, car, take, would","[[""drive"", 0.05338325631835015], [""it"", 0.04761854586441903], [""driving"", 0.03053772272056974], [""car"", 0.025607642224334055], [""take"", 0.021812055045212775], [""would"", 0.015263450694014002]]"
mmr,7,"polestar, car, electric, brand, volvo, china","[[""polestar"", 0.14087500762307514], [""car"", 0.02329172568493284], [""electric"", 0.019657922140452134], [""brand"", 0.018367746013789682], [""volvo"", 0.016255077116609555], [""china"", 0.012571099350096716]]"
mmr,8,"prius, hybrid, prime, toyota, efficiency, drive, seats, system","[[""prius"", 0.13532573620654767], [""hybrid"", 0.03788817630997186], [""prime"", 0.03346307848304305], [""toyota"", 0.02269429458252278], [""efficiency"", 0.016047389062107828], [""drive"", 0.014800826755194956], [""seats"", 0.014127638602268096], [""system"", 0.013675328338512321]]"
mmr,9,"steering, suspension, car, rear, control, system, axle, also","[[""steering"", 0.045390756310472284], [""suspension"", 0.030295792963080867], [""car"", 0.02786053776802745], [""rear"", 0.019957615192047407], [""control"", 0.01961083355208151], [""system"", 0.01571479688754152], [""axle"", 0.014120612106206165], [""also"", 0.013201230042546065]]"
mmr,10,"infiniti, q50, infinity, brand, performance, market, also, future, car","[[""infiniti"", 0.08795510048758541], [""q50"", 0.06174289045217642], [""infinity"", 0.0389841545548474], [""brand"", 0.022412501954255332], [""performance"", 0.015222417018951035], [""market"", 0.014341959178684263], [""also"", 0.013675219879620802], [""future"", 0.013558440028007853], [""car"", 0.011882561190702997]]"
mmr,11,"eqs, eqe, eq, mercedes, electric, car, driving, about, amg","[[""eqs"", 0.08781695395765751], [""eqe"", 0.06179581509478308], [""eq"", 0.04629994321648598], [""mercedes"", 0.039241422904571194], [""electric"", 0.02657787350984774], [""car"", 0.015060837938250892], [""driving"", 0.014286687890777272], [""about"", 0.013364017239858843], [""amg"", 0.012794352020663367]]"
mmr,12,"president, vice, america, tesla, global, chief","[[""president"", 0.052955281256309696], [""vice"", 0.033563528582532705], [""america"", 0.020466492270699865], [""tesla"", 0.018829579848774557], [""global"", 0.01722566431906755], [""chief"", 0.017171272775382457]]"
mmr,13,"corolla, hybrid, toyota, safety, features, lane, system, standard","[[""corolla"", 0.14134779952746232], [""hybrid"", 0.02566206032535486], [""toyota"", 0.023330684725818448], [""safety"", 0.02238558820603428], [""features"", 0.01773402130227117], [""lane"", 0.014082673720250226], [""system"", 0.013469893647684505], [""standard"", 0.012969565875636998]]"
mmr,14,"crown, toyota, platinum, performance, sedan, japan, generation, driving, limited","[[""crown"", 0.13854528818957862], [""toyota"", 0.05681245801222018], [""platinum"", 0.03284631047011444], [""performance"", 0.024181919680277723], [""sedan"", 0.020048951809480773], [""japan"", 0.01879443270202997], [""generation"", 0.015429883291276234], [""driving"", 0.014996938569532948], [""limited"", 0.013998181430813269]]"
mmr,15,"door, cover, hood, release, pull, trunk, tailgate, soft","[[""door"", 0.02827440045765333], [""cover"", 0.027299575569603413], [""hood"", 0.023780923617110497], [""release"", 0.02250399625840179], [""pull"", 0.022261325080469026], [""trunk"", 0.02143840858041162], [""tailgate"", 0.0211462414279819], [""soft"", 0.019006080502590273]]"
mmr,16,"amg, gt, door, steering, gt3, coupe, car, racing","[[""amg"", 0.11903590194562941], [""gt"", 0.0652005544719067], [""door"", 0.02143950346877093], [""steering"", 0.017757115591893684], [""gt3"", 0.017067123339145642], [""coupe"", 0.016613371880519666], [""car"", 0.014925844617406198], [""racing"", 0.01387150784528803]]"
mmr,17,"audio, toyota, compatibility, drivers, prius, maps, devices, iphone, connects, carplay","[[""audio"", 0.05115582979092607], [""toyota"", 0.04408911629252047], [""compatibility"", 0.04046823883206446], [""drivers"", 0.032951345681879456], [""prius"", 0.030917804141902743], [""maps"", 0.029952400519053752], [""devices"", 0.028726553096855772], [""iphone"", 0.027518710838091494], [""connects"", 0.027125977490380555], [""carplay"", 0.02664159214827688]]"
mmr,18,"highlander, hybrid, standard, platinum, row, heated, suv, toyota","[[""highlander"", 0.13231967252336482], [""hybrid"", 0.031213990817273607], [""standard"", 0.0298738761496573], [""platinum"", 0.023133581790147552], [""row"", 0.01809568131984301], [""heated"", 0.017755797820128337], [""suv"", 0.016823942397546032], [""toyota"", 0.016198988052501626]]"
