representation_model,topic,words,weighted_words
pos,-1,"car, new, vehicle, system, first, design, drive","[[""car"", 0.015005856571636856], [""new"", 0.009701799560034452], [""vehicle"", 0.008965830436609], [""system"", 0.0074559566650484075], [""first"", 0.006806084831651388], [""design"", 0.006071725713794296], [""drive"", 0.005430924632544228]]"
pos,0,"new, car, design, vehicle, power, interior, performance","[[""new"", 0.015586323574085213], [""car"", 0.012711428582444855], [""design"", 0.00957201914872392], [""vehicle"", 0.006773139038791823], [""power"", 0.0060593828005837125], [""interior"", 0.005473794995728242], [""performance"", 0.005383071141730387]]"
pos,1,"system, car, display, driver, assist, navigation, driving, vehicle, screen, parking","[[""system"", 0.015152682050772288], [""car"", 0.014808291852931447], [""display"", 0.014333535723075951], [""driver"", 0.01227476634716189], [""assist"", 0.012098906003615607], [""navigation"", 0.011942807877655276], [""driving"", 0.011874819257780268], [""vehicle"", 0.010865226103834608], [""screen"", 0.01075579126117492], [""parking"", 0.010747114807641182]]"
pos,2,"show, auto","[[""show"", 0.02397038576882262], [""auto"", 0.012172677067514124]]"
pos,3,"electric, vehicle, new, rear, platform, first, design, fast","[[""electric"", 0.014794706420535158], [""vehicle"", 0.01353713595187811], [""new"", 0.012774719688313747], [""rear"", 0.012336927630328835], [""platform"", 0.012119044476084128], [""first"", 0.010880709388927533], [""design"", 0.010871652038048447], [""fast"", 0.00983493413651787]]"
pos,4,"accord, new, features, safety, standard, car, performance","[[""accord"", 0.05499685917013855], [""new"", 0.015059584089253767], [""features"", 0.014102663975512002], [""safety"", 0.0109012160732092], [""standard"", 0.010590865817189602], [""car"", 0.010287308617971712], [""performance"", 0.008433558694879802]]"
pos,5,"charging, charge, level, plug, stations, home, vehicle, cable, station, i3","[[""charging"", 0.10482540467414755], [""charge"", 0.06352545403086449], [""level"", 0.026630430584898453], [""plug"", 0.0211477577571784], [""stations"", 0.02090644513110813], [""home"", 0.02073743012557383], [""vehicle"", 0.018727295423261958], [""cable"", 0.01806155774110678], [""station"", 0.01710095603753332], [""i3"", 0.01677641999925614]]"
pos,6,"drive, driving, car, ride, fun, driver, road","[[""drive"", 0.05338325631835015], [""driving"", 0.03053772272056974], [""car"", 0.025607642224334055], [""ride"", 0.015110615383911119], [""fun"", 0.01275897297509216], [""driver"", 0.012419683250861503], [""road"", 0.008210595519918264]]"
pos,7,"car, electric, brand, customer, cars, powerful, performance, battery, pouch, customers","[[""car"", 0.02329172568493284], [""electric"", 0.019657922140452134], [""brand"", 0.018367746013789682], [""customer"", 0.010990811165186807], [""cars"", 0.010833580744779314], [""powerful"", 0.010617863415372372], [""performance"", 0.009613479890887554], [""battery"", 0.009552811293473741], [""pouch"", 0.009285723035308802], [""customers"", 0.008736293184072553]]"
pos,8,"hybrid, efficiency, in, plug, drive, available, seats","[[""hybrid"", 0.03788817630997186], [""efficiency"", 0.016047389062107828], [""in"", 0.015074840648385948], [""plug"", 0.014921381702188886], [""drive"", 0.014800826755194956], [""available"", 0.01440784684086708], [""seats"", 0.014127638602268096]]"
pos,9,"steering, suspension, car, rear, control, system, axle, chassis","[[""steering"", 0.045390756310472284], [""suspension"", 0.030295792963080867], [""car"", 0.02786053776802745], [""rear"", 0.019957615192047407], [""control"", 0.01961083355208151], [""system"", 0.01571479688754152], [""axle"", 0.014120612106206165], [""chassis"", 0.012647772766025502]]"
pos,10,"infinity, new, brand, performance, market, future, car, design, technology","[[""infinity"", 0.0389841545548474], [""new"", 0.023317191944074948], [""brand"", 0.022412501954255332], [""performance"", 0.015222417018951035], [""market"", 0.014341959178684263], [""future"", 0.013558440028007853], [""car"", 0.011882561190702997], [""design"", 0.011564258753487502], [""technology"", 0.011314443448910087]]"
pos,11,"electric, new, car, driving, about, first, performance, range, light","[[""electric"", 0.02657787350984774], [""new"", 0.019030943424943523], [""car"", 0.015060837938250892], [""driving"", 0.014286687890777272], [""about"", 0.013364017239858843], [""first"", 0.011481637456485951], [""performance"", 0.011468472550476685], [""range"", 0.010614130875247891], [""light"", 0.008523024074061764]]"
pos,12,"president, ladies, vice, name, global","[[""president"", 0.052955281256309696], [""ladies"", 0.034363865260607904], [""vice"", 0.033563528582532705], [""name"", 0.022949461798578777], [""global"", 0.01722566431906755]]"
pos,13,"hybrid, safety, available, features, assist, lane, system, standard, black","[[""hybrid"", 0.02566206032535486], [""safety"", 0.02238558820603428], [""available"", 0.01986797126683151], [""features"", 0.01773402130227117], [""assist"", 0.015873741862575334], [""lane"", 0.014082673720250226], [""system"", 0.013469893647684505], [""standard"", 0.012969565875636998], [""black"", 0.012731659358605988]]"
pos,14,"crown, performance, sedan, available, new, generation, driving, system, drive, chief","[[""crown"", 0.13854528818957862], [""performance"", 0.024181919680277723], [""sedan"", 0.020048951809480773], [""available"", 0.017441344031784056], [""new"", 0.015503928539699457], [""generation"", 0.015429883291276234], [""driving"", 0.014996938569532948], [""system"", 0.013371021114166238], [""drive"", 0.013298111818340575], [""chief"", 0.013232683002032765]]"
pos,15,"top, door, cover, hood, place, release, trunk, tailgate","[[""top"", 0.03446758572415711], [""door"", 0.02827440045765333], [""cover"", 0.027299575569603413], [""hood"", 0.023780923617110497], [""place"", 0.02358013659680357], [""release"", 0.02250399625840179], [""trunk"", 0.02143840858041162], [""tailgate"", 0.0211462414279819]]"
pos,16,"door, performance, steering, coupe, car, racing, buttons, features, driving","[[""door"", 0.02143950346877093], [""performance"", 0.018106701329043448], [""steering"", 0.017757115591893684], [""coupe"", 0.016613371880519666], [""car"", 0.014925844617406198], [""racing"", 0.01387150784528803], [""buttons"", 0.012763434670052837], [""features"", 0.012754540510150982], [""driving"", 0.012275465439080221]]"
pos,17,"available, audio, wireless, standard, multimedia, compatibility, touchscreen, drivers, maps","[[""available"", 0.05310000804974967], [""audio"", 0.05115582979092607], [""wireless"", 0.047420369839939705], [""standard"", 0.044726488266216315], [""multimedia"", 0.041517716193013185], [""compatibility"", 0.04046823883206446], [""touchscreen"", 0.03342428593310395], [""drivers"", 0.032951345681879456], [""maps"", 0.029952400519053752]]"
pos,18,"hybrid, available, standard, grade, power, row","[[""hybrid"", 0.031213990817273607], [""available"", 0.031071038520138945], [""standard"", 0.0298738761496573], [""grade"", 0.026844287959364558], [""power"", 0.020139258481768584], [""row"", 0.01809568131984301]]"
pos,19,"battery, lithium, ion, batteries, pack, iron, cooling, cells, chemistry, cold","[[""battery"", 0.08175035992282884], [""lithium"", 0.04521187753990076], [""ion"", 0.03028363818854096], [""batteries"", 0.027282700954162593], [""pack"", 0.023791425534375802], [""iron"", 0.0221945406899107], [""cooling"", 0.021405120269681756], [""cells"", 0.017869502657003804], [""chemistry"", 0.01721199939596703], [""cold"", 0.017051688096351623]]"
pos,20,"electric, vehicles, affordable, evolution, first, inventory, pre","[[""electric"", 0.02416348613453572], [""vehicles"", 0.01943775509203556], [""affordable"", 0.019337401981638205], [""evolution"", 0.017676242717648165], [""first"", 0.01585124152033968], [""inventory"", 0.01511136709252727], [""pre"", 0.013624803253830678]]"
pos,21,"sound, quiet, noise, car, sounds, exhaust, engine, silence, ear, cabin","[[""sound"", 0.09191668792678029], [""quiet"", 0.04653755388275047], [""noise"", 0.04337808868107053], [""car"", 0.020909600001657286], [""sounds"", 0.02007452995173609], [""exhaust"", 0.019861693437478276], [""engine"", 0.018310274347115702], [""silence"", 0.01752490721651367], [""ear"", 0.01623025719914994], [""cabin"", 0.013878536392482686]]"
pos,22,"air, temperature, degrees, turn, control, climate, button, automatic, blow, outside","[[""air"", 0.05985813538593307], [""temperature"", 0.05657750799813446], [""degrees"", 0.052728558190227294], [""turn"", 0.050596216088573044], [""control"", 0.04016535998209198], [""climate"", 0.029696010200973736], [""button"", 0.026817514690279133], [""automatic"", 0.024379558809344667], [""blow"", 0.024114203517766473], [""outside"", 0.020767899101927317]]"
pos,23,"clarity, plug, in, series, electric, electrified, cell, customers, fuel, vehicles","[[""clarity"", 0.15695061706919328], [""plug"", 0.03901197970337543], [""in"", 0.038879275759986495], [""series"", 0.036556657841509035], [""electric"", 0.03364232889570988], [""electrified"", 0.03305207851300413], [""cell"", 0.031680772447535], [""customers"", 0.030907493572544804], [""fuel"", 0.030065377151522923], [""vehicles"", 0.029550178735867447]]"
