topic,run,model,keywords,label,normalized_label,error
0,1,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Vehicle Design Features,hybrid vehicle design features,
0,2,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Vehicle Design,hybrid vehicle design,
0,3,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Electric Hybrid Car Design,electric hybrid car design,
0,4,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",EV Design and Performance,ev design and performance,
0,5,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Vehicle Design Features,hybrid vehicle design features,
0,6,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Car Design,hybrid car design,
0,7,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Vehicle Design,hybrid vehicle design,
0,8,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Vehicle Design Features,hybrid vehicle design features,
0,9,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Vehicle Design,hybrid vehicle design,
0,10,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Vehicle Design,hybrid vehicle design,
0,11,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Vehicle Design and Performance,hybrid vehicle design and performance,
0,12,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Vehicle,hybrid vehicle,
0,13,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Car Design and Performance,hybrid car design and performance,
0,14,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Electric and Hybrid Vehicle Design,electric and hybrid vehicle design,
0,15,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Electric Hybrid Vehicle Design,electric hybrid vehicle design,
0,16,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Electric and Hybrid Vehicle,electric and hybrid vehicle,
0,17,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Electric Hybrid Vehicle Design,electric hybrid vehicle design,
0,18,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Vehicle Design,hybrid vehicle design,
0,19,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Vehicle Design Features,hybrid vehicle design features,
0,20,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Vehicle Design,hybrid vehicle design,
0,21,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Electric Hybrid Car Design,electric hybrid car design,
0,22,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Electric and Hybrid Vehicle Design,electric and hybrid vehicle design,
0,23,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Vehicle Design,hybrid vehicle design,
0,24,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Electric and Hybrid Car Design,electric and hybrid car design,
0,25,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Electric and Hybrid Vehicle Design,electric and hybrid vehicle design,
0,26,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Electric Hybrid Vehicle Design,electric hybrid vehicle design,
0,27,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Vehicle Design Performance,hybrid vehicle design performance,
0,28,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Vehicle Design and Performance,hybrid vehicle design and performance,
0,29,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Car Design,hybrid car design,
0,30,openai/gpt-5.5,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Electric Hybrid Vehicle Design,electric hybrid vehicle design,
1,1,openai/gpt-5.5,"display, control, car, navigation, assist, driver, driving, parking, screen, traffic",Infotainment and Driver Assistance,infotainment and driver assistance,
1,2,openai/gpt-5.5,"display, control, car, navigation, assist, driver, driving, parking, screen, traffic",Driver Assist and Displays,driver assist and displays,
1,3,openai/gpt-5.5,"display, control, car, navigation, assist, driver, driving, parking, screen, traffic",Driver Assistance and Infotainment,driver assistance and infotainment,
1,4,openai/gpt-5.5,"display, control, car, navigation, assist, driver, driving, parking, screen, traffic",Driver Assistance and Infotainment,driver assistance and infotainment,
1,5,openai/gpt-5.5,"display, control, car, navigation, assist, driver, driving, parking, screen, traffic",Driver Assistance Displays,driver assistance displays,
1,6,openai/gpt-5.5,"display, control, car, navigation, assist, driver, driving, parking, screen, traffic",Driver Assistance Infotainment,driver assistance infotainment,
1,7,openai/gpt-5.5,"display, control, car, navigation, assist, driver, driving, parking, screen, traffic",Driver Assistance and Infotainment,driver assistance and infotainment,
1,8,openai/gpt-5.5,"display, control, car, navigation, assist, driver, driving, parking, screen, traffic",Driver Assistance Infotainment,driver assistance infotainment,
1,9,openai/gpt-5.5,"display, control, car, navigation, assist, driver, driving, parking, screen, traffic",Driver Assist and Infotainment,driver assist and infotainment,
1,10,openai/gpt-5.5,"display, control, car, navigation, assist, driver, driving, parking, screen, traffic",Driver Assistance and Displays,driver assistance and displays,
