topic,run,model,keywords,label,normalized_label,error
0,1,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Vehicle Interior Design,vehicle interior design,
0,2,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Interior Design,luxury car interior design,
0,3,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Interior Design,luxury car interior design,
0,4,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Premium Car Design and Interior,premium car design and interior,
0,5,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Vehicle Design,luxury vehicle design,
0,6,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Design,luxury car design,
0,7,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Premium Car Interior Design,premium car interior design,
0,8,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Design,luxury car design,
0,9,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Premium Car Interior Design,premium car interior design,
0,10,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Interior Design,luxury car interior design,
0,11,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Premium Car Interior Design,premium car interior design,
0,12,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury car interior design,luxury car interior design,
0,13,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Automotive Interior Design,automotive interior design,
0,14,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Interior Design,luxury car interior design,
0,15,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Premium Vehicle Interior Design,premium vehicle interior design,
0,16,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Design Interiors,luxury car design interiors,
0,17,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Design Interiors,luxury car design interiors,
0,18,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Premium Car Interior Design,premium car interior design,
