representation_model,topic,words,weighted_words
default,-1,"car, new, vehicle, driving, design, warranty, drive, hybrid, available, technology","[[""car"", 0.017851187205090775], [""new"", 0.012115970250365352], [""vehicle"", 0.011621910095203029], [""driving"", 0.00866800975162474], [""design"", 0.008140112181530764], [""warranty"", 0.007342157952106206], [""drive"", 0.007142243956044832], [""hybrid"", 0.007074105547340318], [""available"", 0.006884066324842657], [""technology"", 0.0068688004335825835]]"
default,0,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat","[[""bmw"", 0.019429333166729804], [""new"", 0.01919877409475595], [""car"", 0.01571909395786339], [""design"", 0.015152222652309736], [""rear"", 0.01315931632495387], [""interior"", 0.011544663877282122], [""lexus"", 0.010783364608403127], [""volvo"", 0.010541614993509094], [""class"", 0.00994882772892455], [""seat"", 0.009779368685564123]]"
default,1,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car","[[""charging"", 0.031337754844475825], [""electric"", 0.02974745819249739], [""kia"", 0.023966307764577935], [""charge"", 0.02217369127672965], [""battery"", 0.015783123358935707], [""power"", 0.015432112487729603], [""ev"", 0.015333310434109175], [""range"", 0.015167029911784721], [""vehicle"", 0.0137596828554908], [""car"", 0.013407093925002247]]"
default,2,"steering, control, car, display, driver, assist, navigation, driving, parking, screen","[[""steering"", 0.019239367015142235], [""control"", 0.018784271031003996], [""car"", 0.017621204270429715], [""display"", 0.016437546692714272], [""driver"", 0.01538411281675145], [""assist"", 0.015100843956610517], [""navigation"", 0.014505458513696928], [""driving"", 0.014168341401248829], [""parking"", 0.013848585496578874], [""screen"", 0.01321506365496449]]"
default,3,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new","[[""auto"", 0.03648557784490606], [""episode"", 0.02423616775260867], [""season"", 0.02272361613139687], [""press"", 0.021013648097937297], [""fun"", 0.02042098176559829], [""got"", 0.018891908908233314], [""enjoy"", 0.018806188122021655], [""absolutely"", 0.018469728305251232], [""hello"", 0.018268225494776864], [""new"", 0.01645060712449108]]"
default,4,"ioniq, hyundai, charging, electric, platform, vehicle, rear, ev, limited, xrt","[[""ioniq"", 0.11810974184986454], [""hyundai"", 0.047713284709900675], [""charging"", 0.019913211939835584], [""electric"", 0.014505225037082525], [""platform"", 0.01432873830114343], [""vehicle"", 0.01340973185271724], [""rear"", 0.013252982873205277], [""ev"", 0.012820228722470225], [""limited"", 0.012474510444279104], [""xrt"", 0.012180408838734077]]"
default,5,"sonata, accord, hyundai sonata, hyundai, camry, 2018, 2018 hyundai, honda, gian, 2020","[[""sonata"", 0.11686553360638702], [""accord"", 0.07402570158978718], [""hyundai sonata"", 0.037436151669632996], [""hyundai"", 0.035331452173643564], [""camry"", 0.02614745689501971], [""2018"", 0.02202369331658153], [""2018 hyundai"", 0.01725810137507944], [""honda"", 0.017251230022402746], [""gian"", 0.01707600156087586], [""2020"", 0.017042749408127472]]"
default,6,"nissan, leaf, aria, nissan leaf, new nissan, altima, new, propilot, nissan intelligent, ev","[[""nissan"", 0.11544360264926858], [""leaf"", 0.09804449632441609], [""aria"", 0.05407603511656291], [""nissan leaf"", 0.05353427357218197], [""new nissan"", 0.04069312304501653], [""altima"", 0.037767504226386334], [""new"", 0.026498793962098276], [""propilot"", 0.024400290240493942], [""nissan intelligent"", 0.018998496663526338], [""ev"", 0.018503356735262898]]"
default,7,"audi, tron, quattro, q8, audi tron, a7, a3, light, q5, q8 tron","[[""audi"", 0.1412448048783483], [""tron"", 0.0684623678780925], [""quattro"", 0.03732070941046628], [""q8"", 0.03279698705768248], [""audi tron"", 0.025357671165704802], [""a7"", 0.025199348473338146], [""a3"", 0.025046413912111435], [""light"", 0.024874463035168246], [""q5"", 0.02446866030518381], [""q8 tron"", 0.02266821485543988]]"
default,8,"elantra, hyundai, new elantra, elr, hyundai elantra, new, cadillac, design, features, generation","[[""elantra"", 0.13844507009206924], [""hyundai"", 0.035914617459076884], [""new elantra"", 0.03235083316412567], [""elr"", 0.029860693560064204], [""hyundai elantra"", 0.024192397777100118], [""new"", 0.01917584257957973], [""cadillac"", 0.017280284126500085], [""design"", 0.016612926623978595], [""features"", 0.016563448887565863], [""generation"", 0.016433851803149612]]"
