representation_model,topic,words,weighted_words
keybert,-1,"toyota, car, vehicle, cars, hybrid, driving, drive, new, design","[[""toyota"", 0.412306547164917], [""car"", 0.4068097174167633], [""vehicle"", 0.3905144929885864], [""cars"", 0.3869854211807251], [""hybrid"", 0.28724998235702515], [""driving"", 0.28346383571624756], [""drive"", 0.2620096802711487], [""new"", 0.25374674797058105], [""design"", 0.22041910886764526]]"
keybert,0,"volvo, mercedes, bmw, design, cars, benz, car, vehicle, hybrid, rear","[[""volvo"", 0.4848358631134033], [""mercedes"", 0.4610843062400818], [""bmw"", 0.3905232846736908], [""design"", 0.3809426426887512], [""cars"", 0.36724114418029785], [""benz"", 0.3625522255897522], [""car"", 0.3582276999950409], [""vehicle"", 0.35738179087638855], [""hybrid"", 0.34314805269241333], [""rear"", 0.31708279252052307]]"
keybert,1,"charging, charge, ev, electric, hybrid, ev6, battery, plug, car, vehicle","[[""charging"", 0.487245112657547], [""charge"", 0.4241639971733093], [""ev"", 0.3258262872695923], [""electric"", 0.32151180505752563], [""hybrid"", 0.29539281129837036], [""ev6"", 0.27722737193107605], [""battery"", 0.26441681385040283], [""plug"", 0.2596985399723053], [""car"", 0.257515549659729], [""vehicle"", 0.2526085376739502]]"
keybert,2,"steering, navigation, driving, driver, view, drive, android, vehicle, carplay, road","[[""steering"", 0.4615882337093353], [""navigation"", 0.4099636375904083], [""driving"", 0.3977122902870178], [""driver"", 0.35133177042007446], [""view"", 0.338135689496994], [""drive"", 0.3258967399597168], [""android"", 0.3237813711166382], [""vehicle"", 0.31921499967575073], [""carplay"", 0.31705421209335327], [""road"", 0.28806042671203613]]"
keybert,3,"next, go, you","[[""next"", 0.3252236843109131], [""go"", 0.3239820599555969], [""you"", 0.31470414996147156]]"
keybert,4,"ioniq, hybrid, hyundai, ev, id4, electric, vehicle, powertrains, vehicles, egmp","[[""ioniq"", 0.6918395757675171], [""hybrid"", 0.4508991837501526], [""hyundai"", 0.4449004530906677], [""ev"", 0.3943574130535126], [""id4"", 0.32295334339141846], [""electric"", 0.2886418402194977], [""vehicle"", 0.24112126231193542], [""powertrains"", 0.2302531749010086], [""vehicles"", 0.22886236011981964], [""egmp"", 0.22344627976417542]]"
keybert,5,"sonata, hyundai, sedan, accord, hybrid, car, honda, engine, performance, civic","[[""sonata"", 0.7171986103057861], [""hyundai"", 0.6772708892822266], [""sedan"", 0.4526921510696411], [""accord"", 0.41836950182914734], [""hybrid"", 0.41610169410705566], [""car"", 0.37740951776504517], [""honda"", 0.363508403301239], [""engine"", 0.28059279918670654], [""performance"", 0.26763683557510376], [""civic"", 0.26385268568992615]]"
keybert,6,"nissanusa, nissan, leaf, ev, vehicle, sedan, electric, altima, mobility, battery","[[""nissanusa"", 0.5574756264686584], [""nissan"", 0.5210355520248413], [""leaf"", 0.4375026226043701], [""ev"", 0.38681793212890625], [""vehicle"", 0.28219228982925415], [""sedan"", 0.25844594836235046], [""electric"", 0.23628413677215576], [""altima"", 0.20785655081272125], [""mobility"", 0.17446589469909668], [""battery"", 0.15875481069087982]]"
keybert,7,"audi, car, quattro, suv, a6, a8, a7, vehicle, q5, headlights","[[""audi"", 0.7742753028869629], [""car"", 0.3954806923866272], [""quattro"", 0.3881344497203827], [""suv"", 0.382533997297287], [""a6"", 0.3663598895072937], [""a8"", 0.36519595980644226], [""a7"", 0.36418068408966064], [""vehicle"", 0.35962939262390137], [""q5"", 0.3495015501976013], [""headlights"", 0.32078278064727783]]"
keybert,8,"elantra, hyundai, sedan, hybrid, elr, car, cadillac, 2021, trim, design","[[""elantra"", 0.5811977982521057], [""hyundai"", 0.5784293413162231], [""sedan"", 0.4309670329093933], [""hybrid"", 0.4241366386413574], [""elr"", 0.3998771905899048], [""car"", 0.3198632001876831], [""cadillac"", 0.3174349367618561], [""2021"", 0.24618689715862274], [""trim"", 0.21501070261001587], [""design"", 0.21326576173305511]]"
