representation_model,topic,words,weighted_words
mmr,-1,"the, this, car, new","[[""the"", 0.022928779180588638], [""this"", 0.014112524515915494], [""car"", 0.012724620615810542], [""new"", 0.008561665146900743]]"
mmr,0,"new, bmw, car, design, also, rear, has","[[""new"", 0.014097847459063896], [""bmw"", 0.01286204115932406], [""car"", 0.011643525988261119], [""design"", 0.010397688552050059], [""also"", 0.00932427590338245], [""rear"", 0.008895540699659784], [""has"", 0.00843422961769733]]"
mmr,1,"charging, electric, kia, charge, battery, power, range","[[""charging"", 0.021442847773172593], [""electric"", 0.021059194950122217], [""kia"", 0.015594178263080672], [""charge"", 0.014730503186800466], [""battery"", 0.010697240434322535], [""power"", 0.010527106522325138], [""range"", 0.010257683716850312]]"
mmr,2,"car, steering, control, system, display, driver, assist, driving, navigation, parking","[[""car"", 0.014497761193183916], [""steering"", 0.013869669004659435], [""control"", 0.013675069471612563], [""system"", 0.01346202772749683], [""display"", 0.011779968073769555], [""driver"", 0.011300455687562081], [""assist"", 0.010853500909002844], [""driving"", 0.010720881527876964], [""navigation"", 0.010137976955462273], [""parking"", 0.00968855832866858]]"
mmr,3,"for, show","[[""for"", 0.022653459735616707], [""show"", 0.02199581631985234]]"
mmr,4,"ioniq, hyundai, charging, electric, vehicle, rear, platform, ev, limited","[[""ioniq"", 0.09432864202034322], [""hyundai"", 0.038683412105141195], [""charging"", 0.016686583508270167], [""electric"", 0.012575576386297332], [""vehicle"", 0.01169400222695046], [""rear"", 0.011288844998600434], [""platform"", 0.011241685093205313], [""ev"", 0.010358750427406771], [""limited"", 0.009903955845541252]]"
mmr,5,"sonata, accord, hyundai, camry, new, features, honda, 2020, gian","[[""sonata"", 0.08227108369828964], [""accord"", 0.05137554671682101], [""hyundai"", 0.02547212547278205], [""camry"", 0.01835181124358654], [""new"", 0.012964708989631835], [""features"", 0.012715929543818227], [""honda"", 0.011859243279368785], [""2020"", 0.011669325116249869], [""gian"", 0.011563391739565396]]"
mmr,6,"nissan, leaf, aria, altima, new, propilot, ev, intelligent, technology, driving","[[""nissan"", 0.07799922392009863], [""leaf"", 0.06525914626467345], [""aria"", 0.035321211711927404], [""altima"", 0.024346762076283], [""new"", 0.02080590375703641], [""propilot"", 0.015688214482407113], [""ev"", 0.012686634776205694], [""intelligent"", 0.01184042944361748], [""technology"", 0.011430019920538484], [""driving"", 0.010183078694260357]]"
mmr,7,"audi, quattro, q8, light, a7, a3, q5, a6, design, a8","[[""audi"", 0.08807762990597406], [""quattro"", 0.022131705798663873], [""q8"", 0.019449074792765222], [""light"", 0.015630980369979744], [""a7"", 0.014858545971030543], [""a3"", 0.01477684487638666], [""q5"", 0.014401666745365095], [""a6"", 0.012961500070828585], [""design"", 0.012234161262858733], [""a8"", 0.011012374873290405]]"
mmr,8,"elantra, hyundai, elr, new, design, features, generation, cadillac, compact, segment","[[""elantra"", 0.0993484165780148], [""hyundai"", 0.026305229723534433], [""elr"", 0.0204729218552815], [""new"", 0.016029353564753695], [""design"", 0.012977434693248345], [""features"", 0.012583950507628035], [""generation"", 0.01197489505727475], [""cadillac"", 0.011762629532297567], [""compact"", 0.011482517147428012], [""segment"", 0.011208539306237567]]"
