representation_model,topic,words,weighted_words
pos,-1,"car, new, vehicle, first, system, design","[[""car"", 0.012724620615810542], [""new"", 0.008561665146900743], [""vehicle"", 0.007740062588149673], [""first"", 0.006565375737537073], [""system"", 0.006470231619743108], [""design"", 0.0053754098477128065]]"
pos,0,"new, car, design, rear, interior, seats, seat, series","[[""new"", 0.014097847459063896], [""car"", 0.011643525988261119], [""design"", 0.010397688552050059], [""rear"", 0.008895540699659784], [""interior"", 0.007602558386894095], [""seats"", 0.0062994208425882], [""seat"", 0.006288417259802034], [""series"", 0.006018998277891082]]"
pos,1,"electric, charge, battery, power, range, car, vehicle, engine, new","[[""electric"", 0.021059194950122217], [""charge"", 0.014730503186800466], [""battery"", 0.010697240434322535], [""power"", 0.010527106522325138], [""range"", 0.010257683716850312], [""car"", 0.010218260761000774], [""vehicle"", 0.009798057328499392], [""engine"", 0.008207730673793304], [""new"", 0.007691956676768819]]"
pos,2,"car, steering, control, system, display, driver, assist, navigation, parking, screen","[[""car"", 0.014497761193183916], [""steering"", 0.013869669004659435], [""control"", 0.013675069471612563], [""system"", 0.01346202772749683], [""display"", 0.011779968073769555], [""driver"", 0.011300455687562081], [""assist"", 0.010853500909002844], [""navigation"", 0.010137976955462273], [""parking"", 0.00968855832866858], [""screen"", 0.009289366798658591]]"
pos,3,"show, auto","[[""show"", 0.02199581631985234], [""auto"", 0.01183306170935784]]"
pos,4,"electric, vehicle, rear, platform, new, limited, first, design","[[""electric"", 0.012575576386297332], [""vehicle"", 0.01169400222695046], [""rear"", 0.011288844998600434], [""platform"", 0.011241685093205313], [""new"", 0.01094795494785009], [""limited"", 0.009903955845541252], [""first"", 0.009664936247413132], [""design"", 0.009109720838947408]]"
pos,5,"accord, new, features, safety, standard, car, performance","[[""accord"", 0.05137554671682101], [""new"", 0.012964708989631835], [""features"", 0.012715929543818227], [""safety"", 0.009895296717613909], [""standard"", 0.009558165222500107], [""car"", 0.008817519329696355], [""performance"", 0.007614030998123796]]"
pos,6,"nissan, leaf, new, intelligent, technology, driving, drive, first, mobility","[[""nissan"", 0.07799922392009863], [""leaf"", 0.06525914626467345], [""new"", 0.02080590375703641], [""intelligent"", 0.01184042944361748], [""technology"", 0.011430019920538484], [""driving"", 0.010183078694260357], [""drive"", 0.008964864391707674], [""first"", 0.008265423127218525], [""mobility"", 0.00804816598102142]]"
pos,7,"tron, quattro, new, electric, design, car, first, name","[[""tron"", 0.04154036376099731], [""quattro"", 0.022131705798663873], [""new"", 0.014907077095303114], [""electric"", 0.013786719609259012], [""design"", 0.012234161262858733], [""car"", 0.010336541012123975], [""first"", 0.009915127859491557], [""name"", 0.00873221627485125]]"
pos,8,"new, design, features, generation, compact, segment, hybrid, car, sedan","[[""new"", 0.016029353564753695], [""design"", 0.012977434693248345], [""features"", 0.012583950507628035], [""generation"", 0.01197489505727475], [""compact"", 0.011482517147428012], [""segment"", 0.011208539306237567], [""hybrid"", 0.009326637138372207], [""car"", 0.009102625812062835], [""sedan"", 0.008268683085792913]]"
pos,9,"drive, driving, car, driver, fun, thing, road","[[""drive"", 0.04609915203593233], [""driving"", 0.02729246860362971], [""car"", 0.02043598232363742], [""driver"", 0.011219608730904324], [""fun"", 0.008999404755507243], [""thing"", 0.008162998292948321], [""road"", 0.007711205189569758]]"
pos,10,"car, electric, brand, powerful, cars, pouch, performance, battery, customers, world","[[""car"", 0.01978601429283621], [""electric"", 0.017569265496678362], [""brand"", 0.01689594371485515], [""powerful"", 0.009934780335698602], [""cars"", 0.00989167360357413], [""pouch"", 0.00893431698649115], [""performance"", 0.008728438760889683], [""battery"", 0.008716036905324107], [""customers"", 0.00800205461149516], [""world"", 0.007885648807707712]]"
pos,11,"hybrid, efficiency, available, plug, seats, drive","[[""hybrid"", 0.029286505819267474], [""efficiency"", 0.01599686973149066], [""available"", 0.014176013132121265], [""plug"", 0.013672841128577298], [""seats"", 0.013424584209491339], [""drive"", 0.013307346465081889]]"
pos,12,"infinity, brand, new, performance, market, future, technology, car, design, first","[[""infinity"", 0.0373790856521625], [""brand"", 0.020827963023124563], [""new"", 0.02039426649390366], [""performance"", 0.013962700778684304], [""market"", 0.013442517673123783], [""future"", 0.012651451770966332], [""technology"", 0.010394225648530785], [""car"", 0.010043192361110785], [""design"", 0.010000139763324476], [""first"", 0.00984605261972123]]"
pos,13,"mustang, mustangs, vehicle, drive, electric, customers","[[""mustang"", 0.1129144245632346], [""mustangs"", 0.015583458536931133], [""vehicle"", 0.014451787175257375], [""drive"", 0.010655453024907145], [""electric"", 0.009441052415139753], [""customers"", 0.009278944344567011]]"
pos,14,"electric, new, car, driving, about, performance, first, range, light","[[""electric"", 0.0236202259087985], [""new"", 0.01638362931142318], [""car"", 0.012909035256311256], [""driving"", 0.012756983433736503], [""about"", 0.01180001546996683], [""performance"", 0.010354028312327514], [""first"", 0.010245042987317775], [""range"", 0.009639603958272213], [""light"", 0.007838026200517524]]"
pos,15,"president, ladies, vice, name, product, manager","[[""president"", 0.049239788909338895], [""ladies"", 0.03840595955472706], [""vice"", 0.032424786514531796], [""name"", 0.02042724767257226], [""product"", 0.017543556720453476], [""manager"", 0.01707309668963274]]"
pos,16,"hybrid, safety, available, features, assist, lane, system, black, standard","[[""hybrid"", 0.022987237792634403], [""safety"", 0.020319938253624294], [""available"", 0.017789268324226493], [""features"", 0.015990210487878034], [""assist"", 0.01452331365513996], [""lane"", 0.01302753364007479], [""system"", 0.011999816416074177], [""black"", 0.01179927568558084], [""standard"", 0.011704921546851701]]"
pos,17,"door, top, cover, tailgate, hood, place, trunk, release","[[""door"", 0.029483738210874588], [""top"", 0.028181477025929866], [""cover"", 0.025640638292103723], [""tailgate"", 0.023543683415835227], [""hood"", 0.022054390649732282], [""place"", 0.021761884965379945], [""trunk"", 0.02134508038416412], [""release"", 0.021172026634561057]]"
pos,18,"crown, performance, sedan, available, generation, driving, new, chief, system, drive","[[""crown"", 0.12903610202172838], [""performance"", 0.021832051296632213], [""sedan"", 0.01851122108360061], [""available"", 0.015616528972665144], [""generation"", 0.014189779174273194], [""driving"", 0.013391186141316848], [""new"", 0.013347242561412018], [""chief"", 0.012490900357252331], [""system"", 0.0119117346329626], [""drive"", 0.011840439288786933]]"
pos,19,"available, audio, wireless, standard, multimedia, compatibility, touchscreen, drivers, maps","[[""available"", 0.04754437574572894], [""audio"", 0.047523085402829235], [""wireless"", 0.04421814757614386], [""standard"", 0.040365270606756716], [""multimedia"", 0.03893554486471927], [""compatibility"", 0.03801034753607605], [""touchscreen"", 0.03116403372034695], [""drivers"", 0.030514508763125], [""maps"", 0.028124964960015764]]"
pos,20,"door, performance, steering, coupe, racing, buttons, line, features, driving","[[""door"", 0.02174200417417285], [""performance"", 0.017948756877325243], [""steering"", 0.017812834455202018], [""coupe"", 0.01700237323177146], [""racing"", 0.014368199256591798], [""buttons"", 0.0131532271980101], [""line"", 0.012857315383003111], [""features"", 0.012627083157182887], [""driving"", 0.011282801482280114]]"
pos,21,"electric, turbo, car, sports, performance, first, charger, volt","[[""electric"", 0.029381256618261548], [""turbo"", 0.02632772128645126], [""car"", 0.02257537026881227], [""sports"", 0.022230493627632533], [""performance"", 0.01574902201190869], [""first"", 0.015367564480976665], [""charger"", 0.014828060315284476], [""volt"", 0.013925898545786733]]"
pos,22,"battery, lithium, ion, batteries, pack, iron, cooling, cells, range, chemistry","[[""battery"", 0.07367168922603495], [""lithium"", 0.04076166450869261], [""ion"", 0.027370440857793665], [""batteries"", 0.024677627001191284], [""pack"", 0.022854302306054418], [""iron"", 0.02025795163759921], [""cooling"", 0.01932114394200694], [""cells"", 0.01620648707608901], [""range"", 0.015795760029903627], [""chemistry"", 0.015758581583706]]"
pos,23,"hybrid, standard, available, grade, row, power","[[""hybrid"", 0.027922003149465663], [""standard"", 0.027564861564820214], [""available"", 0.02645897643549079], [""grade"", 0.024489586831890578], [""row"", 0.017359911609577627], [""power"", 0.01713418727990759]]"
pos,24,"electric, affordable, vehicles, evolution, inventory, first, pre","[[""electric"", 0.021474517177996894], [""affordable"", 0.018268637999807557], [""vehicles"", 0.01776777520937017], [""evolution"", 0.016714115395429854], [""inventory"", 0.014468627240768465], [""first"", 0.014144032277077247], [""pre"", 0.012772287998931578]]"
pos,25,"black, color, red, colors, tone, sport, blue, beautiful, orange, available","[[""black"", 0.05120272555973175], [""color"", 0.04781476231813376], [""red"", 0.04487125665668739], [""colors"", 0.03128063309735807], [""tone"", 0.021544875000398197], [""sport"", 0.019203456005659456], [""blue"", 0.016031167616332262], [""beautiful"", 0.015948679440792382], [""orange"", 0.015249781601542216], [""available"", 0.015124149787134403]]"
pos,26,"supercar, new, performance, sports, brief, driver, global, manufacturing, brand","[[""supercar"", 0.03726882952248989], [""new"", 0.019841831949605263], [""performance"", 0.018978736885386795], [""sports"", 0.014032537505814556], [""brief"", 0.013721380107524307], [""driver"", 0.013121960993522775], [""global"", 0.01244633919940262], [""manufacturing"", 0.012176043377514231], [""brand"", 0.01168362125891977]]"
pos,27,"sound, quiet, noise, sounds, exhaust, car, silence, engine, ear, cabin","[[""sound"", 0.08522595127382955], [""quiet"", 0.04383777647606142], [""noise"", 0.04084736235886951], [""sounds"", 0.018893744763075628], [""exhaust"", 0.018681202024146786], [""car"", 0.017922161085819878], [""silence"", 0.01667906847115226], [""engine"", 0.01666936659093778], [""ear"", 0.01555307915527107], [""cabin"", 0.01287455432040755]]"
pos,28,"regal, brand, new, market, lineup, customers, industry","[[""regal"", 0.03768183105665891], [""brand"", 0.028538893388626602], [""new"", 0.018993618211781308], [""market"", 0.018903923783618288], [""lineup"", 0.01599966278873892], [""customers"", 0.01351624906554597], [""industry"", 0.013292659180385304]]"
pos,29,"clarity, electrified, plug, in, series, cell, vehicles, electric, customers, fuel","[[""clarity"", 0.13139652586315445], [""electrified"", 0.03688066405990011], [""plug"", 0.034269859624850366], [""in"", 0.0315954191341428], [""series"", 0.03018614018915077], [""cell"", 0.02997128669789094], [""vehicles"", 0.028545363037094235], [""electric"", 0.028308137673765846], [""customers"", 0.02727004613104171], [""fuel"", 0.0270576323064285]]"
pos,30,"pedal, braking, brake, accelerator, regenerative, energy, battery, brakes, stop, drive","[[""pedal"", 0.08726045280180729], [""braking"", 0.04706358381897422], [""brake"", 0.042872051209003316], [""accelerator"", 0.034996964135467025], [""regenerative"", 0.034240065741883215], [""energy"", 0.027452221713342807], [""battery"", 0.026198785349142814], [""brakes"", 0.023803152426231964], [""stop"", 0.021748109333440322], [""drive"", 0.021044453110956894]]"
pos,31,"air, turn, temperature, degrees, control, zone, climate, button, blow, automatic","[[""air"", 0.05888471730541443], [""turn"", 0.04508399350272321], [""temperature"", 0.043334400489765335], [""degrees"", 0.038964164195605354], [""control"", 0.033452074559068186], [""zone"", 0.02592722326045872], [""climate"", 0.024250807698146408], [""button"", 0.023916810472130474], [""blow"", 0.0221559689129152], [""automatic"", 0.02174255497466407]]"
pos,32,"new, comfort, chassis, engine, terms, sports, design, performance, identity, turbo","[[""new"", 0.02917955343673767], [""comfort"", 0.025303058867689732], [""chassis"", 0.02133176842180083], [""engine"", 0.020412098243340202], [""terms"", 0.019749454139037764], [""sports"", 0.01908863257261791], [""design"", 0.01768979679803443], [""performance"", 0.017211338764041545], [""identity"", 0.017072741787921043], [""turbo"", 0.016441304994004074]]"
pos,33,"minivan, segment, new, safety, minivans, only, family, about","[[""minivan"", 0.06602188604407482], [""segment"", 0.021127486592034953], [""new"", 0.01946246690230298], [""safety"", 0.01885404448366613], [""minivans"", 0.013335986660459197], [""only"", 0.011568087342070647], [""family"", 0.011070823276038439], [""about"", 0.010782686986152238]]"
