Topic,Count,Name,ratio
-1,3145,-1_car_new_crown_vehicle,0.29447565543071164
0,994,0_car_driving_steering_drive,0.09307116104868914
1,775,1_design_world_new_designers,0.07256554307116105
2,686,2_display_key_android_digital,0.06423220973782771
3,566,3_seats_interior_seat_heated,0.05299625468164794
4,558,4_horsepower_torque_drive_hybrid,0.052247191011235955
5,451,5_charging_charge_level_charger,0.042228464419475656
6,418,6_led_black_grille_rear,0.03913857677902622
7,332,7_bmw_series_bmw series_new bmw,0.031086142322097377
8,327,8_assist_parking_monitor_lane,0.03061797752808989
9,269,9_electric_ev_bolt_vehicles,0.025187265917602997
10,266,10_kia_ev6_ev_india,0.0249063670411985
11,240,11_amg_eqs_eqe_mercedes,0.02247191011235955
12,203,12_sound_audio_jbl_speaker,0.01900749063670412
13,196,13_ioniq_hyundai_charging_new,0.018352059925093634
14,189,14_class_mercedes_benz_mercedes benz,0.017696629213483146
15,178,15_elantra_sonata_accord_camry,0.016666666666666666
16,160,16_corolla_safety_assist_toyota,0.0149812734082397
17,152,17_prius_prius prime_prime_hybrid,0.014232209737827715
18,151,18_rav4_rav4 prime_prime_hybrid,0.014138576779026217
19,147,19_pedal_mode_braking_regenerative braking,0.013764044943820225
20,143,20_highlander_grand highlander_toyota_standard,0.013389513108614233
21,134,21_k27_america_evolution_affordable,0.012546816479400749
