representation_model,topic,words,weighted_words
default,-1,"car, new, crown, vehicle, design, warranty, toyota, performance, drive, hybrid","[[""car"", 0.018203100021608357], [""new"", 0.018172867630761706], [""crown"", 0.013899694899256484], [""vehicle"", 0.012059508207599835], [""design"", 0.011776792527358118], [""warranty"", 0.01139518638650947], [""toyota"", 0.011238506083338524], [""performance"", 0.010827987892456193], [""drive"", 0.010664279404099192], [""hybrid"", 0.010184459702468344]]"
default,0,"car, driving, steering, drive, air, suspension, vehicle, cars, rear, road","[[""car"", 0.0592974767289933], [""driving"", 0.02964226686743794], [""steering"", 0.02577928577805654], [""drive"", 0.023790556432095974], [""air"", 0.022886222232980723], [""suspension"", 0.02082248343336523], [""vehicle"", 0.018545190182990414], [""cars"", 0.018313568112128368], [""rear"", 0.01521430968889921], [""road"", 0.015165064237865932]]"
default,1,"design, world, new, designers, need, product, future, happy, bit, sure","[[""design"", 0.03379955078880197], [""world"", 0.023189434354505736], [""new"", 0.022696549072039062], [""designers"", 0.019357005552498953], [""need"", 0.01931328783081513], [""product"", 0.01823785626945273], [""future"", 0.017534512091071926], [""happy"", 0.017143946405333618], [""bit"", 0.017053784228734756], [""sure"", 0.016939505571859432]]"
default,2,"display, key, android, digital, screen, apple, carplay, navigation, apple carplay, android auto","[[""display"", 0.039692740573840604], [""key"", 0.036427413340318446], [""android"", 0.035740969262622845], [""digital"", 0.033329219287562425], [""screen"", 0.03254345688181639], [""apple"", 0.03243262499072363], [""carplay"", 0.02918832374090706], [""navigation"", 0.026399030747811653], [""apple carplay"", 0.024999564766284708], [""android auto"", 0.024681722265914828]]"
default,3,"seats, interior, seat, heated, space, leather, rear, rear seats, materials, comfortable","[[""seats"", 0.08013357679108728], [""interior"", 0.05074296596806942], [""seat"", 0.04856054399319282], [""heated"", 0.03378260281975379], [""space"", 0.030294946743242773], [""leather"", 0.027545326645658917], [""rear"", 0.026572113958001804], [""rear seats"", 0.026059201944438875], [""materials"", 0.02202704681353812], [""comfortable"", 0.020631825351851683]]"
default,4,"horsepower, torque, drive, hybrid, engine, electric, range, battery, motor, power","[[""horsepower"", 0.048484474373685985], [""torque"", 0.04649213507140366], [""drive"", 0.04452676477084172], [""hybrid"", 0.042181675772173265], [""engine"", 0.03655185676775011], [""electric"", 0.03441104849295246], [""range"", 0.03305537675958178], [""battery"", 0.03248712982344653], [""motor"", 0.03150170240610053], [""power"", 0.02849324485252527]]"
default,5,"charging, charge, level, charger, battery, fast, dc, minutes, stations, fast charging","[[""charging"", 0.13281495392693768], [""charge"", 0.09686576216047087], [""level"", 0.04116081629755294], [""charger"", 0.03890235411792], [""battery"", 0.0385246469233344], [""fast"", 0.03325259067708493], [""dc"", 0.02993843140826721], [""minutes"", 0.029464566093673962], [""stations"", 0.026160342729852133], [""fast charging"", 0.026107521778014942]]"
default,6,"led, black, grille, rear, headlights, lights, light, design, lighting, look","[[""led"", 0.06790718001808686], [""black"", 0.05056344689199906], [""grille"", 0.04320121187348162], [""rear"", 0.042934687482000536], [""headlights"", 0.04271158837742675], [""lights"", 0.03935715796347589], [""light"", 0.03681808409157981], [""design"", 0.028693092562091033], [""lighting"", 0.028023759687486785], [""look"", 0.024959984575094393]]"
default,7,"bmw, series, bmw series, new bmw, grand tour, tour, grand, new, i5, i4","[[""bmw"", 0.1932312920641078], [""series"", 0.08925293910753293], [""bmw series"", 0.06105867395842856], [""new bmw"", 0.05581939162977738], [""grand tour"", 0.05457980259623481], [""tour"", 0.05437991109965816], [""grand"", 0.05069798181976221], [""new"", 0.0489590811088188], [""i5"", 0.03132802007252176], [""i4"", 0.027469133674043647]]"
default,8,"assist, parking, monitor, lane, view, spot, blind spot, blind, alert, traffic","[[""assist"", 0.07526364017454783], [""parking"", 0.04903137261071701], [""monitor"", 0.04520608282494007], [""lane"", 0.044106210644654], [""view"", 0.04105067017157962], [""spot"", 0.03911471237605108], [""blind spot"", 0.03591789205887211], [""blind"", 0.03591789205887211], [""alert"", 0.03362492818292111], [""traffic"", 0.03240365560352604]]"
default,9,"electric, ev, bolt, vehicles, bolt ev, euv, bolt euv, electric vehicles, cars, evs","[[""electric"", 0.0960966253084693], [""ev"", 0.0865616556011237], [""bolt"", 0.05734856304023883], [""vehicles"", 0.037281969906439595], [""bolt ev"", 0.03202322249851611], [""euv"", 0.0317355811254379], [""bolt euv"", 0.0317355811254379], [""electric vehicles"", 0.029739786100094402], [""cars"", 0.028468006537708545], [""evs"", 0.028057597532098435]]"
