representation_model,topic,words,weighted_words
keybert,-1,"driving, drive, design, vehicle, car, features, experience, technology, how","[[""driving"", 0.358995646238327], [""drive"", 0.32424771785736084], [""design"", 0.3232227563858032], [""vehicle"", 0.31612393260002136], [""car"", 0.3029523193836212], [""features"", 0.28560832142829895], [""experience"", 0.2519981861114502], [""technology"", 0.23548737168312073], [""how"", 0.22456036508083344]]"
keybert,0,"vehicle, car, cars, suspension, steering, driving, rear, driver, design, drive","[[""vehicle"", 0.5052289962768555], [""car"", 0.4928092956542969], [""cars"", 0.4727151393890381], [""suspension"", 0.4145185649394989], [""steering"", 0.3887985944747925], [""driving"", 0.36289048194885254], [""rear"", 0.34263575077056885], [""driver"", 0.33450281620025635], [""design"", 0.3323207497596741], [""drive"", 0.31597232818603516]]"
keybert,1,you,"[[""you"", 0.3391667604446411]]"
keybert,2,"smartphone, android, iphone, devices, apps, app, touchscreen, drivers, auto, phone","[[""smartphone"", 0.5346906185150146], [""android"", 0.4729466438293457], [""iphone"", 0.4269232749938965], [""devices"", 0.38891854882240295], [""apps"", 0.3828519582748413], [""app"", 0.3364146053791046], [""touchscreen"", 0.3330842852592468], [""drivers"", 0.33274224400520325], [""auto"", 0.3312641978263855], [""phone"", 0.3247225880622864]]"
keybert,3,"seats, seat, seating, passengers, trunk, rear, comfortable, passenger, cabin, steering","[[""seats"", 0.5666422247886658], [""seat"", 0.4979758560657501], [""seating"", 0.49370601773262024], [""passengers"", 0.4379846453666687], [""trunk"", 0.3875613510608673], [""rear"", 0.3854869604110718], [""comfortable"", 0.3716435432434082], [""passenger"", 0.36255425214767456], [""cabin"", 0.34681254625320435], [""steering"", 0.33523470163345337]]"
keybert,4,"hybrid, torque, motors, powertrain, traction, drive, dual, motor, rear","[[""hybrid"", 0.3674972653388977], [""torque"", 0.3440513014793396], [""motors"", 0.333010196685791], [""powertrain"", 0.3244237005710602], [""traction"", 0.31010180711746216], [""drive"", 0.3040000796318054], [""dual"", 0.27881956100463867], [""motor"", 0.27316299080848694], [""rear"", 0.26952889561653137]]"
keybert,5,"charging, charge, charger, charged, recharge, chargers, level, plug, battery, electric","[[""charging"", 0.6127697229385376], [""charge"", 0.5391645431518555], [""charger"", 0.5273237228393555], [""charged"", 0.43568167090415955], [""recharge"", 0.39510422945022583], [""chargers"", 0.35812872648239136], [""level"", 0.25590476393699646], [""plug"", 0.2464686781167984], [""battery"", 0.23241905868053436], [""electric"", 0.23011574149131775]]"
keybert,6,"headlights, taillights, lighting, led, lights, distinctive, grille","[[""headlights"", 0.5314680933952332], [""taillights"", 0.45606693625450134], [""lighting"", 0.44959408044815063], [""led"", 0.392673134803772], [""lights"", 0.3875730037689209], [""distinctive"", 0.3299640417098999], [""grille"", 0.32752525806427]]"
keybert,7,"bmw, sedan, i5, coupe, car, i4, touring, i7, hybrid","[[""bmw"", 0.6715753078460693], [""sedan"", 0.43857505917549133], [""i5"", 0.4261365532875061], [""coupe"", 0.3538624048233032], [""car"", 0.3422729969024658], [""i4"", 0.31234925985336304], [""touring"", 0.29777538776397705], [""i7"", 0.28970852494239807], [""hybrid"", 0.2883114218711853]]"
keybert,8,"safety, blind, monitor, detection, parking, drivers, driver, pedestrian, driving, radar","[[""safety"", 0.37569576501846313], [""blind"", 0.35921695828437805], [""monitor"", 0.352988600730896], [""detection"", 0.3515830934047699], [""parking"", 0.34659910202026367], [""drivers"", 0.34489327669143677], [""driver"", 0.3254808783531189], [""pedestrian"", 0.30264919996261597], [""driving"", 0.29980432987213135], [""radar"", 0.2935805320739746]]"
