representation_model,topic,words,weighted_words
mmr,-1,"this, car, new, first","[[""this"", 0.0160647196103036], [""car"", 0.012000303362532157], [""new"", 0.011889618664038539], [""first"", 0.009726093120582513]]"
mmr,0,"car, driving, steering, drive, air, suspension, when","[[""car"", 0.03660777152705979], [""driving"", 0.017307366100752057], [""steering"", 0.01437441556654166], [""drive"", 0.013955533999796162], [""air"", 0.012587247452303928], [""suspension"", 0.011212480689538817], [""when"", 0.010827139983778957]]"
mmr,1,you,"[[""you"", 0.04410660347597835]]"
mmr,2,"display, android, digital, screen, carplay, navigation, auto, smartphone, touchscreen","[[""display"", 0.02741058657079695], [""android"", 0.024295588375032755], [""digital"", 0.02299827157300511], [""screen"", 0.022149601013202444], [""carplay"", 0.019625620930027367], [""navigation"", 0.017793715878189974], [""auto"", 0.015910609295516687], [""smartphone"", 0.015714617705048166], [""touchscreen"", 0.013583267196057121]]"
mmr,3,"seats, interior, seat, heated, space, rear, leather, have, comfortable, driver","[[""seats"", 0.05360058014140209], [""interior"", 0.034106362955088405], [""seat"", 0.0321086956031537], [""heated"", 0.02185494164996217], [""space"", 0.020008200375364295], [""rear"", 0.018442622444089944], [""leather"", 0.017606394542350055], [""have"", 0.015840136338604097], [""comfortable"", 0.013308962878274273], [""driver"", 0.012791274345574302]]"
mmr,4,"horsepower, torque, hybrid, engine, range, battery, motor, up, system, powertrain","[[""horsepower"", 0.0340544375324579], [""torque"", 0.03240148701023543], [""hybrid"", 0.031537474844355234], [""engine"", 0.025976366622861322], [""range"", 0.02390368088663626], [""battery"", 0.023471829136598874], [""motor"", 0.021895292287648714], [""up"", 0.019001501236927884], [""system"", 0.016946954623667035], [""powertrain"", 0.01567828774344049]]"
mmr,5,"charging, charge, level, charger, fast, dc, stations, volt, home, route","[[""charging"", 0.09288213727586407], [""charge"", 0.0656987058857981], [""level"", 0.027594369441867543], [""charger"", 0.025437077275714374], [""fast"", 0.022117410480784496], [""dc"", 0.01933759790221992], [""stations"", 0.01694141767470772], [""volt"", 0.016322462988939454], [""home"", 0.014744940320522999], [""route"", 0.014301652068460192]]"
mmr,6,"led, black, rear, grille, headlights, design, lighting, hood","[[""led"", 0.042388594680737565], [""black"", 0.0315918143222153], [""rear"", 0.028489745243545365], [""grille"", 0.026544727027202945], [""headlights"", 0.026110173140560446], [""design"", 0.019092765138432714], [""lighting"", 0.017256879066645747], [""hood"", 0.014954687104758908]]"
mmr,7,"bmw, series, grand, i5, i4, touring, plug, models, driving","[[""bmw"", 0.13390404673462575], [""series"", 0.05980305333365966], [""grand"", 0.03326928340469279], [""i5"", 0.02009033199381645], [""i4"", 0.017527832803568878], [""touring"", 0.017164104418925522], [""plug"", 0.015899779191009183], [""models"", 0.01482010104897358], [""driving"", 0.013124396206279603]]"
mmr,8,"assist, parking, lane, view, blind, driving, braking, safety, cross, driver","[[""assist"", 0.06441002999580614], [""parking"", 0.04076539958523388], [""lane"", 0.03659992861197024], [""view"", 0.033987720252692914], [""blind"", 0.029194105224992883], [""driving"", 0.022508918209169296], [""braking"", 0.02127160635327187], [""safety"", 0.020456751083149104], [""cross"", 0.020024184106726673], [""driver"", 0.01995509358099051]]"
mmr,9,"electric, ev, bolt, euv, evs, vehicle, electrification, first","[[""electric"", 0.06207796431024054], [""ev"", 0.053284835468184626], [""bolt"", 0.03345129896934657], [""euv"", 0.01827126752182993], [""evs"", 0.016453774967258243], [""vehicle"", 0.015429424534748357], [""electrification"", 0.013921457554537693], [""first"", 0.01316758917008124]]"
mmr,10,"kia, ev6, ev, india, ev9, hyundai, ev4, e6, k4","[[""kia"", 0.10656633554051764], [""ev6"", 0.07293417748355649], [""ev"", 0.02344167485105956], [""india"", 0.021438791694638446], [""ev9"", 0.019754631866589194], [""hyundai"", 0.017650154067543698], [""ev4"", 0.016126956354708063], [""e6"", 0.014917699962613854], [""k4"", 0.01439983671874459]]"
mmr,11,"amg, eqs, eqe, mercedes, gt, eq, sl, electric, coupe, door","[[""amg"", 0.07015289340984895], [""eqs"", 0.06599931842515297], [""eqe"", 0.0415917520610373], [""mercedes"", 0.03271549588948777], [""gt"", 0.02876806903896892], [""eq"", 0.0263485818324749], [""sl"", 0.020852514122980607], [""electric"", 0.015585650243826766], [""coupe"", 0.014967085262213384], [""door"", 0.01444327781738492]]"
mmr,12,"sound, audio, system, jbl, speaker, premium, speakers, 11, listening, exhaust","[[""sound"", 0.07745988063273287], [""audio"", 0.05389869236040935], [""system"", 0.04406459242717977], [""jbl"", 0.04304662960411052], [""speaker"", 0.039646311878116826], [""premium"", 0.03911678769490273], [""speakers"", 0.031048550883810432], [""11"", 0.020306897985879743], [""listening"", 0.01865962190295059], [""exhaust"", 0.016921169493920925]]"
mmr,13,"ioniq, hyundai, charging, electric, fast, platform, space, egmp, ultra","[[""ioniq"", 0.1465521300983721], [""hyundai"", 0.0510103696725793], [""charging"", 0.02854598671037787], [""electric"", 0.018364136792753918], [""fast"", 0.017021300628970275], [""platform"", 0.01567788836622552], [""space"", 0.014903998336269037], [""egmp"", 0.014307224481807143], [""ultra"", 0.013899206661599172]]"
mmr,14,"class, mercedes, benz, new, the, is, coupe, car, luxury, cabriolet","[[""class"", 0.12350742996821515], [""mercedes"", 0.12083956293500508], [""benz"", 0.11248086739702788], [""new"", 0.04328155960448071], [""the"", 0.04099315004978313], [""is"", 0.028178886983274632], [""coupe"", 0.021137679381698124], [""car"", 0.017006569223967268], [""luxury"", 0.016037117653688093], [""cabriolet"", 0.013649755145472927]]"
mmr,15,"elantra, sonata, accord, the, hybrid, camry, hyundai, new, design, navera","[[""elantra"", 0.09535897061783441], [""sonata"", 0.07648944606631161], [""accord"", 0.044279002076926643], [""the"", 0.03873141529138262], [""hybrid"", 0.025843809047952228], [""camry"", 0.025703725953394364], [""hyundai"", 0.02565509508646287], [""new"", 0.0221451691791997], [""design"", 0.01776058881682172], [""navera"", 0.016078216912884122]]"
mmr,16,"corolla, safety, toyota, lane, detection, collision, pedestrian, prius, radar, airbags","[[""corolla"", 0.12407797564444481], [""safety"", 0.06691772337340071], [""toyota"", 0.045616817008051876], [""lane"", 0.04240860363418156], [""detection"", 0.02930278578068278], [""collision"", 0.028474259950114624], [""pedestrian"", 0.027567571703052136], [""prius"", 0.02544286765711241], [""radar"", 0.02353630486096304], [""airbags"", 0.02072248361411559]]"
mmr,17,"prius, prime, hybrid, toyota, plug, efficiency, fuel, le, estimated","[[""prius"", 0.1857909561086763], [""prime"", 0.06009161070351328], [""hybrid"", 0.03600789822425556], [""toyota"", 0.028580168618632218], [""plug"", 0.021631534306522607], [""efficiency"", 0.0215663056500387], [""fuel"", 0.015494793793446695], [""le"", 0.015043549322124263], [""estimated"", 0.015040391055369291]]"
mmr,18,"rav4, prime, hybrid, trd, standard, toyota, performance, woodland, seats, ev","[[""rav4"", 0.15490557277056552], [""prime"", 0.0529027408343867], [""hybrid"", 0.04797057863466371], [""trd"", 0.03089139063526305], [""standard"", 0.026765598023863503], [""toyota"", 0.026335976810398037], [""performance"", 0.019694246411452655], [""woodland"", 0.01800782255064331], [""seats"", 0.016857707235849454], [""ev"", 0.016470070237714584]]"
mmr,19,"pedal, braking, regenerative, brake, brakes, modes, driving, paddle, select","[[""pedal"", 0.07988310030122442], [""braking"", 0.04343997501277094], [""regenerative"", 0.032079851750715524], [""brake"", 0.03129496811564558], [""brakes"", 0.031080523599018875], [""modes"", 0.026961666036932383], [""driving"", 0.0241855880766822], [""paddle"", 0.02280328928291665], [""select"", 0.0204501226347267]]"
