representation_model,topic,words,weighted_words
pos,-1,"car, new, first, design, look","[[""car"", 0.012000303362532157], [""new"", 0.011889618664038539], [""first"", 0.009726093120582513], [""design"", 0.007324275405311787], [""look"", 0.005914262312817165]]"
pos,0,"car, driving, steering, drive, air, suspension, vehicle, rear, road","[[""car"", 0.03660777152705979], [""driving"", 0.017307366100752057], [""steering"", 0.01437441556654166], [""drive"", 0.013955533999796162], [""air"", 0.012587247452303928], [""suspension"", 0.011212480689538817], [""vehicle"", 0.01081834976384855], [""rear"", 0.008836268264709358], [""road"", 0.008609016191215112]]"
pos,1,"need, product","[[""need"", 0.00697127892166384], [""product"", 0.0064048178964746785]]"
pos,2,"display, key, digital, screen, navigation, smartphone, touchscreen, phone, car","[[""display"", 0.02741058657079695], [""key"", 0.025086327456887447], [""digital"", 0.02299827157300511], [""screen"", 0.022149601013202444], [""navigation"", 0.017793715878189974], [""smartphone"", 0.015714617705048166], [""touchscreen"", 0.013583267196057121], [""phone"", 0.013442116712168425], [""car"", 0.012876005712489086]]"
pos,3,"seats, interior, seat, heated, space, rear, leather, materials, comfortable","[[""seats"", 0.05360058014140209], [""interior"", 0.034106362955088405], [""seat"", 0.0321086956031537], [""heated"", 0.02185494164996217], [""space"", 0.020008200375364295], [""rear"", 0.018442622444089944], [""leather"", 0.017606394542350055], [""materials"", 0.01400243081246605], [""comfortable"", 0.013308962878274273]]"
pos,4,"horsepower, drive, torque, hybrid, engine, electric, range, battery, motor","[[""horsepower"", 0.0340544375324579], [""drive"", 0.033516733803988244], [""torque"", 0.03240148701023543], [""hybrid"", 0.031537474844355234], [""engine"", 0.025976366622861322], [""electric"", 0.0258074591226828], [""range"", 0.02390368088663626], [""battery"", 0.023471829136598874], [""motor"", 0.021895292287648714]]"
pos,5,"charging, charge, level, battery, charger, fast, minutes, plug, stations, volt","[[""charging"", 0.09288213727586407], [""charge"", 0.0656987058857981], [""level"", 0.027594369441867543], [""battery"", 0.026406731967681334], [""charger"", 0.025437077275714374], [""fast"", 0.022117410480784496], [""minutes"", 0.019120241321386573], [""plug"", 0.01732482460744574], [""stations"", 0.01694141767470772], [""volt"", 0.016322462988939454]]"
pos,6,"black, rear, grille, headlights, lights, light, design, lighting","[[""black"", 0.0315918143222153], [""rear"", 0.028489745243545365], [""grille"", 0.026544727027202945], [""headlights"", 0.026110173140560446], [""lights"", 0.024293878041788845], [""light"", 0.023024867258886327], [""design"", 0.019092765138432714], [""lighting"", 0.017256879066645747]]"
pos,7,"series, new, grand, touring, plug, models, design, driving, electric","[[""series"", 0.05980305333365966], [""new"", 0.03668635959992023], [""grand"", 0.03326928340469279], [""touring"", 0.017164104418925522], [""plug"", 0.015899779191009183], [""models"", 0.01482010104897358], [""design"", 0.013719947228736868], [""driving"", 0.013124396206279603], [""electric"", 0.012238724638921146]]"
pos,8,"assist, parking, monitor, lane, view, spot, blind, alert, traffic, driving","[[""assist"", 0.06441002999580614], [""parking"", 0.04076539958523388], [""monitor"", 0.03699024485914222], [""lane"", 0.03659992861197024], [""view"", 0.033987720252692914], [""spot"", 0.03211659070171569], [""blind"", 0.029194105224992883], [""alert"", 0.027608999024281915], [""traffic"", 0.026793752606507303], [""driving"", 0.022508918209169296]]"
