topic,rank,representative_text
-1,1,"And it starts right here today with this new Infiniti Q50. Not only is this new car the first to bear our new nomenclature, it is also the first to completely crystallize our future design, performance and technology direction."
-1,2,"Today we introduce the Honda Clarity line. We have a fuel cell powered Clarity, a pure battery electric Clarity, and a plug-in hybrid."
-1,3,"That makes it the most fuel-efficient, all-wheel drive hybrid in America. The new Prius with all-wheel drive E will be available this January, and with its new styling, outstanding cargo capacity, and of course, amazing fuel efficiency, this new Prius is a perfect example of Accio Toyota's pledge to make ever better cars."
-1,4,It'll help you stand out when you're ready to step up. Ready to see for yourself?
-1,5,And you can really tell that the car's been designed around the driver.
-1,6,"The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too."
0,1,So power to the front wheels comes from an electric motor with a two-speed transmission and power to the rear wheels is from a three-cylinder turbocharged gas motor made into an automatic six-speed transmission.
0,2,"The new Hyundai Sonata isn't just another car, it's a better car."
0,3,Doing them right when the time is right. And the time is right for electric to go Audi.
0,4,"Hey, I'm Bradley Hasenmaier, and I am thrilled to share a few highlights of the 2020 Acura ILX with incredible standard features and bold new styling."
0,5,"Oh, this is great. start ignition standard active sound control standard multi-view rear camera standard and as if all that wasn't enough Acura went ahead and made its Acura watch advanced safety and driver assistance technology package standard huh standard that has a nice ring to it doesn't it this package includes forward collision warning collision mitigation braking lane departure warning lane keeping assist road departure mitigation and adaptive cruise control standard across all trims."
0,6,"The ILX has 201 horsepower, it's got an eight-speed dual clutch transmission and a 2.4 liter i-VTEC engine."
1,1,"Ladies and gentlemen, please welcome group vice president and general manager Toyota division Jack Hollis Well, good afternoon everybody."
1,2,"Ladies and gentlemen, please welcome Group Vice President, General Manager of Lexus, Mark Templin."
1,3,"Ladies and gentlemen, please welcome Thomas Ingenlatt, Senior Vice President Design. Good morning, ladies and gentlemen."
1,4,My weekend was absolutely fabulous. I felt like a celebrity. I don't want it to end.
1,5,He was having far too much fun. All the technology is easy to use.
1,6,"First, it will have advanced technology that enhances fun-to-drive handling and performance."
2,1,"Through the multi-information display, the available navigation screen which is positioned back at the top of the dash to improve the driver's sight lines or through an optional heads-up display."
2,2,"Most of the functions are controlled via the steering wheel, displayed in the digital driver display, or in the optional head-up display."
2,3,"It's that cool folks. And of course it's loaded with technology, things like a huge, like TV screen size touch screen, embedded modem, of course Apple CarPlay and Android Auto, wireless charging of the phones, heads up display."
2,4,You've got easy access buttons and knobs and an easy place to just plug your phone right in too so you can access the available Apple CarPlay and Android Auto integration and it pulls up using these dual screen displays.
2,5,"No, you are. He gets to drive? They just switched he gets to drive after all that no You know what?"
2,6,"You don't get to drive it anymore, at all. That's, but if you take the keys, they might not notice."
3,1,"So you have carbon fiber in the door panel, carbon fiber beams with aluminum panels."
3,2,"Interior color combinations. The interior is made of leather upholsteries and decor of carbon fiber, walnut, birch, metal, and aluminum."
3,3,"So, let's see. In the interior, no, not in the interior. You can see the interior when we're here."
3,4,"And if you really want to up the the Annie, opt for the NSX inspired ultra suede trimmed sport seat on the a-spec package engineered with lateral grip to keep you firmly planted in your seat."
3,5,And then when you go to the interior it only gets better.
3,6,Where you're greeted with this premium cabin and precision craftsmanship. I mean take for instance the steering wheel.
4,1,"And with Buick, they get it. So, how did Buick get to our current standing in the marketplace and with our customers?"
4,2,"These models amount to more than 700,000 sales a year, or half of our total Buick brand volume."
4,3,"Thanks for being here, Bob. Well, thank you, Susan. The new Buick Regal is The next step in transforming the Buick brand into what many of us at General Motors over the last 10 years have hoped that we could make the Buick brand be."
4,4,"Yes, we have three models, which we think are the perfect blend of performance and efficiency. Nice."
4,5,What about this one over here? Yep. What we think is going to be our most popular model.
4,6,"Yet, many global changes have affected the automobile industry since that time."
5,1,It's blind spot detection system with rear cross traffic alert. Yes. I'm going to give you that one.
5,2,"Automatic emergency braking with pedestrian detection, main departure warning system. along with blind spot detection and rear cross-traffic alert are offered on the vehicle."
5,3,"I like that. You also get advanced safety technology. It offers standard blind spot detection with rear cross traffic alert and available automatic emergency braking, lane keep assist, and rear parking assistance system."
5,4,"This package includes forward collision warning, collision mitigation braking, lane departure warning, lane keeping assist, road departure mitigation and adaptive cruise control, standard across all trims."
5,5,"Essentially, it projects information onto the windshield ahead of you, things like your speed or your turn-by-turn navigation."
5,6,I'll just walk. I never have before. So you brake going into the turn.
6,1,"Now, it's not just about having a back seat. It's about the ability to fold down the back seat and have some actual cargo space."
6,2,"The cabin provides ample legroom, rear seat room, both for rear seat passengers as well as great headroom in the front for front seat passengers."
6,3,The rear seat offers room for three and split-folding seatbacks for added luggage space.
6,4,And it only gets better on the inside with paddle shifters and redesigned sports seats.
6,5,"Ooh, it's very comfy. I've got fantastic leg room up here and leg room in the back for my friends and my passengers."
6,6,"It's intuitive. Well, frankly, one of the best features is all the extra leg room in the back."
7,1,"Elements like that elongated wide sporty front grille, that elegant swooping hood and those stunning full LED headlights that include daytime running lights that I love this, seamlessly integrate into the main vehicle body."
7,2,We started with our hallmark LED lighting and leapt light years ahead to create these available HD matrix design LED headlights featuring high beam assist which can automatically shift from high beams to low beams when oncoming traffic is detected.
7,3,"The roof pillars are slimmer and the headlights more streamlined, and the available LED headlamps and daytime running lights combine with a signature grille design to emphasize the front-end width and the very low hood."
7,4,"Let's go. When you get to the ILX, you really see some style with these sharp July LED headlights and that bold pentagon grill."
7,5,I went and put them on brights. it was like full moon.
7,6,A lot more angular single frame grille in a lot more horizontal look.
8,1,We visited with both of them recently in our Waco design studio and asked them to share some perspectives on the new design.
8,2,"There's so much to talk about. We have the best design. We have a very advanced design, led by Peter Schreier as a design team."
8,3,It is a beautiful design. Yes. John and Kate and his design team did an excellent job.
8,4,I think a lot of people probably don't realize that almost one year out that design gets locked in.
8,5,"Many things have changed in our industry and in the marketplace since 1989, maybe more than just my hairstyle."
8,6,"Every design element has a purpose, and that is to enhance performance."
9,1,So the Polestar customers will also have access to what we call Polestar On Demand.
9,2,"Polestar. So, this great awesome design became our Polestar 2, and we're going to show it to you in a minute."
9,3,"Now, looking at the lineup of Polestar 1, Polestar 2 and Polestar 3, you get a very good idea of the scope of our brand."
9,4,"This plant, you may or may not know, was a 2011 JD Power Platinum Award winner."
9,5,"So there are very, very few plants anywhere in the world that can achieve that level of significance."
9,6,"I want to acknowledge the individual who has been leading the creation of this plant, Mr. Clement D'Souza."
10,1,"To open the tailgate from inside, press the button in the driver's footwell."
10,2,"To open them, use this release towards the top of the door frame."
10,3,"So we're gonna unlock the car, open the door, open the trunk, open the fuel door."
10,4,"Inside a very simple dashboard greets the eye. It kind of follows what Audi's been doing lately in some of its other cars, removing this gauge hood that would go all the way across the center part of the dashboard."
10,5,The Gorilla Glass separates this compartment from the passenger area. You can also see the exposed carbon fiber shell as you come around the threshold.
10,6,"Underneath, there's a locking glove box with a modest amount of space, LED lit, and lined in velour."
11,1,"If the circuit breaker for the charger or the occasional use cable is tripping as a As a result of the car charging, this setting allows you to lower the charging speed."
11,2,"Don't start or move the vehicle while it's charging. When the charge level display in the car, and often on the charger too, shows 100%, the battery is fully charged."
11,3,"Voila! Once open, remove the charging port cap. The top socket is for level 2 or level 1 charging and for i3 vehicles that are equipped with a DC fast charging or SAE the lower port is for DC charging."
11,4,"If you then look at the side, you can clearly see a little bit more power."
11,5,This is full throttled and fully connected. This is a new way to drive with high-speed charging capabilities and with the full backing of a global dealer network.
11,6,"But in most cases of everyday life, you will not wait for a car to charge at all, because you will regain power at locations that you never filled up your gas tank, and that's at home and at work."
12,1,It'll be the fastest to 100 miles an hour. 4.2 seconds to 100 miles an hour.
12,2,We're going to talk about things beyond base maybe next year sometime this is the base model base model will do 0 to 60 in 1.9 seconds okay it'll that is the fastest this will be the first time that any car has broken two seconds at 0 to 60 it'll be the fastest to 100 miles an hour 4.2 seconds to 100 miles an hour faster than that jet over there um it'll do the quarter mile
12,3,And even the base Model 3 will do 0 to 60 miles an hour or 0 to 100 kilometers an hour in less than six seconds.
12,4,"It's huge because they know, essentially their name is on that engine."
12,5,"At the speed range between 55 kilometers an hour and 160 kilometers an hour, we will shut down the engine every time the customer takes off his food from the accelerator."
12,6,"And for me, on Long Island, New York, my father was actually one of those first customers behind the wheel of a 100 LS and ahead of a curve that would ultimately lead us to this very powerful moment."
13,1,This is Two times longer than the first generation Nissan LEAF. The new Nissan LEAF will certainly be accepted by a wider range of customers.
13,2,ProPILOT and ePEDAL in the new Nissan Leaf are great examples of Nissan Intelligent Driving.
13,3,"While the current Nissan LEAF was the EV pioneer, the new Nissan LEAF has the real potential to become the core of the company."
13,4,"This is electric, engineered to shake up the world. You liked it?"
13,5,Their levels of engagement depend on your driving mode and whether you're in full EV mode or a combination of gas and electricity.
13,6,"In this case, we have to go to the lab in Germany and with one extract we have to use a leaf balm."
14,1,The BMW iRemote app allows you to control and monitor your BMW iVehicle using your smartphone.
14,2,The BMW iRemote app allows you to control and monitor your BMW iVehicle using your smartphone.
