Topic,Count,Name,ratio
-1,2894,-1_car_new_drive_infiniti,0.2593189964157706
0,3894,0_car_new_electric_hybrid,0.3489247311827957
1,824,1_president_auto_ladies_vice,0.07383512544802867
2,640,2_display_navigation_screen_voice,0.05734767025089606
3,535,3_interior_carbon_fiber_leather,0.047939068100358424
4,520,4_buick_customers_market_brand,0.04659498207885305
5,344,5_lane_assist_blind_traffic,0.03082437275985663
6,225,6_seats_seat_cargo_space,0.020161290322580645
7,209,7_led_light_lights_grille,0.018727598566308245
8,182,8_design_explain_studio_art,0.016308243727598565
9,166,9_polestar_electric_car_electric car,0.014874551971326165
10,146,10_tailgate_door_open_trunk,0.013082437275985664
11,133,11_charging_charge_vehicle_charger,0.011917562724014338
12,124,12_hour_seconds_meters_range,0.011111111111111112
13,116,13_leaf_nissan_nissan leaf_new nissan,0.01039426523297491
14,108,14_bmw_i3_bmw i3_charging,0.00967741935483871
15,100,15_seat_airbags_cargo_storage,0.008960573476702509
