representation_model,topic,words,weighted_words
default,-1,"car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric","[[""car"", 0.02644586474560043], [""new"", 0.024482354718692426], [""drive"", 0.015806586872878028], [""infiniti"", 0.014325850658116842], [""driving"", 0.013835515639059336], [""vehicle"", 0.013704552283464374], [""cars"", 0.012970693032167076], [""performance"", 0.012812776027739716], [""clarity"", 0.011991929148334165], [""electric"", 0.011657839650365822]]"
default,0,"car, new, electric, hybrid, vehicle, engine, audi, drive, design, power","[[""car"", 0.03140343321092912], [""new"", 0.0284332242192242], [""electric"", 0.022510985951635216], [""hybrid"", 0.017668047843857483], [""vehicle"", 0.017602851787296436], [""engine"", 0.016819098831652775], [""audi"", 0.014470079683775991], [""drive"", 0.01441249297484245], [""design"", 0.013162321829691648], [""power"", 0.013156792106960193]]"
default,1,"president, auto, ladies, vice, vice president, new, safety, la, future, technology","[[""president"", 0.04693046908441189], [""auto"", 0.04256308806129143], [""ladies"", 0.041237332743821006], [""vice"", 0.03507520045888017], [""vice president"", 0.033351700951129985], [""new"", 0.027291034189654746], [""safety"", 0.025416500222599458], [""la"", 0.023361579340157687], [""future"", 0.020317252684660995], [""technology"", 0.019039406778469152]]"
default,2,"display, navigation, screen, voice, information, phone, button, control, available, select","[[""display"", 0.05489717968577983], [""navigation"", 0.042240592530254514], [""screen"", 0.03983475847960121], [""voice"", 0.034084119942205005], [""information"", 0.03220650784328358], [""phone"", 0.030667518493313714], [""button"", 0.030305569998763163], [""control"", 0.023668815278966995], [""available"", 0.02340792179840449], [""select"", 0.0221122858367399]]"
default,3,"interior, carbon, fiber, leather, carbon fiber, materials, design, panel, high, beautiful","[[""interior"", 0.0837957551807478], [""carbon"", 0.03772055053598143], [""fiber"", 0.033613664554250654], [""leather"", 0.0333836636801609], [""carbon fiber"", 0.03281347381741024], [""materials"", 0.030748111284358726], [""design"", 0.028320506476570702], [""panel"", 0.026555971462279938], [""high"", 0.02431341315106941], [""beautiful"", 0.023891675266336985]]"
default,4,"buick, customers, market, brand, sales, products, model, product, new, china","[[""buick"", 0.05633986231262451], [""customers"", 0.048372534737030716], [""market"", 0.04382586801393031], [""brand"", 0.03878527382891154], [""sales"", 0.03680211184209931], [""products"", 0.03570289191515453], [""model"", 0.03174305969417255], [""product"", 0.030287595714739497], [""new"", 0.029834738089355693], [""china"", 0.025156207574214936]]"
default,5,"lane, assist, blind, traffic, braking, spot, blind spot, collision, brake, camera","[[""lane"", 0.05372447870269927], [""assist"", 0.05157622830939576], [""blind"", 0.04986839722953097], [""traffic"", 0.048505124705591804], [""braking"", 0.04722624896517443], [""spot"", 0.04664055017119195], [""blind spot"", 0.045987701088418355], [""collision"", 0.045303492588919025], [""brake"", 0.04012745501140851], [""camera"", 0.036771874713976214]]"
default,6,"seats, seat, cargo, space, rear, room, trunk, seating, passenger, comfortable","[[""seats"", 0.09316976317613913], [""seat"", 0.06986204157391693], [""cargo"", 0.05725548095299352], [""space"", 0.054426695467441], [""rear"", 0.048164705457044446], [""room"", 0.0397451591876326], [""trunk"", 0.03467103305717307], [""seating"", 0.034587787248312525], [""passenger"", 0.03443971873822481], [""comfortable"", 0.03393418156996659]]"
default,7,"led, light, lights, grille, headlights, lighting, signature, shape, tail, design","[[""led"", 0.11481702903829412], [""light"", 0.08725322919169431], [""lights"", 0.07277958351476166], [""grille"", 0.0703037493415081], [""headlights"", 0.06560833435702734], [""lighting"", 0.03892190197007539], [""signature"", 0.031585990752182436], [""shape"", 0.031336827842223705], [""tail"", 0.03012494504310759], [""design"", 0.03010691049662566]]"
default,8,"design, explain, studio, art, designers, beautiful design, sketch, modern, look, engineering","[[""design"", 0.1462058765104375], [""explain"", 0.03685857969736079], [""studio"", 0.030995116764598787], [""art"", 0.03080832575158624], [""designers"", 0.028562629498122827], [""beautiful design"", 0.027948680095779617], [""sketch"", 0.025199676316253212], [""modern"", 0.024634884241326874], [""look"", 0.0245866755352758], [""engineering"", 0.023840504715819853]]"
