representation_model,topic,words,weighted_words
keybert,-1,"toyota, vehicle, car, cars, vehicles, driver, infiniti, driving, drive","[[""toyota"", 0.398618221282959], [""vehicle"", 0.39646682143211365], [""car"", 0.3916774392127991], [""cars"", 0.38424208760261536], [""vehicles"", 0.36484023928642273], [""driver"", 0.34849321842193604], [""infiniti"", 0.34529441595077515], [""driving"", 0.3123563528060913], [""drive"", 0.2582067549228668]]"
keybert,0,"vehicle, car, driving, vehicles, cars, lexus, hyundai, drive, volvo, bmw","[[""vehicle"", 0.499714195728302], [""car"", 0.4911826252937317], [""driving"", 0.4628222584724426], [""vehicles"", 0.45963478088378906], [""cars"", 0.44992169737815857], [""lexus"", 0.38795149326324463], [""hyundai"", 0.38421887159347534], [""drive"", 0.37418386340141296], [""volvo"", 0.3628842830657959], [""bmw"", 0.3592377305030823]]"
keybert,1,"about, you, please, technology","[[""about"", 0.30790501832962036], [""you"", 0.30197298526763916], [""please"", 0.2839374542236328], [""technology"", 0.25258952379226685]]"
keybert,2,"navigation, menu, settings, screen, displays, display, smartphone, android, buttons, audio","[[""navigation"", 0.5798733234405518], [""menu"", 0.4431326985359192], [""settings"", 0.4292607009410858], [""screen"", 0.390269935131073], [""displays"", 0.3632001280784607], [""display"", 0.3619438707828522], [""smartphone"", 0.3603992164134979], [""android"", 0.35856038331985474], [""buttons"", 0.35205668210983276], [""audio"", 0.34825095534324646]]"
keybert,3,"interior, inside, wood, design, structural, materials, structure, material, craftsmanship","[[""interior"", 0.5737875699996948], [""inside"", 0.3601416349411011], [""wood"", 0.3553466200828552], [""design"", 0.32471969723701477], [""structural"", 0.29983237385749817], [""materials"", 0.2943916916847229], [""structure"", 0.2775534987449646], [""material"", 0.27221405506134033], [""craftsmanship"", 0.25872838497161865]]"
keybert,4,"products, industry, market, sales, customers, markets, product, buick, business","[[""products"", 0.48289167881011963], [""industry"", 0.46145761013031006], [""market"", 0.4183487892150879], [""sales"", 0.4181241989135742], [""customers"", 0.4163728952407837], [""markets"", 0.4058135151863098], [""product"", 0.38264501094818115], [""buick"", 0.3781578838825226], [""business"", 0.3772599995136261]]"
keybert,5,"safety, alerts, detection, vehicle, detect, driver, alert, traffic, radar, steering","[[""safety"", 0.4392681121826172], [""alerts"", 0.4313967227935791], [""detection"", 0.403665155172348], [""vehicle"", 0.3927654027938843], [""detect"", 0.3849424123764038], [""driver"", 0.38387733697891235], [""alert"", 0.3659634590148926], [""traffic"", 0.35969263315200806], [""radar"", 0.35852593183517456], [""steering"", 0.3552495241165161]]"
keybert,6,"seats, seating, seat, passengers, passenger, cabin, spacious, sit, rear","[[""seats"", 0.5806858539581299], [""seating"", 0.571490466594696], [""seat"", 0.5373798608779907], [""passengers"", 0.515967607498169], [""passenger"", 0.40530505776405334], [""cabin"", 0.3882284164428711], [""spacious"", 0.37956467270851135], [""sit"", 0.37093132734298706], [""rear"", 0.33697599172592163]]"
keybert,7,"headlights, taillights, taillight, leds, lighting, led, lights","[[""headlights"", 0.5673688650131226], [""taillights"", 0.46532076597213745], [""taillight"", 0.4462645649909973], [""leds"", 0.43693894147872925], [""lighting"", 0.4286840558052063], [""led"", 0.38788819313049316], [""lights"", 0.3770497441291809]]"
keybert,8,"designs, design, designers, designer, inspired, prototype, studio, engineering, art, model","[[""designs"", 0.6212282180786133], [""design"", 0.6016713380813599], [""designers"", 0.5511083602905273], [""designer"", 0.4958769679069519], [""inspired"", 0.3635091781616211], [""prototype"", 0.3521519899368286], [""studio"", 0.3413041830062866], [""engineering"", 0.33479899168014526], [""art"", 0.3197266459465027], [""model"", 0.31518131494522095]]"
keybert,9,"polestar, pole, brand, electric, volvo, performance, progressive, customers, design, customer","[[""polestar"", 0.7921814918518066], [""pole"", 0.6276242733001709], [""brand"", 0.29924115538597107], [""electric"", 0.27130669355392456], [""volvo"", 0.250230997800827], [""performance"", 0.22231405973434448], [""progressive"", 0.22166714072227478], [""customers"", 0.21921515464782715], [""design"", 0.21694567799568176], [""customer"", 0.21575774252414703]]"
keybert,10,"lock, first, next, door, top, cover, tailgate","[[""lock"", 0.3667118549346924], [""first"", 0.3332498073577881], [""next"", 0.3313249349594116], [""door"", 0.3259360194206238], [""top"", 0.3178693652153015], [""cover"", 0.3086785674095154], [""tailgate"", 0.3070974349975586]]"
keybert,11,"charging, charger, charge, charged, battery, outlet, plug, red, car, vehicle","[[""charging"", 0.5814872980117798], [""charger"", 0.45578068494796753], [""charge"", 0.4495861232280731], [""charged"", 0.4007635712623596], [""battery"", 0.23702403903007507], [""outlet"", 0.21797537803649902], [""plug"", 0.21054291725158691], [""red"", 0.1871882975101471], [""car"", 0.18371565639972687], [""vehicle"", 0.16622310876846313]]"
keybert,12,"speed, fastest, kilometers, faster, kilometer, seconds, minutes, hour","[[""speed"", 0.483816921710968], [""fastest"", 0.4592995047569275], [""kilometers"", 0.4293634295463562], [""faster"", 0.4006210267543793], [""kilometer"", 0.3869212865829468], [""seconds"", 0.36634379625320435], [""minutes"", 0.3093484044075012], [""hour"", 0.2946989834308624]]"
keybert,13,"nissan, leaf, ev, evs, vehicle, car, leafs, electric, mobility, autonomous","[[""nissan"", 0.5461319088935852], [""leaf"", 0.4543665945529938], [""ev"", 0.3819519281387329], [""evs"", 0.31467801332473755], [""vehicle"", 0.30763041973114014], [""car"", 0.2917611598968506], [""leafs"", 0.27816641330718994], [""electric"", 0.26425179839134216], [""mobility"", 0.22995126247406006], [""autonomous"", 0.22250384092330933]]"
keybert,14,"bmw, smartphone, iremote, app, i3, vehicle, charging, phone, monitor, ivehicle","[[""bmw"", 0.5509086847305298], [""smartphone"", 0.4150639474391937], [""iremote"", 0.36314302682876587], [""app"", 0.34892839193344116], [""i3"", 0.28835293650627136], [""vehicle"", 0.21709398925304413], [""charging"", 0.2065456509590149], [""phone"", 0.20426173508167267], [""monitor"", 0.20208829641342163], [""ivehicle"", 0.1879173219203949]]"
keybert,15,"storage, compartment, place, seats, seat, backrest, cables, tunnel, space","[[""storage"", 0.35465550422668457], [""compartment"", 0.33177781105041504], [""place"", 0.3120301365852356], [""seats"", 0.30305737257003784], [""seat"", 0.2994272708892822], [""backrest"", 0.2936054468154907], [""cables"", 0.2898485064506531], [""tunnel"", 0.2847394049167633], [""space"", 0.2839421033859253]]"
