representation_model,topic,words,weighted_words
mmr,-1,"of, car, new","[[""of"", 0.029638647426825846], [""car"", 0.016970094811999435], [""new"", 0.015564668330219848]]"
mmr,0,"new, electric, vehicle, hybrid","[[""new"", 0.01930481857093838], [""electric"", 0.014151425067830358], [""vehicle"", 0.011216602768523843], [""hybrid"", 0.010771572300736821]]"
mmr,1,"for, show, please, president, auto","[[""for"", 0.02749805693022564], [""show"", 0.023768288619923375], [""please"", 0.018514842834792766], [""president"", 0.01806667734694956], [""auto"", 0.016875418526056542]]"
mmr,2,"display, navigation, screen, voice, information, button, phone, control","[[""display"", 0.03433792053089119], [""navigation"", 0.0258486780826502], [""screen"", 0.024384346533251368], [""voice"", 0.02050805401673633], [""information"", 0.019923910768440453], [""button"", 0.018626287416212188], [""phone"", 0.018615719944366484], [""control"", 0.014928097122855088]]"
mmr,3,"interior, in, carbon, leather, fiber, design, materials, panel","[[""interior"", 0.05001286885997478], [""in"", 0.02480008305065604], [""carbon"", 0.021374303979653397], [""leather"", 0.018855056888171448], [""fiber"", 0.018835589314000093], [""design"", 0.017608683006584393], [""materials"", 0.01736649976542107], [""panel"", 0.014917784655444176]]"
mmr,4,"buick, customers, brand, sales, products, model","[[""buick"", 0.02785961473242756], [""customers"", 0.025279818634721153], [""brand"", 0.020224175308056622], [""sales"", 0.018452502698920348], [""products"", 0.017776762759435256], [""model"", 0.016206366367700353]]"
mmr,5,"lane, assist, traffic, braking, collision, camera, detection, alert, safety, parking","[[""lane"", 0.03855186304455029], [""assist"", 0.03722492916166757], [""traffic"", 0.03497612763126369], [""braking"", 0.033745140392721085], [""collision"", 0.032023948874435895], [""camera"", 0.026052734591669978], [""detection"", 0.025506224685585808], [""alert"", 0.025215610066909325], [""safety"", 0.02400181860328841], [""parking"", 0.02044819419885827]]"
mmr,6,"seats, cargo, space, rear, four, trunk, seating, passengers, legroom, door","[[""seats"", 0.058877528731481124], [""cargo"", 0.03547399112193861], [""space"", 0.03481284395118977], [""rear"", 0.03194180921126732], [""four"", 0.021846764554685545], [""trunk"", 0.021425587089410354], [""seating"", 0.021083461493136117], [""passengers"", 0.02033906854807419], [""legroom"", 0.019068940511636233], [""door"", 0.018613628581265983]]"
mmr,7,"led, lights, grille, headlights, design, signature, tail, look","[[""led"", 0.06823114792513882], [""lights"", 0.04253780296337411], [""grille"", 0.04096831683028259], [""headlights"", 0.03795753942442032], [""design"", 0.019347240473090926], [""signature"", 0.018203246483354314], [""tail"", 0.017143657505012126], [""look"", 0.017095707352340443]]"
mmr,8,"design, how, they, about, studio","[[""design"", 0.07686421362481526], [""how"", 0.0195409559016444], [""they"", 0.016671197926889123], [""about"", 0.01566553854160679], [""studio"", 0.014509990843229612]]"
mmr,9,"polestar, this, electric, car, brand, volvo, subscription, battery, performance","[[""polestar"", 0.185744461168113], [""this"", 0.028843629903710925], [""electric"", 0.028159595908116654], [""car"", 0.025058197744353645], [""brand"", 0.01939720881218132], [""volvo"", 0.016776919073248915], [""subscription"", 0.016198990561294684], [""battery"", 0.015073430312138505], [""performance"", 0.014817255236470756]]"
mmr,10,"tailgate, door, trunk, top, release, into, hood, soft","[[""tailgate"", 0.04035984264039809], [""door"", 0.03875826498763558], [""trunk"", 0.03569077692945135], [""top"", 0.03193662705580903], [""release"", 0.027424967775111993], [""into"", 0.02511297560223387], [""hood"", 0.02268278856973843], [""soft"", 0.02069379714671859]]"
mmr,11,"charging, charge, charger, cable, plug, socket, car, level, indicator","[[""charging"", 0.10504793415229972], [""charge"", 0.0688371602688565], [""charger"", 0.03295969793214625], [""cable"", 0.03164479112691027], [""plug"", 0.029545003740618806], [""socket"", 0.022580069755410933], [""car"", 0.021585579439789542], [""level"", 0.01984426098392974], [""indicator"", 0.01966051956356443]]"
mmr,12,"seconds, range, meters, speed, kilometers, 60, weight, liters","[[""seconds"", 0.05939703710054978], [""range"", 0.04701887643547278], [""meters"", 0.045639779680746666], [""speed"", 0.035301694811670094], [""kilometers"", 0.03149354230195146], [""60"", 0.029752052958682555], [""weight"", 0.022677038287692488], [""liters"", 0.022388329148374235]]"
mmr,13,"leaf, nissan, ev, new, propilot, driving, electric, technology, intelligent","[[""leaf"", 0.1660102717440401], [""nissan"", 0.12738720700779035], [""ev"", 0.06382173153821544], [""new"", 0.04468660290046687], [""propilot"", 0.026057624944450464], [""driving"", 0.020674306447050136], [""electric"", 0.01896171527995656], [""technology"", 0.018727452635567302], [""intelligent"", 0.018640524817415523]]"
mmr,14,"bmw, i3, charging, app, stations, monitor, cable, level, allows, public","[[""bmw"", 0.1539514525589472], [""i3"", 0.12122649460440207], [""charging"", 0.07994409669113406], [""app"", 0.03961372307709009], [""stations"", 0.02728806081929561], [""monitor"", 0.02219168885954712], [""cable"", 0.02143604912156116], [""level"", 0.020910430132517716], [""allows"", 0.02045292344253415], [""public"", 0.020426016438743724]]"
mmr,15,"seat, airbags, cargo, center, rear, console, airbag, compartment, passengers, standard","[[""seat"", 0.05460692321860252], [""airbags"", 0.04800728806637331], [""cargo"", 0.03940281339663416], [""center"", 0.033317791380871896], [""rear"", 0.032100440825782596], [""console"", 0.02718278848246119], [""airbag"", 0.025795208642288653], [""compartment"", 0.020213053148232015], [""passengers"", 0.019767706850859598], [""standard"", 0.019115667990043887]]"
