representation_model,topic,words,weighted_words
pos,-1,"car, new, vehicle, cars, performance, system, fuel","[[""car"", 0.016970094811999435], [""new"", 0.015564668330219848], [""vehicle"", 0.008176929052083944], [""cars"", 0.007410186670952172], [""performance"", 0.007253007906626477], [""system"", 0.006081201979960511], [""fuel"", 0.005964263568956299]]"
pos,0,"car, new, electric, vehicle, hybrid, engine, drive, first","[[""car"", 0.021520708083490922], [""new"", 0.01930481857093838], [""electric"", 0.014151425067830358], [""vehicle"", 0.011216602768523843], [""hybrid"", 0.010771572300736821], [""engine"", 0.010167883669843083], [""drive"", 0.008948104511400544], [""first"", 0.008190685955647606]]"
pos,1,"show, president, auto, much, vice, new","[[""show"", 0.023768288619923375], [""president"", 0.01806667734694956], [""auto"", 0.016875418526056542], [""much"", 0.013898729733221243], [""vice"", 0.013369901819851877], [""new"", 0.01249733427842457]]"
pos,2,"display, navigation, screen, voice, information, phone, system, available, control, car","[[""display"", 0.03433792053089119], [""navigation"", 0.0258486780826502], [""screen"", 0.024384346533251368], [""voice"", 0.02050805401673633], [""information"", 0.019923910768440453], [""phone"", 0.018615719944366484], [""system"", 0.017861326195416593], [""available"", 0.015068603058636922], [""control"", 0.014928097122855088], [""car"", 0.014701726421054401]]"
pos,3,"interior, carbon, leather, fiber, design, materials, panel, high","[[""interior"", 0.05001286885997478], [""carbon"", 0.021374303979653397], [""leather"", 0.018855056888171448], [""fiber"", 0.018835589314000093], [""design"", 0.017608683006584393], [""materials"", 0.01736649976542107], [""panel"", 0.014917784655444176], [""high"", 0.014387844916927245]]"
pos,4,"in, customers, market, brand, sales, products, new, model, product","[[""in"", 0.03456895944048798], [""customers"", 0.025279818634721153], [""market"", 0.022475557749070382], [""brand"", 0.020224175308056622], [""sales"", 0.018452502698920348], [""products"", 0.017776762759435256], [""new"", 0.0175345311092288], [""model"", 0.016206366367700353], [""product"", 0.015313926445235757]]"
pos,5,"lane, assist, blind, traffic, braking, spot, collision, system, brake, camera","[[""lane"", 0.03855186304455029], [""assist"", 0.03722492916166757], [""blind"", 0.035283598978113055], [""traffic"", 0.03497612763126369], [""braking"", 0.033745140392721085], [""spot"", 0.03311654205078211], [""collision"", 0.032023948874435895], [""system"", 0.030568795755003337], [""brake"", 0.02874516924705239], [""camera"", 0.026052734591669978]]"
pos,6,"seats, seat, cargo, space, rear, room, passenger, trunk, seating","[[""seats"", 0.058877528731481124], [""seat"", 0.04443498548217896], [""cargo"", 0.03547399112193861], [""space"", 0.03481284395118977], [""rear"", 0.03194180921126732], [""room"", 0.024593599161790256], [""passenger"", 0.021448261862089677], [""trunk"", 0.021425587089410354], [""seating"", 0.021083461493136117]]"
pos,7,"light, lights, grille, headlights, lighting, design","[[""light"", 0.05251683664025486], [""lights"", 0.04253780296337411], [""grille"", 0.04096831683028259], [""headlights"", 0.03795753942442032], [""lighting"", 0.02239070619187096], [""design"", 0.019347240473090926]]"
pos,8,"design, studio, sketch, beautiful, end, new, own","[[""design"", 0.07686421362481526], [""studio"", 0.014509990843229612], [""sketch"", 0.011689057227439808], [""beautiful"", 0.01127501259611418], [""end"", 0.011255442454039059], [""new"", 0.01022741609509626], [""own"", 0.009175925447577532]]"
pos,9,"electric, car, brand, subscription, battery, performance, customer, plant, pure, heart","[[""electric"", 0.028159595908116654], [""car"", 0.025058197744353645], [""brand"", 0.01939720881218132], [""subscription"", 0.016198990561294684], [""battery"", 0.015073430312138505], [""performance"", 0.014817255236470756], [""customer"", 0.01456353428519201], [""plant"", 0.01230579109987628], [""pure"", 0.01218308574849947], [""heart"", 0.010767567212391747]]"
pos,10,"tailgate, door, open, trunk, top, release, hood, soft","[[""tailgate"", 0.04035984264039809], [""door"", 0.03875826498763558], [""open"", 0.03690570102719716], [""trunk"", 0.03569077692945135], [""top"", 0.03193662705580903], [""release"", 0.027424967775111993], [""hood"", 0.02268278856973843], [""soft"", 0.02069379714671859]]"
