Topic,Count,Name,ratio
-1,3313,-1_car_new_design_vehicle,0.30269529465509365
0,2521,0_car_new_design_electric,0.23033348560986752
1,1668,1_charging_hybrid_electric_battery,0.1523983554134308
2,1560,2_assist_safety_control_steering,0.14253083599817268
3,742,3_ladies_auto_president_new,0.06779351301964368
4,312,4_brand_design_products_new,0.028506167199634537
5,147,5_black_available_standard_19,0.013430790315212425
6,115,6_door_trunk_rear_open,0.010507080858839652
7,114,7_amg_gt_performance_racing,0.010415714938328003
8,100,8_class_new class_new_luxury,0.009136592051164915
9,89,9_sound_noise_quiet_acoustic,0.008131566925536775
10,73,10_new_design_space_id,0.006669712197350388
11,70,11_warranty_roadside assistance_roadside_hybrid,0.006395614435815441
12,67,12_electric_america_affordable_ev,0.006121516674280493
13,54,13_blue_red_color_colors,0.0049337597076290545
