representation_model,topic,words,weighted_words
default,-1,"car, new, design, vehicle, drive, driving, available, performance, technology, look","[[""car"", 0.026882334714522105], [""new"", 0.026598432525878724], [""design"", 0.016334272492721808], [""vehicle"", 0.014433753017100431], [""drive"", 0.012983565201220395], [""driving"", 0.012500694664118947], [""available"", 0.010096978944805454], [""performance"", 0.010084043914350124], [""technology"", 0.009911369797498437], [""look"", 0.009547757174910498]]"
default,0,"car, new, design, electric, rear, interior, vehicle, seats, cars, look","[[""car"", 0.034282888726812934], [""new"", 0.024853548125909758], [""design"", 0.021799567281571532], [""electric"", 0.0184198098263547], [""rear"", 0.017736455660210378], [""interior"", 0.015778813424674607], [""vehicle"", 0.015139209416450267], [""seats"", 0.014630100431936365], [""cars"", 0.014449637246941309], [""look"", 0.01370495753024503]]"
default,1,"charging, hybrid, electric, battery, charge, drive, engine, range, power, horsepower","[[""charging"", 0.03819876873265537], [""hybrid"", 0.0381885295372796], [""electric"", 0.0280349529121541], [""battery"", 0.02722747253002206], [""charge"", 0.02429672766287317], [""drive"", 0.024288251211088397], [""engine"", 0.023806674299216575], [""range"", 0.020618299841191748], [""power"", 0.020238714115761853], [""horsepower"", 0.02002138566272266]]"
default,2,"assist, safety, control, steering, available, car, driver, features, display, standard","[[""assist"", 0.02745686073747111], [""safety"", 0.026529768496027402], [""control"", 0.021288939327120386], [""steering"", 0.020904941806750513], [""available"", 0.02027075564327333], [""car"", 0.01996820391183564], [""driver"", 0.019904584115465012], [""features"", 0.019147631794058408], [""display"", 0.018702085669086002], [""standard"", 0.018661926889875603]]"
default,3,"ladies, auto, president, new, vice, vice president, hello, press, excited, happy","[[""ladies"", 0.04624536659906679], [""auto"", 0.04472185751678755], [""president"", 0.040581795278690554], [""new"", 0.03857382075469728], [""vice"", 0.028648435592859726], [""vice president"", 0.0264037383417577], [""hello"", 0.025360385577613425], [""press"", 0.022555636394409828], [""excited"", 0.02211743742028036], [""happy"", 0.022047658859537706]]"
default,4,"brand, design, products, new, product, customers, customer, best, designers, clay","[[""brand"", 0.04010322783269143], [""design"", 0.03708756771188575], [""products"", 0.033882683199957776], [""new"", 0.0324234241595311], [""product"", 0.029027054473533483], [""customers"", 0.028127158297466284], [""customer"", 0.02512954210819293], [""best"", 0.022057668247718036], [""designers"", 0.02169898369564754], [""clay"", 0.018393197601319407]]"
default,5,"black, available, standard, 19, grade, led, trd, 18, nightshade, 20","[[""black"", 0.06721325019908436], [""available"", 0.03774469988860868], [""standard"", 0.03430835904667952], [""19"", 0.033477489832396734], [""grade"", 0.033246296999959964], [""led"", 0.033099634120392914], [""trd"", 0.029769725448245507], [""18"", 0.026154004218722517], [""nightshade"", 0.025017077532908293], [""20"", 0.024892568284304764]]"
default,6,"door, trunk, rear, open, tailgate, pull, release, cover, cargo, place","[[""door"", 0.05876623363687624], [""trunk"", 0.0583845865493135], [""rear"", 0.05513724259587138], [""open"", 0.05243207095870233], [""tailgate"", 0.04934962939085959], [""pull"", 0.04918346178463673], [""release"", 0.04784739870767814], [""cover"", 0.046786202236253044], [""cargo"", 0.043915624725879815], [""place"", 0.041763795165569564]]"
default,7,"amg, gt, performance, racing, gt3, new, coupe, race, car, door","[[""amg"", 0.1314808205794993], [""gt"", 0.105621721002452], [""performance"", 0.039806824814984765], [""racing"", 0.03722484635259088], [""gt3"", 0.031168160507330903], [""new"", 0.023053030548209105], [""coupe"", 0.022454771566784756], [""race"", 0.022282801289997895], [""car"", 0.021359259693683248], [""door"", 0.021310468906925697]]"
default,8,"class, new class, new, luxury, car, customers, high, best, class new, quality","[[""class"", 0.2173211245836301], [""new class"", 0.12138234181630604], [""new"", 0.06559476898155323], [""luxury"", 0.036722315041654595], [""car"", 0.022282657880298897], [""customers"", 0.019466307235402984], [""high"", 0.019236936791651484], [""best"", 0.01849151305918438], [""class new"", 0.017959005065926452], [""quality"", 0.016313860095171922]]"
