representation_model,topic,words,weighted_words
keybert,-1,"vehicle, car, cars, driving, drive, design, features, performance, interior, electric","[[""vehicle"", 0.3695111870765686], [""car"", 0.35434043407440186], [""cars"", 0.3180919885635376], [""driving"", 0.3160250782966614], [""drive"", 0.2939634919166565], [""design"", 0.2498134970664978], [""features"", 0.23483017086982727], [""performance"", 0.23292092978954315], [""interior"", 0.20273080468177795], [""electric"", 0.18837904930114746]]"
keybert,0,"design, interior, rear, seats, vehicle, car, vehicles, cars, seat","[[""design"", 0.4401984214782715], [""interior"", 0.38759011030197144], [""rear"", 0.32469379901885986], [""seats"", 0.29762834310531616], [""vehicle"", 0.29594266414642334], [""car"", 0.2889346778392792], [""vehicles"", 0.2874126434326172], [""cars"", 0.2871774733066559], [""seat"", 0.2478499859571457]]"
keybert,1,"hybrid, electric, charging, ev, charge, plug, battery, horsepower, efficiency, kilowatt","[[""hybrid"", 0.4740294814109802], [""electric"", 0.38659682869911194], [""charging"", 0.3864155411720276], [""ev"", 0.3533700406551361], [""charge"", 0.33263668417930603], [""plug"", 0.3270101547241211], [""battery"", 0.2995310127735138], [""horsepower"", 0.2645798623561859], [""efficiency"", 0.2534129023551941], [""kilowatt"", 0.238962784409523]]"
keybert,2,"safety, steering, detection, features, navigation, vehicle, lane, parking, assist, camera","[[""safety"", 0.4113729000091553], [""steering"", 0.35910141468048096], [""detection"", 0.35320335626602173], [""features"", 0.3459867537021637], [""navigation"", 0.3446739912033081], [""vehicle"", 0.3297080993652344], [""lane"", 0.3247801959514618], [""parking"", 0.31901270151138306], [""assist"", 0.3105219006538391], [""camera"", 0.30532440543174744]]"
keybert,3,"happy, hello, you, excited","[[""happy"", 0.37445902824401855], [""hello"", 0.3473917841911316], [""you"", 0.3046753406524658], [""excited"", 0.3040035665035248]]"
keybert,4,"design, designers, product, products, you, technology","[[""design"", 0.4134504199028015], [""designers"", 0.39862215518951416], [""product"", 0.2718990743160248], [""products"", 0.26155757904052734], [""you"", 0.2437095046043396], [""technology"", 0.2311018705368042]]"
keybert,5,"hybrid, tires, standard, headlights, exclusive, trd","[[""hybrid"", 0.37809279561042786], [""tires"", 0.33473706245422363], [""standard"", 0.321213960647583], [""headlights"", 0.3072304427623749], [""exclusive"", 0.30140817165374756], [""trd"", 0.28921958804130554]]"
keybert,6,"trunk, tailgate, vehicle, car, rear, door, lock, position, push","[[""trunk"", 0.4088194668292999], [""tailgate"", 0.4041358530521393], [""vehicle"", 0.3862939774990082], [""car"", 0.3339850902557373], [""rear"", 0.3259326219558716], [""door"", 0.29732441902160645], [""lock"", 0.26879480481147766], [""position"", 0.2666226327419281], [""push"", 0.26012319326400757]]"
keybert,7,"amg, vehicle, steering, car, v8, cars, coupe, engine, driving, axle","[[""amg"", 0.5461018681526184], [""vehicle"", 0.4093053340911865], [""steering"", 0.40495872497558594], [""car"", 0.3572470247745514], [""v8"", 0.3519824147224426], [""cars"", 0.3306841254234314], [""coupe"", 0.3230792284011841], [""engine"", 0.32057613134384155], [""driving"", 0.30891597270965576], [""axle"", 0.3059755265712738]]"
keybert,8,"class, hybrid, flagship, innovations, model, cars, car, concept, luxury","[[""class"", 0.3817552924156189], [""hybrid"", 0.3385056257247925], [""flagship"", 0.2927776873111725], [""innovations"", 0.2877904176712036], [""model"", 0.2694700360298157], [""cars"", 0.26906248927116394], [""car"", 0.2595313787460327], [""concept"", 0.2457849383354187], [""luxury"", 0.23258358240127563]]"
keybert,9,"noise, quietness, sound, acoustic, silent, quietest, exhaust, quiet, car, vehicle","[[""noise"", 0.5090019702911377], [""quietness"", 0.4743313193321228], [""sound"", 0.43274348974227905], [""acoustic"", 0.4326438903808594], [""silent"", 0.4268304705619812], [""quietest"", 0.3924381732940674], [""exhaust"", 0.39176642894744873], [""quiet"", 0.3609291911125183], [""car"", 0.3547796308994293], [""vehicle"", 0.3383725881576538]]"
keybert,10,"ev, five, vehicles, vehicle, powertrain, suv, design, 2025, suvs","[[""ev"", 0.426578164100647], [""five"", 0.40924835205078125], [""vehicles"", 0.3383881151676178], [""vehicle"", 0.32169634103775024], [""powertrain"", 0.32006967067718506], [""suv"", 0.29781869053840637], [""design"", 0.2951813340187073], [""2025"", 0.2814798355102539], [""suvs"", 0.2797638773918152]]"
keybert,11,"toyotacare, mileage, hybrid, warranty, suv, vehicle, maintenance","[[""toyotacare"", 0.5689070224761963], [""mileage"", 0.3773537278175354], [""hybrid"", 0.3437657654285431], [""warranty"", 0.33390572667121887], [""suv"", 0.2558651864528656], [""vehicle"", 0.24782027304172516], [""maintenance"", 0.23845309019088745]]"
keybert,12,"ev, promotional, partnership, cars, northpoint, northpointe, dealer, car, autosports","[[""ev"", 0.41335102915763855], [""promotional"", 0.35686439275741577], [""partnership"", 0.33595889806747437], [""cars"", 0.33255767822265625], [""northpoint"", 0.33078962564468384], [""northpointe"", 0.3292980194091797], [""dealer"", 0.3289085626602173], [""car"", 0.3133704364299774], [""autosports"", 0.3013807237148285]]"
keybert,13,"colours, colors, colour, color, blue, red, green, yellow, orange, gray","[[""colours"", 0.5744335651397705], [""colors"", 0.5687447786331177], [""colour"", 0.550392746925354], [""color"", 0.519275426864624], [""blue"", 0.51014244556427], [""red"", 0.47152650356292725], [""green"", 0.44981613755226135], [""yellow"", 0.4377879202365875], [""orange"", 0.40389686822891235], [""gray"", 0.3885250687599182]]"
