representation_model,topic,words,weighted_words
mmr,-1,"you, car, new, about","[[""you"", 0.028950593229499357], [""car"", 0.017481165419339882], [""new"", 0.01715745925417433], [""about"", 0.011364784996169667]]"
mmr,0,"is, you, car, new, design","[[""is"", 0.02706184399877041], [""you"", 0.022668446189452185], [""car"", 0.02211210768231134], [""new"", 0.01590137441232219], [""design"", 0.013201328567956942]]"
mmr,1,"hybrid, charging, electric, battery, drive, engine","[[""hybrid"", 0.027216669437656167], [""charging"", 0.026848785764651918], [""electric"", 0.020238519996400348], [""battery"", 0.018996136171116198], [""drive"", 0.017471747120162313], [""engine"", 0.016508921395588374]]"
mmr,2,"system, assist, safety, car, control, steering, driver, features, standard","[[""system"", 0.02331895908501686], [""assist"", 0.019931749546961607], [""safety"", 0.01950874743559257], [""car"", 0.01616035798407337], [""control"", 0.015604146163592354], [""steering"", 0.015209034681623676], [""driver"", 0.014699959744372135], [""features"", 0.014242793281233597], [""standard"", 0.013861334873513813]]"
mmr,3,"for, show, please","[[""for"", 0.03518350340359906], [""show"", 0.025920497687356183], [""please"", 0.02316132234470247]]"
mmr,4,"they, for, what, brand, design, new","[[""they"", 0.020281822584412385], [""for"", 0.019904028310096574], [""what"", 0.018699082013515392], [""brand"", 0.017706213094945765], [""design"", 0.0171310846569275], [""new"", 0.01582311137552427]]"
mmr,5,"black, led, 19, trd, nightshade","[[""black"", 0.05342361389293646], [""led"", 0.026547177683373634], [""19"", 0.026037324723949096], [""trd"", 0.023135094470958014], [""nightshade"", 0.01918682718186294]]"
mmr,6,"door, rear, trunk, pull, tailgate, cover, top, cargo","[[""door"", 0.029964144987024044], [""rear"", 0.029553710437713113], [""trunk"", 0.029139576130768476], [""pull"", 0.024250820479529714], [""tailgate"", 0.024054403298338616], [""cover"", 0.022917434725734633], [""top"", 0.02213035704839818], [""cargo"", 0.02204361795901526]]"
mmr,7,"amg, gt, in, performance, racing, gt3, so, car, coupe, door","[[""amg"", 0.08520451398055674], [""gt"", 0.06758111420163011], [""in"", 0.0277047178233255], [""performance"", 0.027065815793193133], [""racing"", 0.02351668147576285], [""gt3"", 0.01933550399150971], [""so"", 0.017161436741234652], [""car"", 0.015836545025660932], [""coupe"", 0.0144904620619208], [""door"", 0.013953019808881077]]"
mmr,8,"class, new, is, you, luxury, car","[[""class"", 0.14148453541453812], [""new"", 0.04735217434880304], [""is"", 0.03584108725302623], [""you"", 0.026226743436027673], [""luxury"", 0.023608010854003617], [""car"", 0.016216016494884997]]"
mmr,9,"sound, noise, quiet, car, acoustic, engine, silent, wind","[[""sound"", 0.07107740942030902], [""noise"", 0.05135394971659044], [""quiet"", 0.038243271875345396], [""car"", 0.025770923767518], [""acoustic"", 0.022423008138684142], [""engine"", 0.018873026323798957], [""silent"", 0.016788058053398947], [""wind"", 0.016307578819503805]]"
mmr,10,"new, design, electric, space, vehicle, id, parametric, ev, mach","[[""new"", 0.03108969920752878], [""design"", 0.022528808210711373], [""electric"", 0.020282840886851516], [""space"", 0.019648224030811876], [""vehicle"", 0.01883390574917267], [""id"", 0.018343288828474642], [""parametric"", 0.01772350156759287], [""ev"", 0.014767515135809834], [""mach"", 0.014010810472789433]]"
mmr,11,"warranty, roadside, hybrid, toyotacare, assistance, 100, unlimited, scheduled, mileage","[[""warranty"", 0.13022560407088804], [""roadside"", 0.062119229798732835], [""hybrid"", 0.06130956729987048], [""toyotacare"", 0.0540284933015614], [""assistance"", 0.05210794631139994], [""100"", 0.04949344345697608], [""unlimited"", 0.0391221085541927], [""scheduled"", 0.03154041046031141], [""mileage"", 0.030348318292090108]]"
mmr,12,"electric, america, ev, affordable, vehicles, northpoint, inventory","[[""electric"", 0.0309532089712094], [""america"", 0.02811575720475802], [""ev"", 0.023737387253668217], [""affordable"", 0.023602358080226177], [""vehicles"", 0.0224200810672413], [""northpoint"", 0.01916421416731873], [""inventory"", 0.016426469286273195]]"
mmr,13,"blue, red, colors, juke, tone, orange, interior, available, brown, pearl","[[""blue"", 0.06907557696733731], [""red"", 0.06789832218770868], [""colors"", 0.043217186626225396], [""juke"", 0.031180175333130253], [""tone"", 0.027469508273056754], [""orange"", 0.02673042938790165], [""interior"", 0.02066010090678238], [""available"", 0.019824009610876894], [""brown"", 0.01920963380377975], [""pearl"", 0.01920963380377975]]"
