representation_model,topic,words,weighted_words
pos,-1,"car, new, vehicle, drive, performance, technology, electric","[[""car"", 0.017481165419339882], [""new"", 0.01715745925417433], [""vehicle"", 0.008877618745781763], [""drive"", 0.00791970293295389], [""performance"", 0.006013502098947864], [""technology"", 0.005892649684506309], [""electric"", 0.005706005376787449]]"
pos,0,"car, new, design, interior, vehicle, first, seats, look, light","[[""car"", 0.02211210768231134], [""new"", 0.01590137441232219], [""design"", 0.013201328567956942], [""interior"", 0.009254985905226686], [""vehicle"", 0.009235698572625616], [""first"", 0.008790743099365408], [""seats"", 0.008453039934533078], [""look"", 0.008079113436703589], [""light"", 0.007288543532595547]]"
pos,1,"hybrid, electric, battery, drive, charge, engine, range, power, horsepower","[[""hybrid"", 0.027216669437656167], [""electric"", 0.020238519996400348], [""battery"", 0.018996136171116198], [""drive"", 0.017471747120162313], [""charge"", 0.01668087607691569], [""engine"", 0.016508921395588374], [""range"", 0.014359869451865282], [""power"", 0.014183665241608577], [""horsepower"", 0.013612030865937189]]"
pos,2,"system, assist, safety, car, control, available, steering, driver, features, standard","[[""system"", 0.02331895908501686], [""assist"", 0.019931749546961607], [""safety"", 0.01950874743559257], [""car"", 0.01616035798407337], [""control"", 0.015604146163592354], [""available"", 0.015253131230040465], [""steering"", 0.015209034681623676], [""driver"", 0.014699959744372135], [""features"", 0.014242793281233597], [""standard"", 0.013861334873513813]]"
pos,3,"auto, new","[[""auto"", 0.01670739155554577], [""new"", 0.016148721116055097]]"
pos,4,"brand, design, new, products, product, customers, best","[[""brand"", 0.017706213094945765], [""design"", 0.0171310846569275], [""new"", 0.01582311137552427], [""products"", 0.014455683328320935], [""product"", 0.01256349676790957], [""customers"", 0.012510015669991709], [""best"", 0.009762551650126247]]"
pos,5,"black, available, standard, design","[[""black"", 0.05342361389293646], [""available"", 0.031836662976750106], [""standard"", 0.028564788548210283], [""design"", 0.01844203518955941]]"
pos,6,"door, rear, trunk, open, tailgate, release, cover, top, cargo","[[""door"", 0.029964144987024044], [""rear"", 0.029553710437713113], [""trunk"", 0.029139576130768476], [""open"", 0.02649120823246265], [""tailgate"", 0.024054403298338616], [""release"", 0.023388156208796754], [""cover"", 0.022917434725734633], [""top"", 0.02213035704839818], [""cargo"", 0.02204361795901526]]"
pos,7,"performance, new, car, coupe, race, door, brand, engine, most, design","[[""performance"", 0.027065815793193133], [""new"", 0.01695492229040917], [""car"", 0.015836545025660932], [""coupe"", 0.0144904620619208], [""race"", 0.0141529186353839], [""door"", 0.013953019808881077], [""brand"", 0.013356795121394878], [""engine"", 0.011142891537290504], [""most"", 0.010912759278897618], [""design"", 0.010256304210210747]]"
pos,8,"class, new, luxury, car, customers, high, driving, quality","[[""class"", 0.14148453541453812], [""new"", 0.04735217434880304], [""luxury"", 0.023608010854003617], [""car"", 0.016216016494884997], [""customers"", 0.012807173168280077], [""high"", 0.012677184551670245], [""driving"", 0.01058791187522551], [""quality"", 0.010419067707944782]]"
pos,9,"sound, noise, quiet, car, acoustic, engine, sounds, silent, wind, quietness","[[""sound"", 0.07107740942030902], [""noise"", 0.05135394971659044], [""quiet"", 0.038243271875345396], [""car"", 0.025770923767518], [""acoustic"", 0.022423008138684142], [""engine"", 0.018873026323798957], [""sounds"", 0.01702945166042076], [""silent"", 0.016788058053398947], [""wind"", 0.016307578819503805], [""quietness"", 0.015377544116450068]]"
pos,10,"new, design, electric, space, vehicle, parametric, look, first, vehicles","[[""new"", 0.03108969920752878], [""design"", 0.022528808210711373], [""electric"", 0.020282840886851516], [""space"", 0.019648224030811876], [""vehicle"", 0.01883390574917267], [""parametric"", 0.01772350156759287], [""look"", 0.01482044965983395], [""first"", 0.014043527066576486], [""vehicles"", 0.013947991957514413]]"
pos,11,"warranty, roadside, hybrid, maintenance, assistance, first","[[""warranty"", 0.13022560407088804], [""roadside"", 0.062119229798732835], [""hybrid"", 0.06130956729987048], [""maintenance"", 0.056057107382670154], [""assistance"", 0.05210794631139994], [""first"", 0.0479758469201794]]"
pos,12,"electric, affordable, vehicles, first, evolution, inventory, cars, pre","[[""electric"", 0.0309532089712094], [""affordable"", 0.023602358080226177], [""vehicles"", 0.0224200810672413], [""first"", 0.01995348954806284], [""evolution"", 0.01735392386249278], [""inventory"", 0.016426469286273195], [""cars"", 0.015699394052847652], [""pre"", 0.015212080922640245]]"
pos,13,"blue, red, color, colors, tone, orange, new, interior, available, black","[[""blue"", 0.06907557696733731], [""red"", 0.06789832218770868], [""color"", 0.05782817920429337], [""colors"", 0.043217186626225396], [""tone"", 0.027469508273056754], [""orange"", 0.02673042938790165], [""new"", 0.024851209045489247], [""interior"", 0.02066010090678238], [""available"", 0.019824009610876894], [""black"", 0.01923801980658299]]"
